z_freq_e_2.08,xy_e_freq_m_1.25,z_freq_e_2.92,z_freq_m_4.58,z_dwt_ar_-7,z_dwt_ar_-6,z_dwt_ar_-9,z_dwt_ar_-8,z_dwt_ar_-3,z_dwt_ar_-2,z_dwt_ar_-5,z_dwt_ar_-4,t_freq_e_3.75,z_dwt_ar_-0,z_freq_m_2.50,t_freq_m_4.17,z_dwt_ar_-1,z_freq_e_3.75,t_freq_m_0.00,z_freq_m_0.42,xy_e_freq_e_0.42,t_freq_m_3.33,z_e_stddev,xy_e_freq_e_3.75,xy_e_freq_m_1.67,xy_e_stddev,z_freq_m_3.75,t_freq_m_2.50,xy_e_freq_p3,z_peak_stddev,xy_e_freq_p4,mcr_t,z_freq_e_1.25,xy_e_freq_p1,z_peak_mean,xy_e_freq_p2,t_freq_m_0.83,z_freq_e_4.17,mcr_z,t_freq_e_1.67,t_freq_m_1.25,zcr_z,t_freq_e_0.83,t_freq_e_0.00,xy_e_freq_m_2.50,xy_e_freq_e_1.67,z_freq_m_1.67,t_freq_e_4.58,z_e_mean,t_freq_e_2.50,xy_e_freq_m_4.58,xy_e_freq_m_0.42,corr_z_e_xy_e,z_freq_e_0.42,z_dwt_avg_-5,z_dwt_avg_-6,z_freq_p4,z_dwt_avg_-7,z_freq_p3,xy_e_freq_m_3.33,z_dwt_avg_-8,z_freq_p2,z_dwt_avg_-9,z_freq_p1,z_dwt_avg_-0,z_dwt_avg_-1,corr_z_xy_e,z_dwt_avg_-2,z_peak_d_mean,z_dwt_avg_-3,z_dwt_avg_-4,z_dwt_norm_-8,z_dwt_norm_-7,z_dwt_norm_-6,z_dwt_norm_-5,xy_e_freq_e_0.83,xy_e_freq_m_4.17,z_dwt_norm_-9,z_dwt_norm_-0,z_freq_m_4.17,z_freq_e_3.33,z_dwt_norm_-4,t_freq_m_3.75,z_dwt_norm_-3,z_dwt_norm_-2,z_dwt_norm_-1,xy_e_freq_e_2.08,xy_e_freq_e_2.92,z_freq_m_0.83,xy_e_freq_e_0.00,z_mean,z_freq_e_0.83,xy_e_freq_m_0.83,z_freq_m_3.33,z_freq_e_2.50,t_freq_m_0.42,t_freq_m_4.58,z_freq_m_0.00,z_freq_e_4.58,z_freq_e_1.67,t_freq_e_2.08,xy_e_freq_e_4.58,z_freq_m_2.92,t_freq_e_3.33,t_freq_e_0.42,xy_e_freq_m_2.92,t_freq_m_2.92,t_freq_m_1.67,t_freq_e_1.25,t_mean,t_stddev,t_freq_e_4.17,xy_e_mean,z_peak_d_stddev,z_kurt,z_freq_m_1.25,t_freq_p1,t_freq_p3,t_freq_p2,xy_e_freq_e_1.25,xy_e_freq_m_2.08,angle_mean,t_freq_m_2.08,xy_e_freq_e_4.17,xy_e_freq_m_0.00,t_freq_e_2.92,z_freq_e_0.00,angle_stddev,xy_e_freq_e_3.33,xy_e_freq_e_2.50,t_freq_p4,xy_e_freq_m_3.75,z_freq_m_2.08,z_stddev,label
0.0071960599,0.0002277186,0.0011594172,0.0001927728,0.9993427433,0.9967881375,0,1,0.8815438957,0.7077865102,0.989114811,0.9682096294,0.0004260567,0.0001808521,0.0103174636,0.0029755631,0.6040763146,0.0005059326,0.2186903713,0.0342921131,0.0673329065,0.0056547968,0.0201744008,0.0351962336,0.0002610347,0.0008537065,0.0041856307,0.0071871446,3.2945736434,0.1594199303,5.2325581395,4,0.0057723163,1.1627906977,0.0780455899,1.9379844961,0.0206773199,6.4006915438839E-006,8,0.0020504216,0.0102420861,8,0.0096597856,0.9301692124,0.0003066407,0.0500411531,0.0087072927,0.0002446362,0.017136608,0.0023866546,0.0003447656,0.0004701779,0.0823236797,0.0579059507,-0.013972567,-0.0001635062,0,-7.02065273447507E-005,0,0.0002290367,-2.5518435842757E-005,0,0,0.7751937984,-0.0282769812,-1.634000188,-0.0576752961,0.4086025521,1.389236352,0.0593645124,-0.0197213451,0.0006572567,0.0025546057,0.0076733266,0.0209051816,0.0671321021,0.0002351508,0,0.0001808521,0.0003376696,0.000615429,0.0866657336,0.0031374983,0.1737573855,0.1037101956,0.6038954625,0.03527875,0.0325856669,0.0126013803,0.5609881909,-0.0017766837,0.0076316553,0.0004701779,0.0041856307,0.0057824054,0.0484723926,0.0022359179,0.1632196438,2.53284191200786E-006,0.0031384019,0.0036940601,0.0376211215,0.0057201553,0.0009691255,0.0466021677,0.0003066407,0.0056547968,0.0093565826,0.0021558229,0.1093451856,0.0771644057,0.000335403,0.0007510283,0.2001901888,-0.6179739198,0.0126013803,0.5813953488,2.3255813953,1.5503875969,0.0327367309,0.0002610347,0.0046142675,0.0093565826,0.0290710785,0.0015020565,0.0013066536,0.9102834983,0.004346331,0.017533756,0.0344823099,0,0.0002351508,0.0103174636,0.1311492224,LiftAD
0.0023716037,0.0002949889,0.0020172233,0.0022485705,1,0.9990743172,0,0,0.9386083462,0.7950093029,0.995477988,0.9814293411,0.0009813739,0.0104567892,0.0072496929,0.0098381621,0.7705776805,0.0009607205,0.4160284044,0.1338408423,0.0549422466,0.011402306,0.058567062,0.0041406427,0.0003322492,0.0008161794,0.0111066623,0.0130323499,5.1724137931,0.114384646,0,4,0.0093536379,2.2988505747,0.3528484004,3.7356321839,0.0684471022,0.0001379566,3,0.0034385351,0.0223757013,3,0.0235643798,0.864420418,0.0002781223,0.0429553625,0.0235559914,0.0001771719,0.0591122918,0.0009060522,0.000217637,0.0003850702,0.0404344307,0.1413853095,-0.0071543818,-0.0024179506,0,-0.0008487657,3.7356321839,0.0004201837,0,2.0114942529,0,0.8620689655,-0.3240894904,-2.763166821,-0.278582284,-0.1292078661,0.522857728,0.0602766569,-0.0002604882,0,0.0009256828,0.0035963292,0.0140486469,0.0419842547,0.0001437092,0,0.0104567892,0.0033546113,0.0025225218,0.0428209949,0.011402306,0.1435990433,0.0244316224,0.7601208913,0.042459506,0.0435461383,0.0339552963,0.6440341701,-0.0035446185,0.0187668812,0.0003167474,0.0140950379,0.0009562952,0.1334919849,0.0051670603,0.3103318621,7.23276556454649E-005,0.0059148636,0.0022682501,0.0136067057,0.0140950379,0.000758371,0.0985057076,0.0004201837,0.0059019158,0.0213869063,0.0041738848,0.2080142022,0.1297837187,0.0005411864,0.0009046266,0,-1.0468754798,0.027068209,0.8620689655,4.0229885057,2.2988505747,0.0367680292,0.0003322492,0.0031823601,0.0181859239,0.0075230109,0.0018092532,0.0002646693,0.8155406591,0.0027106482,0.0372037887,0.0308361446,0,0.0001154153,0.0158386877,0.2438059565,LiftAD
0.0021460382,0.0013197221,0.000910142,0.0011905621,1,0.999330186,0,0,0.9459101837,0.8095235974,0.9966795983,0.9862518425,0.0001371155,0.0277367859,0.0098316615,0.0045710445,0.5572448193,7.79874028948603E-005,0.3790361463,0.1724681284,0.0472314967,0.0027018452,0.0579318304,0.0096882053,0.00129881,0.0026623096,0.0024440498,0.0152463436,4.6341463415,0.0935147074,0,4,0.0061289011,1.4634146341,0.3606472407,3.1707317073,0.0233430953,3.3766910501974E-005,3,0.005519419,0.0216894324,3,0.0058853877,0.8910582321,0.0011172602,0.0559629309,0.0171188209,0.00019785,0.0517390841,0.0012342053,0.0013288734,0.0011877809,0.1226644259,0.2317482184,-0.0107251212,-0.0037719371,0,-0.0013323188,3.1707317073,0.0009130141,0,1.9512195122,0,0.9756097561,-0.5258994696,-2.297793214,-0.2029043829,-0.102787055,0.520233154,-0.0835105703,-0.0449027882,0,0.000669814,0.0026505877,0.0104277558,0.0856735593,0.0013288734,0,0.0277367859,0.0014446467,0.0002163788,0.0403416588,0.0045710445,0.1363865863,0.2522787781,0.5295080334,0.0161096252,0.0852236795,0.0281125598,0.4047551053,-0.0023743762,0.0118519428,0.0013197221,0.0034999185,0.0007702658,0.0917346275,0.0043411827,0.2656916484,3.06953707028065E-005,0.0048744265,0.0026831544,0.0569502542,0.0098316615,7.08326833042547E-005,0.0864893627,0.0011172602,0.0152463436,0.0216894324,0.0052377871,0.1895180731,0.1335424856,0.000253679,0.0019246183,0,-0.7702844097,0.0214882076,0.7317073171,0,2.9268292683,0.0871575421,0.0006273133,0.001777938,0.0172319189,0.057461376,0.0038492366,0.0012329747,0.7412112367,0.0013585512,0.0306411618,0.0631450636,0,0.0004482108,0.0159510759,0.2280066704,LiftAD
0.0029104128,0.0009108391,0.0004677199,0.0003553002,1,0.9991062651,0,0,0.9321082426,0.8386672931,0.9956101169,0.9828124347,0.0011342394,0.0249756542,0.0077036202,0.0091582742,0.38306841,0.0010439144,0.3891921918,0.1727686169,0.0156963271,0.0111983843,0.0571039489,0.02888956,0.000857324,0.00226341,0.011115959,0.0120313347,5.25,0.0931651264,0,4,0.0119819135,1.5,0.3559522375,3,0.0238572325,5.23994297630949E-006,4,0.0046205105,0.0272511444,4,0.0062753968,0.8925816094,0.001215281,0.0379556192,0.0200469601,0.0001735181,0.0519768708,0.0017647034,0.0006397497,0.0004949376,-0.0017474693,0.2323818323,-0.0105662246,-0.0036949875,0,-0.0013045516,3.75,0.0005724665,0,2,0,1,-0.4873594597,-1.8453924166,-0.2664149387,-0.0456731126,0.520019531,-0.1850978029,-0.0054283192,0,0.0008937349,0.0034961482,0.0127976822,0.0287801526,0.0005973297,0,0.0249756542,0.0006370505,0.0012510369,0.0507041921,0.0111983843,0.0934409494,0.4555988831,0.3580927558,0.0349005833,0.0587960804,0.0371895834,0.6269702088,0.0041039321,0.0190687159,0.0009108391,0.011115959,0.0010930508,0.0922180874,0.0040496869,0.2635926991,2.06217130289981E-006,0.004978235,0.0021835038,0.0130340985,0.0054101878,0.0008692359,0.0820643731,0.001215281,0.0100706961,0.0272511444,0.0071367659,0.1945960959,0.1282574085,0.0005019801,0.0022584828,0,-0.7661218133,0.025592372,0.75,0,1.75,0.048225616,0.0007681388,0.0024934757,0.0139396076,0.0146356369,0.0045169655,0.0006941636,0.7248158662,0.002503027,0.0233842898,0.0687318274,0,0.0005973297,0.0169423558,0.2285194394,LiftAD
0.0049913826,0.0012105018,0.0028511272,0.0009875607,1,0.9993760954,0,0,0.9446744505,0.8572262446,0.9969248381,0.9880668959,0.0005655252,0.1828478086,0.0087461444,0.0043477527,0.2421510924,0.0001787726,0.3416617397,0.1272974551,0.0583406735,0.009997496,0.035682764,0.0564280323,0.0017559908,0.0042749879,0.0036230336,0.0120969193,3.9800995025,0,0,4,0.0081977985,1.2437810945,0,2.736318408,0.0196441022,0.00005355,4,0.0025830379,0.0120004942,6,0.0033471874,0.9172540809,0.0023565833,0.0658238425,0.0190853727,0.0001094327,0.0359051074,0.0016754978,0.0005745485,0.0015790754,0.0709192804,0.1883864517,-0.010803845,-0.0038679607,0,-0.0013706241,0,0.0018851083,0,3.4825870647,0,1.7412935323,-0.9782157962,-0.557094874,-0.0337612961,-0.3115987875,0,-0.1105995533,-0.0365354725,0,0.0006239046,0.0024512573,0.0088579422,0.0362497848,0.0010655414,0,0.1828478086,0.0013504931,0.0020444346,0.0433924454,0.0079052769,0.0874482059,0.6150751522,0.0593032837,0.1017274998,0.031334987,0.0186153911,0.467501542,-0.0155198522,0.0104505595,0.0015199169,0.012166204,0.0009809408,0.0791001277,0.0025805811,0.2296167302,2.61562340257228E-005,0.0102146689,0.0014541153,0.006071081,0.012166204,0.0014360858,0.0674104299,0.0014584345,0.0120969193,0.0120004942,0.0017771552,0.1708308698,0.0988583892,0.0002140978,0.003002438,0,-1.0831757254,0.0190853727,0.7462686567,3.2338308458,1.9900497512,0.0288889073,0.0023565833,0.0012677501,0.0111869434,0.0237051052,0.006004876,0.002173354,0.7716241573,0.0010591933,0.0445367462,0.0793917984,0,0.0018851083,0.0170712208,0.1893213217,LiftAD
0.0015527209,0.0005738286,0.0010392454,0.0001934054,1,0.9992037886,0,0,0.9508372332,0.7992518156,0.9961056481,0.9847263474,0.0011977663,0.015353233,0.0016608516,0.0048295349,0.7465033006,0.0015719437,0.3707500952,0.1582962017,0.0565019793,0.0130104635,0.0545731342,0.0361114128,0.0006394227,0.0015024526,0.0137208722,0.0138485122,0,0.2273865663,0,4,0.0077659072,2.2727272727,0.2591395869,4.797979798,0.016799378,2.37480632427789E-006,4,0.0026367922,0.016799378,4,0.0041124713,0.8895408494,0.0004620077,0.0541204519,0.0198434807,0.0001701869,0.0499421928,0.0016994481,0.0004674985,0.0006261251,0.1089113147,0.2063723839,-0.0064459523,-0.0022659035,0,-0.0008008783,3.7878787879,0.0004522251,0,2.0202020202,0,1.0101010101,-0.3825581642,-2.6399810963,0.448473776,-0.0796910457,0.522571264,0.0246297883,-0.0214965424,0,0.0007962114,0.0030981405,0.0113793006,0.0191156268,0.0004674985,0,0.015353233,0.0004455094,0.0025973743,0.0338891142,0.0130104635,0.1515854177,0.0527485149,0.7311500677,0.0497176814,0.0008457388,0.0291668358,0.6575282348,-0.0018441966,0.0110614542,0.0004353542,0.0137208722,4.78666149807139E-005,0.0950284944,0.0048295349,0.2682928913,0.000000638,0.0048782302,0.0027075513,0.0222924237,0.0114587551,0.0012335167,0.0920744341,7.79642645560469E-005,0.0083365296,0.0175263493,0.0036688212,0.1853750476,0.1304003755,0.0002198843,0.0013400933,0,-0.8262710748,0.0198434807,0.7575757576,0,2.2727272727,0.0306387735,0.0006394227,0.0004914241,0.0175263493,0.0246504935,0.0026801866,0.0007382782,0.7631098609,0.0003540416,0.0274516559,0.0210255275,0,0.0004522251,0.0139212266,0.2240363545,LiftAD
0.0016755682,0.0005192561,0.0009573665,0.000836114,1,0.9992513772,0,0,0.9584877506,0.7858924425,0.9963080364,0.9855549375,0.0007804537,0.02025087,0.007137576,0.0045141707,0.6803119722,0.0007737591,0.3775537967,0.1637332526,0.091060284,0.0082009216,0.0570529293,0.0374869692,0.0004333945,0.0015418972,0.0088418798,0.0177156877,4.5226130653,0.1159644139,0,6,0.0098874433,0.7537688442,0.3509056543,3.2663316583,0.0231250676,2.29087091289018E-005,4,0.0043607879,0.0221670093,4,0.0060035876,0.8851634379,0.0007009994,0.0290713075,0.0210370639,4.88600984374883E-005,0.0513802387,0.0024453892,0.0003611087,0.0008681023,-0.0107475049,0.2139932294,-0.0072887537,-0.0026313521,0,-0.000932767,0,0.0005390595,0,2.0100502513,0,1.0050251256,-0.4437346488,-2.5333405157,0.0603198101,-0.0718337567,0.52374272,0.041441031,-0.0235554318,0,0.0007486228,0.0029433408,0.0107530989,0.0443719286,0.0004642129,0,0.02025087,0.0011852933,0.0012567726,0.0270671869,0.0082009216,0.1725953081,0.1055804703,0.6600611022,0.018327165,0.0407336554,0.0328113532,0.5899710247,-0.001726915,0.0143218518,0.0005395249,0.0088418798,0.000965823,0.0978337663,0.0026094726,0.2692969307,1.27911193465193E-005,0.0048273746,0.0032180806,0.0095886374,0.0081598186,0.0008742468,0.0898762922,0.0007009994,0.0103044093,0.0221670093,0.006093155,0.1887768984,0.1313443011,0.000148192,0.001421114,0,-0.7860942538,0.0233338735,0.7537688442,0,1.7587939698,0.0484430599,0.0004071457,0.0014638245,0.0177156877,0.0160615073,0.0028422281,0.0009875171,0.7513051117,0.0009027647,0.027461159,0.0474233019,0,0.0005390595,0.0124548651,0.2272371834,LiftAD
0.0031619404,0.0041504747,0.0004015042,0.0001909118,1,0.9994091385,0,0,0.9636600029,0.8876621494,0.9971125744,0.9879999428,0.0024855638,0.5663977581,0.0053180894,0.0113244255,0.5812551744,0.0006441453,0.2749101756,0.0535567615,0.1706869934,0.0079700869,0.0216267043,0.0461318755,0.0040111272,0.0159482616,0.0054390733,0.0085540003,4.9504950495,0.1515426029,6.9306930693,7,0.0053380413,0.7425742574,0.1525435281,1.9801980198,0.0261630712,0.000014134,4,0.0072663007,0.0201530336,4,0.0102608292,0.8495106489,0.0029007487,0.0779994138,0.0123802005,0.0031996559,0.0215179845,0.0008156029,0.0041981184,0.0065057336,-0.1197079136,0.0676400579,0.0014143723,0.0004287464,0,0.0001466273,0,0.0028334403,0,0,0,0.7425742574,-1.1590052923,0.1877138432,0.1603949418,0.1280352097,1.087707392,-0.0200367518,-0.0022342899,0,0.0005908615,0.0022965641,0.0091126316,0.0876158305,0.0041981184,0,0.5663977581,0.0006977476,0.000940275,0.0243399399,0.0113244255,0.0759978535,0.306406975,0.0148574162,0.0451098756,0.0255745558,0.0108028499,0.2802456833,-0.0107297676,0.0069130214,0.0050114624,0.0054390733,0.0006954511,0.100218349,0.0111971799,0.1979547284,1.03483429163656E-006,0.0059465748,0.0031306198,0.067353105,0.0030644178,0.0010032668,0.1116805213,0.0024343766,0.005496147,0.0201530336,0.0061071826,0.1374550878,0.0835293947,0.0040707614,0.0043185361,0,-0.9839922293,0.0123802005,0.9900990099,0,1.9801980198,0.0687266613,0.003663527,0.0004522454,0.0126761087,0.0820000915,0.0086370722,0.0004690466,0.9083038197,0.0008476558,0.0247850966,0.0237708178,0,0.0038929624,0.0085467609,0.1466606233,LiftAD
0.0119349521,0.0010788246,0.0046836745,0.0005611865,1,0.9984587516,0,0,0.9178663363,0.8369508317,0.9925979531,0.9691960833,0.0008819479,0.5545243391,0.0141142758,0.0055547277,0.5766636006,0.0004700395,0.2482357201,0.0492983957,0.1150952972,0.0062519951,0.0217754177,0.0176741934,0.0005965709,0.0024627192,0.003907755,0.0093273437,5.3811659193,0.1631911231,6.9506726457,8,0.0046036491,1.3452914798,0.1372510095,3.5874439462,0.0221539699,5.23587428931671E-005,5,0.0033062354,0.0115866137,5,0.0111808568,0.8472441981,0.0002962239,0.0416122569,0.0123487499,0.0010495966,0.0198515243,0.0019865518,0.000739257,0.001050055,0.0222890021,0.0900451349,-0.0027314568,-0.0009503471,0,-0.0003354819,0,0.0005366795,0,2.6905829596,0,0.6726457399,-1.1225383091,-0.2242964653,-0.1115946275,0.1301067998,1.067504896,-0.034169627,0.0231658467,0,0.0015412484,0.0058607985,0.0234018697,0.1088093458,0.000504453,0,0.5545243391,0.0011269684,0.0021252778,0.0513297471,0.0055547277,0.0809155046,0.2602872311,0.0221392615,0.0170532295,0.025252156,0.0211276274,0.4635369788,-0.0029902883,0.016692357,0.0010788246,0.0068686082,0.0099443565,0.0952613287,0.0049754885,0.1862442849,1.74605038957361E-005,0.0053355702,0.0045740772,0.0590210746,0.0115587056,0.0010579202,0.1246167154,0.0005366795,0.0062519951,0.0134803978,0.0019523637,0.12411786,0.076707336,0.0010530167,0.0014113485,0,-0.7969253773,0.0129486498,0.6726457399,2.466367713,1.5695067265,0.0870612636,0.0004713717,0.0104493523,0.0134803978,0.0254553251,0.0028226971,0.0010965202,0.854095169,0.0175852366,0.0329461088,0.0064827702,0,0.000396749,0.0141142758,0.1411806059,LiftAD
0.0006404545,0.0003238843,0.0009101164,0.0006977925,1,0.9994954123,0,0,0.9681556206,0.9053578095,0.9975275067,0.9906825667,0.00059184,0.5818780542,0.0035444925,0.0035676751,0.5848362275,0.0003467773,0.2278618046,0.0369023492,0.1249027903,0.0046810145,0.0217051411,0.0617466607,0.0001721874,0.0014375178,0.003125973,0.0041199203,4.0322580645,0.1779981555,5.8467741935,4,0.0036757486,0.6048387097,0.1542227812,1.4112903226,0.0227009872,6.05104569401319E-005,3,0.0007856677,0.0048575072,3,0.0095063532,0.9302121659,0.0002332801,0.0076788832,0.0040078747,0.0002976143,0.0180632828,0.0005471786,0.000407178,0.0007368967,-0.2229185146,0.0678586103,0.0006883254,0.0001917622,0,6.38817428105594E-005,0,0.0004072639,0,0,0,0.6048387097,-1.1782071657,-0.0840073868,0.129155536,0.1671942502,1.329315072,0.0315943544,-0.0045365167,0,0.0005045877,0.0019679056,0.0068449399,0.0510015857,0.000407178,0,0.5818780542,0.0009237359,0.0009690921,0.0225269461,0.0035676751,0.0627978112,0.320521582,0.0029581733,0.0038405975,0.0300866223,0.0142602692,0.5146575698,-0.0023008187,0.008583786,0.000478539,0.0038494793,0.0005822893,0.051909401,0.0029893087,0.1716999964,3.88536819820364E-005,0.000889494,0.0002918695,0.0575694012,0.0038494793,0.0007703701,0.0543333536,0.0003027608,0.0046810145,0.0048575072,0.0010654326,0.1139309023,0.0766567152,0.000566075,0.0007695251,0,-0.5696084801,0.0093129122,0.6048387097,0,0,0.0217721332,0.0001229685,0.0003893138,0.0029416378,0.0658194282,0.0015390501,0.0010320795,0.9154442674,0.0003154801,0.0484553928,0.0124689351,0,0.0004072639,0.0035444925,0.1346517669,LiftAD
