z_freq_e_2.08,xy_e_freq_m_1.25,z_freq_e_2.92,z_freq_m_4.58,z_dwt_ar_-7,z_dwt_ar_-6,z_dwt_ar_-9,z_dwt_ar_-8,z_dwt_ar_-3,z_dwt_ar_-2,z_dwt_ar_-5,z_dwt_ar_-4,t_freq_e_3.75,z_dwt_ar_-0,z_freq_m_2.50,t_freq_m_4.17,z_dwt_ar_-1,z_freq_e_3.75,t_freq_m_0.00,z_freq_m_0.42,xy_e_freq_e_0.42,t_freq_m_3.33,z_e_stddev,xy_e_freq_e_3.75,xy_e_freq_m_1.67,xy_e_stddev,z_freq_m_3.75,t_freq_m_2.50,xy_e_freq_p3,z_peak_stddev,xy_e_freq_p4,mcr_t,z_freq_e_1.25,xy_e_freq_p1,z_peak_mean,xy_e_freq_p2,t_freq_m_0.83,z_freq_e_4.17,mcr_z,t_freq_e_1.67,t_freq_m_1.25,zcr_z,t_freq_e_0.83,t_freq_e_0.00,xy_e_freq_m_2.50,xy_e_freq_e_1.67,z_freq_m_1.67,t_freq_e_4.58,z_e_mean,t_freq_e_2.50,xy_e_freq_m_4.58,xy_e_freq_m_0.42,corr_z_e_xy_e,z_freq_e_0.42,z_dwt_avg_-5,z_dwt_avg_-6,z_freq_p4,z_dwt_avg_-7,z_freq_p3,xy_e_freq_m_3.33,z_dwt_avg_-8,z_freq_p2,z_dwt_avg_-9,z_freq_p1,z_dwt_avg_-0,z_dwt_avg_-1,corr_z_xy_e,z_dwt_avg_-2,z_peak_d_mean,z_dwt_avg_-3,z_dwt_avg_-4,z_dwt_norm_-8,z_dwt_norm_-7,z_dwt_norm_-6,z_dwt_norm_-5,xy_e_freq_e_0.83,xy_e_freq_m_4.17,z_dwt_norm_-9,z_dwt_norm_-0,z_freq_m_4.17,z_freq_e_3.33,z_dwt_norm_-4,t_freq_m_3.75,z_dwt_norm_-3,z_dwt_norm_-2,z_dwt_norm_-1,xy_e_freq_e_2.08,xy_e_freq_e_2.92,z_freq_m_0.83,xy_e_freq_e_0.00,z_mean,z_freq_e_0.83,xy_e_freq_m_0.83,z_freq_m_3.33,z_freq_e_2.50,t_freq_m_0.42,t_freq_m_4.58,z_freq_m_0.00,z_freq_e_4.58,z_freq_e_1.67,t_freq_e_2.08,xy_e_freq_e_4.58,z_freq_m_2.92,t_freq_e_3.33,t_freq_e_0.42,xy_e_freq_m_2.92,t_freq_m_2.92,t_freq_m_1.67,t_freq_e_1.25,t_mean,t_stddev,t_freq_e_4.17,xy_e_mean,z_peak_d_stddev,z_kurt,z_freq_m_1.25,t_freq_p1,t_freq_p3,t_freq_p2,xy_e_freq_e_1.25,xy_e_freq_m_2.08,angle_mean,t_freq_m_2.08,xy_e_freq_e_4.17,xy_e_freq_m_0.00,t_freq_e_2.92,z_freq_e_0.00,angle_stddev,xy_e_freq_e_3.33,xy_e_freq_e_2.50,t_freq_p4,xy_e_freq_m_3.75,z_freq_m_2.08,z_stddev,label
0.0396252765,1.0516869173,0.0829459481,0.0521873917,1,0.9799721369,0,0,0.2348312907,0.0547806021,0.9034181802,0.707919171,0.0215099675,0.0156232518,2.0759199687,0.9421307554,0.0342906243,0.0074608183,8.292310984,1.0334591249,0.0407540642,1.0887045097,18.0725505173,0.0377915747,1.0516869173,2.6248464119,0.5037466687,0.7260874626,2.9880478088,0.9759196314,3.984063745,36,0.3494564674,0.9960159363,7.912291503,1.9920318725,1.2629320309,0.000400976,20,0.0059574317,0.623227969,20,0.022999086,0.8419339661,0.8044461047,0.0180071275,4.8044223137,0.023927434,17.0245617108,0.0078645188,1.0001527641,1.7122874452,-0.2043737835,0.0169791569,-0.1630084737,-0.0472580381,0,-0.0159872236,0,1.4046259138,0,2.9880478088,0,1.9920318725,6.0389102299,6.601071774,0.2614444642,-2.7843805427,0.9780375163,3.491064921,5.9817707464,0,0.0200278631,0.0765539567,0.1954990092,0.0424157912,1.0001527641,0,0.0156232518,0.1084053084,0.0153346511,0.4730878803,1.0887045097,0.1800506886,0.0204899779,0.0186673725,0.0079702708,0.0137022141,1.0334591249,0.7316412206,0.3269566916,0.0182593604,1.7122874452,0.7199138993,0.0861737177,1.2629320309,0.9421307554,0.6539133831,0.00010261,0.3751452434,0.001957794,0.0163261356,2.0759199687,0.0167988901,0.021822823,0.8044461047,0.7260874626,0.623227969,0.0067713178,4.146155492,1.9245338257,0.0210668003,3.8551178028,0.0347995186,-0.8280928903,4.8044223137,0.9960159363,2.9880478088,1.9920318725,0.0204145168,0.5753778861,0.0289416534,0.260787308,0.0237682519,7.7102356055,0.0073899706,0.0081157742,0.0233331825,0.0327189728,0.0144898598,3.984063745,1.4046259138,1.2136288382,4.1213264463,Trapaf
0.0262605159,3.3515655534,0.0467197984,0.0785862398,1,0.9806515788,0,0,0.2359053415,0.0682494911,0.9075393366,0.655610459,0.0069364722,6.55281206963686E-005,1.2449643273,0.4284051892,0.0285725894,0.0253678137,8.4252008358,0.8766736949,0.0282786571,0.5068878078,12.5383516701,0.0707349456,3.3515655534,6.5643550455,0.7918102468,0.5235992712,3.0120481928,0.6216433993,4.016064257,26,0.3813219779,1.0040160643,5.4190914881,2.0080321285,1.0905459751,0.0010669908,20,0.0122380943,0.8994695595,20,0.0181659247,0.8976190769,3.2560165213,0.0367143514,4.1445125894,0.0060566768,12.6618343152,0.0065400326,1.3674289697,2.8416462258,-0.1869855803,0.018624509,-0.030321537,-0.0052587332,0,-0.0014777776,0,4.231364247,0,3.0120481928,0,2.0080321285,0.3279065028,6.8393117049,0.0651227411,-0.8671284892,1.0271911253,0.940327864,-2.2104998726,0,0.0193484212,0.0731122423,0.2519288775,0.0338000824,1.502951649,0,6.55281206963686E-005,0.1789666468,0.0370390122,0.4197051175,0.5068878078,0.1676558504,0.0396769018,0.0285070613,0.0132036289,0.0407170817,0.8766736949,0.5987167327,0.1573779528,0.0321427441,2.8416462258,0.7918102468,0.0432908734,1.0905459751,0.5025325892,0.3147559055,0.0002825455,0.38426073,0.0042288304,0.0079352032,1.2449643273,0.0076098336,0.0173320368,3.2560165213,0.5235992712,0.8994695595,0.0137333543,4.2126004179,1.5275484328,0.0040489366,7.408201079,0.0351507452,-1.0684617867,4.1445125894,1.0040160643,3.0120481928,2.0080321285,0.0419040972,1.4545382501,0.0303274482,0.3566478282,0.0134841668,14.8164021581,0.0054907307,0.003622489,0.0186618685,0.0668377894,0.0476732635,4.016064257,4.231364247,0.8269884608,3.5620250432,Trapaf
0.0074476611,1.8369395419,0.0822102749,0.0506745006,0.9808289691,0.9076064135,0,1,0.0433619202,0.0242204832,0.6769376529,0.2146353301,0.0219614891,0.0066665979,2.1501957195,0.1902554912,0.0072809341,0.0028894201,8.1109554969,0.6736919284,0.0752410712,1.2446835112,14.9064692403,0.0401270455,1.8369395419,3.8380637319,0.3921546171,0.4557703288,4,0.4968876008,6,45,0.3947391648,1,6.994946701,2,1.0010107273,0.0003287543,23,0.0059270104,0.6528404372,23,0.0164241599,0.8774189598,0.8282365601,0.0378507242,4.8095848324,0.0214459312,14.9255858888,0.0031875581,0.7438981323,2.5807550742,-0.0530454578,0.0085239524,3.8480869295,0.1572993943,0,0.049727778,0,1.8962597456,0.017134701,3,0,2,5.0958494416,1.5469187846,0.2541600453,-5.5080006364,1.00138855,1.5242655084,-0.7023482895,0.0191710309,0.0732225556,0.2306687606,0.4623023228,0.0699822085,0.7456241128,0,0.0066665979,0.0848826904,0.0028417972,0.1712734098,1.2446835112,0.0191414371,0.0169395491,0.0006143362,0.0146243329,0.0131143554,0.6736919284,0.644197034,0.3343622017,0.0114805107,2.5807550742,0.3921546171,0.0840990911,1.0010107273,1.1891071697,0.6687244034,0.0001663779,0.3969504554,0.0004999419,0.0096837519,2.1501957195,0.0227559523,0.0176445909,0.8282365601,0.4557703288,0.6528404372,0.0063686114,4.0554777484,1.6970296451,0.0016100951,4.3916237969,0.0279007619,-0.9908326542,4.8095848324,1,3,2,0.0339563438,0.9741266301,0.0283478901,0.1496881198,0.010649681,8.7832475938,0.0047557,0.0083225402,0.0246080739,0.0383519942,0.0122214575,4,1.8962597456,0.506191695,3.8552992423,Trapaf
0.0544102965,1.5878645411,0.0216713271,0.0436393658,1,0.9836935159,0,0,0.2828289065,0.0390411336,0.9213463598,0.7386525749,0.0111522589,0.0196059914,1.3660112314,0.6307285083,0.0197544217,0.0140107584,6.9281046071,0.8977434003,0.0149405563,0.7360355985,11.4781667603,0.0487471765,1.5878645411,3.2547326039,0.7581362452,0.830557545,3.8,0.4212227361,4.6,30,0.379037859,1.8,6.0382857046,2.8,0.7963542765,0.000224854,18,0.0132672474,0.7985371888,19,0.014050735,0.8537280373,1.5706946248,0.0650284235,3.2958691273,0.0141504695,11.0042354801,0.0128041479,0.9115757732,0.7478853262,-0.1962972973,0.028539094,-0.0297667471,-0.0064200118,0,-0.0019799177,0,1.84060697,0,2.8,0,1.8,5.4514867282,0.4743314303,0.0882556053,2.6259170749,1.0577697753,-0.7680638964,-1.656923438,0,0.0163064841,0.0623471562,0.1826937849,0.0186753818,0.9115757732,0,0.0196059914,0.0622493968,0.0181991085,0.4558236684,0.7360355985,0.2437877729,0.0192867119,0.0001484303,0.0392062108,0.0106752716,1.0815656628,0.6010493957,0.2044345203,0.0548168025,0.7915845732,0.7581362452,0.0608572679,0.7963542765,0.6307285083,0.4243363355,0.0001363716,0.3585824299,0.0125959585,0.0235522128,0.8263622103,0.0156723381,0.0165314144,0.5496278594,0.4372350815,0.7985371888,0.0150975802,3.4640523035,1.5411493926,0.0149149811,3.3610637659,0.0204244236,-0.9223069859,3.2958691273,1,2.8,1.8,0.0673434044,1.5706946248,0.027463511,0.830557545,0.0225481943,6.7221275317,0.0060348316,0.0095138306,0.0211817155,0.05028564,0.0379481323,3.8,1.84060697,1.3660112314,3.3175997164,Trapaf
0.0217004332,1.8074289272,0.0746674717,0.1538414983,1,0.9832664083,0,0,0.2411984524,0.0409330359,0.9194527675,0.7005373893,0.0113294422,0.0069415103,1.6840483613,0.8523408843,0.0284690324,0.0064425581,7.7309185874,1.1994888349,0.017130652,0.9736074361,15.0207447578,0.0188902919,1.8074289272,3.0389303529,0.5423591105,0.5994206244,5.7213930348,0.1740135661,6.7164179104,25,0.3535209577,1.7412935323,6.3121292428,3.9800995025,1.047378027,0.0019972702,15,0.0111097863,0.7173496107,15,0.0180157739,0.8371632607,0.6184995808,0.0637075342,4.0783136134,0.0165798418,14.2558889042,0.0062490974,0.8037005242,0.884283783,0.0469624506,0.0403381723,-0.1839375201,-0.0687860811,0,-0.024452042,0,1.0932808599,0,2.9850746269,0,1.9900497512,3.7668141004,-6.6335227396,0.3185958311,2.9293024574,1.0283355715,-0.4347750144,-3.6026517789,0,0.0167335917,0.0638136408,0.2189153781,0.016998059,0.8037005242,0,0.0069415103,0.1993434888,0.0209601863,0.4593389369,0.7944669022,0.2002654165,0.0124640035,0.0215275221,0.0041958639,0.0186815027,1.1994888349,0.7277028092,0.1999110634,0.0501062291,0.9508031601,0.8956977932,0.0710747061,1.047378027,0.8523408843,0.5094638316,0.0010660748,0.3461674906,0.0001489758,0.013812767,1.6840483613,0.0262117095,0.0200790773,0.8528917073,0.9736074361,0.7173496107,0.0116243142,3.8654592937,1.7926340422,0.017897665,3.8834357109,0.0418852008,-0.9016938297,4.0783136134,0.9950248756,4.7263681592,3.7313432836,0.0709177613,0.456513824,0.0264371107,0.0748122982,0.0144734172,7.7668714218,0.023591056,0.0119584499,0.0208861005,0.0277292203,0.0057601214,0,1.0932808599,0.8280703069,3.7798153517,Trapaf
0.0504151324,3.6175325349,0.071016692,0.0441565602,1,0.9819134817,0,0,0.3025247815,0.0164929986,0.9135151273,0.6777003791,0.0052145809,0.0060970939,1.0157086571,0.3550814142,0.0063639686,0.0048538044,6.9987188114,1.0219743925,0.050337331,0.4960626309,9.1058216635,0.024407501,3.6175325349,6.1707591697,0.2847499989,0.7694677876,2.6905829596,0.202628738,3.5874439462,23,0.3377303402,0.8968609865,4.8029439516,1.7937219731,0.7010580073,0.0003991711,15,0.0294837847,1.2350357854,17,0.0095830155,0.8636770062,3.8577700955,0.0585167051,3.2782775191,0.0063390262,8.4379075298,0.0141574568,1.6922914722,3.0976792878,0.0363885585,0.0337936159,0.0085661507,-0.000908741,0,-0.0005646903,3.5874439462,2.4773738492,0,1.7937219731,0,0.8968609865,-2.3867668955,0.4993467332,0.0885142601,2.1313916454,1.097717376,-3.7332559042,-0.4946862268,0,0.0180865183,0.0683983545,0.2358147481,0.0402395855,1.2180806223,0,0.0060970939,0.0835512538,0.0721488651,0.3751755976,0.3550814142,0.2860317829,0.0101290301,0.0002668746,0.0688221161,0.0310605926,1.0219743925,0.5306979558,0.1749456394,0.0416692342,3.0976792878,1.3054201971,0.0375154748,0.7010580073,0.4525415049,0.3498912789,0.0001973584,0.3443122695,0.0123478873,0.0168471185,1.3054201971,0.0066573537,0.0115295294,2.4773738492,0.4960626309,1.2350357854,0.0288222214,3.4993594057,1.4911995698,0.0042586706,6.0213132354,0.0426838164,-0.9155610585,3.2782775191,0.8968609865,2.6905829596,1.7937219731,0.0549945007,3.8577700955,0.0295193647,0.7694677876,0.0081474501,12.0426264708,0.0079294674,0.0059480421,0.0245209126,0.0476939718,0.0682351718,3.5874439462,1.9374719646,1.0157086571,2.9060578592,Trapaf
0.046936129,2.8499791688,0.0698706247,0.059830535,1,0.982603369,0,0,0.2561534277,0.0661916527,0.9165923986,0.7257147229,0.005490254,0.0031087529,0.8229401139,0.4155384486,0.0031266666,0.0030438097,6.4749315805,0.9498536107,0.0515501683,0.3606977413,7.2291403627,0.0160677678,2.8499791688,6.1674942479,0.1807113695,0.3500277133,2.6905829596,0.8844013235,5.1569506726,16,0.3179118552,0.8968609865,4.72093372,1.7937219731,0.5787917166,0.0007713362,15,0.0250395292,0.9574331514,15,0.0185267417,0.8774091592,2.0396794582,0.0393946267,2.1671768202,0.0014197235,6.242009892,0.0034425183,3.9679259422,2.8578503675,-0.0897443575,0.0562483469,-0.1776019313,-0.0596867485,0,-0.0208726587,0,0.9773992299,0,3.3632286996,0,1.7937219731,1.6950665742,0.1286726644,0.2454084354,4.6694444792,1.157516544,5.9169109218,-1.719871821,0,0.017396631,0.0660109704,0.1908776757,0.0673332801,1.8620747726,0,0.0031087529,0.088586056,0.0596094814,0.4695612952,0.4155384486,0.189961775,0.0630649862,1.79136987638181E-005,0.0230294256,0.0082728725,1.3825366104,0.5976361055,0.220239057,0.1532617067,2.8578503675,1.0198249894,0.0407242309,0.4932478427,0.165014233,0.4404781141,0.0004343194,0.2272539694,0.0084847764,0.0833681942,1.0198249894,0.0050891758,0.0132026558,0.9773992299,0.3606977413,0.9574331514,0.0311181747,3.2374657903,1.3754358076,0.0054905097,6.1225149977,0.015213227,-0.7079396825,2.1671768202,1.7937219731,4.2600896861,3.3632286996,0.0579253839,2.0396794582,0.0300194604,0.4732810774,0.0292137812,12.2450299954,0.0052867818,0.0239341905,0.0298608796,0.0084847734,0.0177236208,0,1.6017397551,0.8229401139,2.4942741067,Trapaf
0.0074476611,1.8369395419,0.0822102749,0.0506745006,0.9808289691,0.9076064135,0,1,0.0433619202,0.0242204832,0.6769376529,0.2146353301,0.0219614891,0.0066665979,2.1501957195,0.1902554912,0.0072809341,0.0028894201,8.1109554969,0.6736919284,0.0752410712,1.2446835112,14.9064692403,0.0401270455,1.8369395419,3.8380637319,0.3921546171,0.4557703288,4,0.4968876008,6,45,0.3947391648,1,6.994946701,2,1.0010107273,0.0003287543,23,0.0059270104,0.6528404372,23,0.0164241599,0.8774189598,0.8282365601,0.0378507242,4.8095848324,0.0214459312,14.9255858888,0.0031875581,0.7438981323,2.5807550742,-0.0530454578,0.0085239524,3.8480869295,0.1572993943,0,0.049727778,0,1.8962597456,0.017134701,3,0,2,5.0958494416,1.5469187846,0.2541600453,-5.5080006364,1.00138855,1.5242655084,-0.7023482895,0.0191710309,0.0732225556,0.2306687606,0.4623023228,0.0699822085,0.7456241128,0,0.0066665979,0.0848826904,0.0028417972,0.1712734098,1.2446835112,0.0191414371,0.0169395491,0.0006143362,0.0146243329,0.0131143554,0.6736919284,0.644197034,0.3343622017,0.0114805107,2.5807550742,0.3921546171,0.0840990911,1.0010107273,1.1891071697,0.6687244034,0.0001663779,0.3969504554,0.0004999419,0.0096837519,2.1501957195,0.0227559523,0.0176445909,0.8282365601,0.4557703288,0.6528404372,0.0063686114,4.0554777484,1.6970296451,0.0016100951,4.3916237969,0.0279007619,-0.9908326542,4.8095848324,1,3,2,0.0339563438,0.9741266301,0.0283478901,0.1496881198,0.010649681,8.7832475938,0.0047557,0.0083225402,0.0246080739,0.0383519942,0.0122214575,4,1.8962597456,0.506191695,3.8552992423,Trapaf
0.0207872502,1.2163552042,0.0603091618,0.1334344197,1,0.9816420042,0,0,0.0592463288,0.0191395424,0.9116229995,0.7174608235,0.0125046323,0.0024190025,1.6800110569,0.4777946147,0.0032702603,0.0052333912,9.0103786019,0.8932246144,0.0281627894,0.9496833298,15.8412553789,0.0628414008,1.2163552042,6.8627371991,0.5344083275,0.4791965795,0,0.5736129806,0,20,0.3989963023,4.0268456376,7.5495907062,0,1.3673717945,0.0007869128,11,0.0032696989,0.445049218,11,0.0228783193,0.9008271331,2.7951387577,0.0064425916,4.8548708086,0.0098289213,15.1304773796,0.0025998959,4.0490631986,2.5159090211,-0.2966514527,0.0137112988,-0.0413795797,-0.0112768944,0,-0.0037940552,0,4.6895904548,0,0,0,2.0134228188,2.2562746529,-1.3384567971,-0.0685935256,0.7693487467,0.966705152,0.2205242281,4.0636336517,0,0.0183579958,0.0700190046,0.194162176,0.0186015253,1.7056063512,0,0.0024190025,0.1720081011,0.018186115,0.6582144947,0.9496833298,0.0401067864,0.0158692821,0.0008512578,0.0041235335,0.0299204371,0.8932246144,0.6821180642,0.0396008652,0.0149702079,2.5159090211,0.749394839,0.0533744194,1.3673717945,0.8310417081,0.2254735418,0.0006812487,0.4115519951,0.0002114876,0.0562519044,1.6800110569,0.0123013274,0.0220669693,2.7951387577,0.4791965795,0.3933522826,0.0053089142,4.505189301,1.6411299332,0.0033395088,7.8414848263,0,-0.9090199308,4.8548708086,1.0067114094,0,4.0268456376,0.0078827829,1.1385790513,0.0249901912,0.1173102273,0.0134114471,15.6829696526,0.004863192,0.0014116967,0.0180421971,0.0666486176,0.0235949062,0,4.6895904548,0.9273009004,3.9027082277,Trapaf
0.1011550162,4.7472506908,0.0487786172,0.0180947759,1,0.9776902858,0,0,0.2167016164,0.0413174377,0.8932125487,0.650095896,0.0053019221,0.0127392609,1.5663969319,0.4204852163,0.0282445373,0.0250999217,7.075205858,0.6114799717,0.0324420104,0.2974980073,8.9716660641,0.0337491045,4.7472506908,7.5161408067,0.8847733858,0.7906816544,3.7878787879,0.9347724589,5.5555555556,16,0.3090462359,1.7676767677,3.9282034862,2.7777777778,0.8641840062,1.02861092878117E-005,15,0.0312457512,1.1670963195,15,0.0173906338,0.8555751514,4.8205611658,0.076678943,2.8205745281,0.0017331767,7.9166547541,0.0124324615,1.5699656029,2.7671321862,-0.0054993815,0.0146727827,0.1391267694,0.0364793918,0,0.0121463592,0,2.9977390103,0,2.7777777778,0,1.7676767677,3.5688131729,-3.9372360381,0.0368117031,-2.0213245692,0.9466451627,3.1415723927,-1.0642424379,0,0.0223097142,0.0844777371,0.2431166528,0.0287127191,1.5699656029,0,0.0127392609,0.0127168778,0.0576033458,0.4333942795,0.4204852163,0.1753841787,0.0130729004,0.0155052763,0.0602882794,0.025235606,0.6543226382,0.5184405048,0.0346633146,0.0201480541,2.7671321862,1.0130789037,0.1121279699,0.8641840062,0.217650124,0.6114799717,2.39221240205505E-005,0.2968658587,0.0123354235,0.0133119254,1.0130789037,0.0029113582,0.0187982097,2.334744978,0.2974980073,1.1670963195,0.0357557582,3.537602929,1.5647310695,0.0046918127,7.0339974765,0.1942322223,-0.7418980373,2.8205745281,1.7676767677,0,2.7777777778,0.0858760813,4.8205611658,0.0304387214,0.7906816544,0.0151680695,14.067994953,0.001828341,0.0144679896,0.0221671396,0.0385292682,0.0715674883,0,2.9977390103,1.5663969319,2.8205731996,Trapaf
