z_hmm_model-Nietsdoen,z_hmm_model-Fietsen,z_hmm_model-Springen,z_hmm_model-Tandenpoetsen,z_hmm_model-Lopen,z_hmm_model-LiftAD,z_hmm_model-Trapaf,z_hmm_model-LiftAU,z_hmm_model-Wandelen,z_hmm_model-Trapop,label
NaN,-2.383155970465854,-3.160149536871695,NaN,-2.8704365871680237,NaN,-1.8998641987985687,NaN,-1.9688299972758303,-3.452094691385358,Trapaf
NaN,-1.9169874849657131,-3.229711000592191,NaN,-2.920341448155672,NaN,-1.5687559494424705,NaN,-2.027437534938517,-2.8111391479614705,Trapaf
NaN,-2.089349600192214,-3.177219385690831,NaN,-2.928384462808779,NaN,-1.5615202558480268,NaN,-2.0201438588038436,-2.9435575810119574,Trapaf
NaN,-1.6421621353888318,-3.2904979718259018,NaN,-2.964892715527209,NaN,-1.477250463992388,NaN,-1.8889149234605767,-2.1408577457760805,Trapaf
NaN,-2.073301149260986,-3.156431121319206,NaN,-2.895556022711671,NaN,-1.5729943540484053,NaN,-2.0477022250834223,-3.0346031625862118,Trapaf
NaN,-1.5281060151349717,-3.3778317103501587,NaN,-2.9605497762729907,NaN,-1.5433002101859814,NaN,-1.7598214997756503,-1.7785341552056426,Trapaf
NaN,-1.3517082573344146,-3.5011240821206213,NaN,-2.9793436808436398,NaN,-1.530253544883106,NaN,-1.8337780023728456,-1.3446008175791728,Trapaf
NaN,-2.089349600192214,-3.177219385690831,NaN,-2.928384462808779,NaN,-1.5615202558480268,NaN,-2.0201438588038436,-2.9435575810119574,Trapaf
NaN,-2.188729694562012,-3.167276942718519,NaN,-2.9355982475566638,NaN,-2.426885777302444,NaN,-1.9618654368740438,-2.9389392771433456,Trapaf
NaN,-1.527826527755147,-3.3962551358289574,NaN,-2.9434124192510973,NaN,-1.579754604931018,NaN,-1.7287784981681102,-1.7927057554998995,Trapaf
NaN,-1.6829395116040828,-3.2796314375968514,NaN,-2.9859383571929836,NaN,-1.6434979815070605,NaN,-1.9900990973963908,-2.2119512435299367,Trapaf
NaN,-2.180010966400053,-3.1324484900147045,NaN,-2.917331445702337,NaN,-1.6454998902473694,NaN,-1.935208259937234,-2.8247588343389003,Trapaf
NaN,-2.2648470959744325,-3.1581368608121325,NaN,-2.871835446609065,NaN,-1.6542699111567711,NaN,-2.0044380429515694,-3.303808020576881,Trapaf
NaN,-2.006904568316538,-3.184514858764832,NaN,-2.93541631938612,NaN,-1.663021124809888,NaN,-2.0150162540651624,-2.5186872761265846,Trapaf
NaN,-1.523242105115377,-3.3992230502385388,NaN,-2.985511790663578,NaN,-1.8064092743825264,NaN,-1.863506790594693,-1.682042735869178,Trapaf
NaN,-2.320653795801404,-3.0691411009575797,NaN,-2.852006523630913,NaN,-1.651887249966689,NaN,-2.0212691012443913,-3.4995872289058707,Trapaf
NaN,-29.588599228295255,-3.3902660160926037,NaN,-2.625653357156389,NaN,-25.300829257521205,NaN,-12.09768311084428,-29.820293749684588,Lopen
NaN,-13.884416117597976,-3.4117480595730294,NaN,-2.6723345244364785,NaN,-13.414207173098696,NaN,-4.854513921443042,-13.481952620271391,Lopen
NaN,-47.01140120790404,-3.868660669196987,NaN,-2.868287938041743,NaN,-42.416654262593866,NaN,-20.13745418106965,-38.65466530108834,Lopen
NaN,-29.304706185041944,-3.249515199763067,NaN,-2.5989551042012975,NaN,-25.881438388604316,NaN,-12.040110696358525,-31.28318476264676,Lopen
NaN,-14.013832957235591,-3.450598034132466,NaN,-2.7074705092598266,NaN,-12.982431877794388,NaN,-5.153987605254763,-13.928984540867853,Lopen
NaN,-20.012674716397758,-3.103695983111689,NaN,-2.588692519445897,NaN,-17.653083401775977,NaN,-7.235359505600586,-19.504243782435374,Lopen
NaN,-22.364609621361858,-4.519165396290368,NaN,-2.8076284111767915,NaN,-22.34030028455427,NaN,-8.039189514887594,-17.191649308974046,Lopen
NaN,-17.189185449703462,-3.399390186782928,NaN,-2.5648470817276614,NaN,-15.34314722284824,NaN,-5.837064190879884,-16.539972319918586,Lopen
NaN,-10.865881836037376,-2.9225451881455538,NaN,-2.6973085910081926,NaN,-8.972110251053804,NaN,-4.400458107248573,-12.38362189947645,Lopen
NaN,-20.617802450790215,-3.9175548073572157,NaN,-2.6328183001465364,NaN,-20.029654946106582,NaN,-6.857993249838759,-18.86055723619793,Lopen
NaN,-34.16771645467466,-3.99588881233029,NaN,-2.700117034664337,NaN,-29.369060543983387,NaN,-13.993856586425956,-31.725977348690915,Lopen
NaN,-30.789225725282513,-4.179851655742498,NaN,-2.7556481373278485,NaN,-27.4918810966636,NaN,-11.968285524853224,-29.203289835660787,Lopen
NaN,-39.35010465776519,-3.575187047235815,NaN,-2.713039054170493,NaN,-35.893570400169686,NaN,-16.397464256574956,-35.283984143926986,Lopen
NaN,-8.864800330046517,-3.046625965565851,NaN,-2.685849740513934,NaN,-7.9065584564748175,NaN,-3.564968537841693,-10.505841984317534,Lopen
NaN,-43.16077175550109,-3.8005236024487004,NaN,-2.707958622486472,NaN,-38.61256289275162,NaN,-18.173330274845657,-38.067377557996714,Lopen
NaN,-41.476205401099556,-3.717491508125919,NaN,-2.6639826668194035,NaN,-38.66578064622887,NaN,-16.962221046531884,-37.659611541455696,Lopen
NaN,-1.4054960175858262,-3.451729907214265,NaN,-2.951429193149546,NaN,-1.5718496500109216,NaN,-1.9332423767406228,-1.331029224353273,Trapop
