start,einde,activiteit
1423570131.5,1423570151.5,Wandelen
1423570151.5,1423570157,Trapop
1423570157,1423570159,Wandelen
1423570159,1423570165,Trapop
1423570165,1423570170,Wandelen
1423570170,1423570222,Nietsdoen
1423570222.5,1423570226.5,Wandelen
1423570227,1423570237.5,Nietsdoen
1423570237.5,1423570241,LiftAD
1423570241,1423570244.5,LiftAU
1423570244.5,1423570248.5,Nietsdoen
1423570249.5,1423570272,Wandelen
1423570273,1423570305.5,Nietsdoen
1423570306.5,1423570310,Wandelen
1423570311,1423570318.5,Nietsdoen
1423570318.5,1423570322.5,LiftAU
1423570322.5,1423570329.5,Nietsdoen
1423570329.5,1423570333.5,LiftAD
1423570333.5,1423570336.5,Nietsdoen
1423570337,1423570344.5,Wandelen
1423570344.5,1423570350.5,Trapaf
1423570350.5,1423570352,Wandelen
1423570352,1423570358.5,Trapaf
1423570358.5,1423570360.5,Wandelen
1423570360.5,1423570366,Trapaf
1423570366.5,1423570368,Wandelen
1423570368,1423570374,Trapaf
