"Start","End","Label","Prediction"
"174990","174995","Ruis",""
"174995","175000","Ruis",""
"175000","175005","Ruis",""
"175005","175010","Ruis",""
"175010","175015","Ruis",""
"175015","175020","Ruis",""
"175020","175025","Ruis",""
"175025","175030","Ruis",""
"175030","175035","Ruis",""
"175035","175040","Ruis",""
"175040","175045","Ruis",""
"175045","175050","Ruis",""
"175050","175055","Ruis",""
"175055","175060","Ruis",""
"175060","175065","Ruis",""
"175065","175070","Ruis",""
"175070","175075","Ruis",""
"175075","175080","Ruis",""
"175080","175085","Ruis",""
"175085","175090","Ruis",""
"175090","175095","Ruis",""
"175095","175100","Ruis",""
"175100","175105","Ruis",""
"175105","175110","Ruis",""
"175110","175115","Wandelen",""
"175115","175120","Wandelen",""
"175120","175125","Wandelen",""
"175125","175130","Wandelen",""
"175130","175135","Wandelen",""
"175135","175140","Wandelen",""
"175140","175145","Wandelen",""
"175145","175150","Wandelen",""
"175150","175155","Wandelen",""
"175155","175160","Wandelen",""
"175160","175165","Wandelen",""
"175165","175170","Wandelen",""
"175170","175175","Wandelen",""
"175175","175180","Wandelen",""
"175180","175185","Wandelen",""
"175185","175190","Wandelen",""
"175190","175195","Wandelen",""
"175195","175200","Wandelen",""
"175200","175205","Wandelen",""
"175205","175210","Wandelen",""
"175210","175215","Wandelen",""
"175215","175220","Wandelen",""
"175220","175225","Wandelen",""
"175225","175230","Wandelen",""
"175230","175235","Wandelen",""
"175235","175240","Wandelen",""
"175240","175245","Wandelen",""
"175245","175250","Wandelen",""
"175250","175255","Wandelen",""
"175255","175260","Wandelen",""
"175260","175265","Wandelen",""
"175265","175270","Wandelen",""
"175270","175275","Wandelen",""
"175275","175280","Wandelen",""
"175280","175285","Wandelen",""
"175285","175290","Wandelen",""
"175290","175295","Wandelen",""
"175295","175300","Wandelen",""
"175300","175305","Trapop",""
"175305","175310","Trapop",""
"175310","175315","Trapop",""
"175315","175320","Trapop",""
"175320","175325","Trapop",""
"175325","175330","Trapop",""
