@relation features

@attribute z_mean numeric
@attribute z_stddev numeric
@attribute xy_e_mean numeric
@attribute xy_e_stddev numeric
@attribute z_e_mean numeric
@attribute z_e_stddev numeric
@attribute t_mean numeric
@attribute t_stddev numeric
@attribute z_kurt numeric
@attribute corr_z_xy_e numeric
@attribute corr_z_e_xy_e numeric
@attribute mcr_z numeric
@attribute mcr_t numeric
@attribute zcr_z numeric
@attribute z_peak_mean numeric
@attribute z_peak_stddev numeric
@attribute z_peak_d_mean numeric
@attribute z_peak_d_stddev numeric
@attribute angle_mean numeric
@attribute angle_stddev numeric
@attribute z_freq_m_0.00 numeric
@attribute z_freq_m_0.42 numeric
@attribute z_freq_m_0.83 numeric
@attribute z_freq_m_1.25 numeric
@attribute z_freq_m_1.67 numeric
@attribute z_freq_m_2.08 numeric
@attribute z_freq_m_2.50 numeric
@attribute z_freq_m_2.92 numeric
@attribute z_freq_m_3.33 numeric
@attribute z_freq_m_3.75 numeric
@attribute z_freq_m_4.17 numeric
@attribute z_freq_m_4.58 numeric
@attribute z_freq_e_0.00 numeric
@attribute z_freq_e_0.42 numeric
@attribute z_freq_e_0.83 numeric
@attribute z_freq_e_1.25 numeric
@attribute z_freq_e_1.67 numeric
@attribute z_freq_e_2.08 numeric
@attribute z_freq_e_2.50 numeric
@attribute z_freq_e_2.92 numeric
@attribute z_freq_e_3.33 numeric
@attribute z_freq_e_3.75 numeric
@attribute z_freq_e_4.17 numeric
@attribute z_freq_e_4.58 numeric
@attribute z_freq_p1 numeric
@attribute z_freq_p2 numeric
@attribute z_freq_p3 numeric
@attribute z_freq_p4 numeric
@attribute xy_e_freq_m_0.00 numeric
@attribute xy_e_freq_m_0.42 numeric
@attribute xy_e_freq_m_0.83 numeric
@attribute xy_e_freq_m_1.25 numeric
@attribute xy_e_freq_m_1.67 numeric
@attribute xy_e_freq_m_2.08 numeric
@attribute xy_e_freq_m_2.50 numeric
@attribute xy_e_freq_m_2.92 numeric
@attribute xy_e_freq_m_3.33 numeric
@attribute xy_e_freq_m_3.75 numeric
@attribute xy_e_freq_m_4.17 numeric
@attribute xy_e_freq_m_4.58 numeric
@attribute xy_e_freq_e_0.00 numeric
@attribute xy_e_freq_e_0.42 numeric
@attribute xy_e_freq_e_0.83 numeric
@attribute xy_e_freq_e_1.25 numeric
@attribute xy_e_freq_e_1.67 numeric
@attribute xy_e_freq_e_2.08 numeric
@attribute xy_e_freq_e_2.50 numeric
@attribute xy_e_freq_e_2.92 numeric
@attribute xy_e_freq_e_3.33 numeric
@attribute xy_e_freq_e_3.75 numeric
@attribute xy_e_freq_e_4.17 numeric
@attribute xy_e_freq_e_4.58 numeric
@attribute xy_e_freq_p1 numeric
@attribute xy_e_freq_p2 numeric
@attribute xy_e_freq_p3 numeric
@attribute xy_e_freq_p4 numeric
@attribute t_freq_m_0.00 numeric
@attribute t_freq_m_0.42 numeric
@attribute t_freq_m_0.83 numeric
@attribute t_freq_m_1.25 numeric
@attribute t_freq_m_1.67 numeric
@attribute t_freq_m_2.08 numeric
@attribute t_freq_m_2.50 numeric
@attribute t_freq_m_2.92 numeric
@attribute t_freq_m_3.33 numeric
@attribute t_freq_m_3.75 numeric
@attribute t_freq_m_4.17 numeric
@attribute t_freq_m_4.58 numeric
@attribute t_freq_e_0.00 numeric
@attribute t_freq_e_0.42 numeric
@attribute t_freq_e_0.83 numeric
@attribute t_freq_e_1.25 numeric
@attribute t_freq_e_1.67 numeric
@attribute t_freq_e_2.08 numeric
@attribute t_freq_e_2.50 numeric
@attribute t_freq_e_2.92 numeric
@attribute t_freq_e_3.33 numeric
@attribute t_freq_e_3.75 numeric
@attribute t_freq_e_4.17 numeric
@attribute t_freq_e_4.58 numeric
@attribute t_freq_p1 numeric
@attribute t_freq_p2 numeric
@attribute t_freq_p3 numeric
@attribute t_freq_p4 numeric
@attribute z_dwt_ar_-0 numeric
@attribute z_dwt_ar_-1 numeric
@attribute z_dwt_ar_-2 numeric
@attribute z_dwt_ar_-3 numeric
@attribute z_dwt_ar_-4 numeric
@attribute z_dwt_ar_-5 numeric
@attribute z_dwt_ar_-6 numeric
@attribute z_dwt_ar_-7 numeric
@attribute z_dwt_ar_-8 numeric
@attribute z_dwt_ar_-9 numeric
@attribute z_dwt_norm_-0 numeric
@attribute z_dwt_norm_-1 numeric
@attribute z_dwt_norm_-2 numeric
@attribute z_dwt_norm_-3 numeric
@attribute z_dwt_norm_-4 numeric
@attribute z_dwt_norm_-5 numeric
@attribute z_dwt_norm_-6 numeric
@attribute z_dwt_norm_-7 numeric
@attribute z_dwt_norm_-8 numeric
@attribute z_dwt_norm_-9 numeric
@attribute z_dwt_avg_-0 numeric
@attribute z_dwt_avg_-1 numeric
@attribute z_dwt_avg_-2 numeric
@attribute z_dwt_avg_-3 numeric
@attribute z_dwt_avg_-4 numeric
@attribute z_dwt_avg_-5 numeric
@attribute z_dwt_avg_-6 numeric
@attribute z_dwt_avg_-7 numeric
@attribute z_dwt_avg_-8 numeric
@attribute z_dwt_avg_-9 numeric
@attribute z_hmm_model-Wandelen numeric
@attribute z_hmm_model-Trapop numeric
@attribute z_hmm_model-Springen numeric
@attribute z_hmm_model-Lopen numeric
@attribute z_hmm_model-Fietsen numeric
@attribute z_hmm_model-Trapaf numeric
@attribute z_hmm_model-LiftAU numeric
@attribute z_hmm_model-Tandenpoetsen numeric
@attribute z_hmm_model-Nietsdoen numeric
@attribute z_hmm_model-LiftAD numeric
@attribute label {Wandelen,Trapop,Nietsdoen,LiftAD,LiftAU,Trapaf}

@data
0.179775,3.391688,8.679244,17.624791,11.489851,27.820606,3.141751,3.215564,3.68138,0.012811,0.226415,33,17,29,6.55891,3.955722,0.624451,0.085411,0.034571,0.040844,0.883006,0.883006,1.360656,1.864033,1.864033,2.107113,2.107113,1.852868,1.058219,0.943196,0.083223,0.042542,0.032206,0.042438,0.062424,0.141144,0.104524,0.137535,0.256271,0.149141,0.049908,0.024009,0.000285,0.000115,1.8,2.8,3.8,0,17.358489,5.997682,5.997682,2.978405,3.177062,3.601475,4.487827,5.27928,5.27928,5.12059,3.820282,3.409241,0.474183,0.090413,0.047819,0.017141,0.020072,0.03397,0.049394,0.069075,0.076315,0.053275,0.032009,0.036335,1,3.6,5,0,6.283502,1.640053,1.640053,0.556949,0.625703,0.625703,0.359812,0.259331,0.462096,0.462096,0.453002,0.453002,0.806086,0.072024,0.053079,0.010433,0.013157,0.008104,0.003539,0.002541,0.005106,0.00641,0.008254,0.011267,1,2.2,0,0,0.005104,0.005128,0.010467,0.16257,0.68213,0.879835,0.974675,1,0,0,0.005104,0.000024,0.005339,0.152103,0.51956,0.197705,0.09484,0.025325,0,0,3.74021,0.258163,-0.954136,-7.555639,-7.835796,0.056898,0.020036,0.007082,0,0,-1.997472,-4.706006,-3.414224,-2.748123,-3.077422,-2.823436,?,?,?,?,Wandelen
0.191627,3.728968,25.347471,23.350519,13.886301,20.732716,5.746355,2.497624,0.352693,0.02883,0.018898,26,35,24,9.906845,0.958309,1.14859,0.000734,0.04603,0.027614,1.11413,1.11413,1.364052,1.772896,1.772896,2.585747,2.585747,2.751219,2.751219,0.307558,0.173736,0.115511,0.031352,0.027885,0.043195,0.102925,0.070818,0.144594,0.14114,0.2179,0.214517,0.003615,0.001314,0.000745,0.8,1.8,2.6,3.4,50.694941,7.685018,9.416038,13.168557,13.168557,14.37906,14.37906,4.758357,4.758357,12.130839,12.130839,8.029462,0.608617,0.019481,0.027699,0.061527,0.047653,0.062237,0.057852,0.01022,0.007924,0.037099,0.039599,0.02009,0.8,1.8,2.6,4.4,11.492711,0.884593,0.884593,0.67994,0.67994,1.306511,1.306511,0.362971,0.313477,0.613658,0.613658,1.367592,0.909137,0.012185,0.009294,0.005958,0.005411,0.015145,0.014787,0.00239,0.001034,0.002966,0.004353,0.017339,1,2.6,4.4,5.2,0.001733,0.003336,0.013157,0.168073,0.6353,0.856489,0.969404,1,0,0,0.001733,0.001603,0.009822,0.154915,0.467228,0.221189,0.112915,0.030596,0,0,1.441306,-1.385936,1.023996,4.97664,-3.950174,0.09548,0.014966,0.004234,0,0,-1.78687,-2.963764,-3.415377,-2.857916,-2.519909,-2.419619,?,?,?,?,Wandelen
-0.095529,4.521144,32.012012,28.153262,20.368108,25.417834,6.692217,2.761313,-0.4883,0.021322,-0.022609,27,46,27,8.653383,3.130617,0.946655,0.313924,0.047763,0.02835,1.064306,1.064306,0.731431,3.021606,3.021606,2.819818,2.819818,3.75035,3.75035,0.599772,0.392374,0.259323,0.018352,0.023005,0.008712,0.11837,0.149784,0.155683,0.131912,0.187842,0.187422,0.011693,0.00457,0.002653,1.8,2.6,3.6,0,64.024023,8.208315,5.985939,20.043459,20.043459,15.47658,15.47658,7.952599,7.952599,13.252407,13.252407,9.106021,0.620548,0.016325,0.007543,0.062129,0.065703,0.057762,0.055933,0.014017,0.013918,0.032984,0.033193,0.019945,0.8,1.8,2.6,4.4,13.384434,1.058805,0.720874,0.812708,0.812708,1.496572,1.496572,0.444706,0.444706,0.42242,0.475008,1.565302,0.920344,0.00959,0.003699,0.003996,0.00479,0.01707,0.016099,0.001583,0.001411,0.00123,0.002182,0.018005,0.8,1.8,2.6,5.4,0.004219,0.004398,0.023969,0.104337,0.277913,0.846401,0.967585,1,0,0,0.004219,0.000179,0.019571,0.080368,0.173577,0.568487,0.121184,0.032415,0,0,-3.260494,0.670944,-4.945975,1.982261,-3.262654,-0.234827,-0.070639,-0.024121,0,0,-2.069984,-4.160085,-3.246341,-2.85101,-3.37812,-3.032606,?,?,?,?,Wandelen
-0.010815,4.124573,31.818089,29.900062,16.94417,23.251926,6.421566,2.748812,-0.130678,0.035676,-0.013593,27,44,27,10.096591,0.39955,1.134623,0.023293,0.048387,0.027107,0.878679,0.878679,0.733161,2.724646,2.724646,2.562344,2.562344,3.058455,3.058455,0.708732,0.257072,0.16144,0.012801,0.022669,0.015049,0.11676,0.115958,0.137275,0.168411,0.210591,0.18542,0.011655,0.00223,0.001181,1.8,2.6,3.6,0,63.636178,8.183728,8.151837,21.725819,21.725819,17.072346,17.072346,8.190098,8.190098,13.739436,13.739436,10.023712,0.590609,0.019513,0.012046,0.071218,0.074805,0.061251,0.056333,0.010989,0.012781,0.030994,0.033609,0.025853,0.8,1.8,2.6,4.4,12.843133,1.039005,0.80515,1.062765,1.062765,1.631298,1.631298,0.401914,0.401914,0.464118,0.464118,1.472667,0.904551,0.011052,0.004757,0.006842,0.008627,0.02042,0.018786,0.001386,0.001392,0.001677,0.002005,0.018505,0.8,1.8,2.6,5.4,0.000498,0.000943,0.034077,0.116915,0.364932,0.844283,0.966843,1,0,0,0.000498,0.000445,0.033134,0.082838,0.248017,0.479351,0.12256,0.033157,0,0,-1.038515,0.981909,4.01748,-2.835847,1.62734,-0.241107,-0.06805,-0.02302,0,0,-1.908956,-3.498926,-3.326697,-2.906315,-2.863177,-2.730526,?,?,?,?,Wandelen
0.150061,3.676156,20.108517,18.669599,13.482583,18.633797,5.262985,2.432231,-0.025031,0.066305,0.128464,24,35,24,6.072248,3.055323,0.840912,0.236323,0.045443,0.023348,1.143683,1.143683,2.272914,2.272914,1.359502,1.835994,1.835994,2.494866,2.494866,0.574729,0.064064,0.052466,0.031142,0.028217,0.110622,0.128051,0.071964,0.134766,0.137428,0.198847,0.150997,0.007575,0.000233,0.000158,0.8,1.6,2.6,3.4,40.217034,2.844335,9.72339,9.72339,7.123726,8.683909,8.683909,6.528622,6.528622,6.839238,6.839238,6.272759,0.644246,0.008082,0.041359,0.054319,0.036923,0.051156,0.03307,0.021141,0.020144,0.027744,0.03216,0.029655,1.6,2.6,3.4,4.2,10.52597,1.130451,0.787061,0.787061,0.845089,0.98862,0.98862,0.582193,0.582193,0.399792,0.541264,1.063493,0.905178,0.014702,0.00913,0.006417,0.007549,0.015354,0.008448,0.003128,0.003189,0.002758,0.004973,0.019172,0.8,1.6,2.6,5.2,0.002896,0.003169,0.019432,0.123094,0.536054,0.853802,0.968816,1,0,0,0.002896,0.000273,0.016263,0.103662,0.412961,0.317748,0.115013,0.031184,0,0,2.41714,-0.742373,-2.448511,-6.119601,2.694476,-0.006139,0.011721,0.00495,0,0,-1.831694,-2.690007,-3.427964,-2.868761,-2.277051,-2.311174,?,?,?,?,Wandelen
-0.230842,2.761623,10.399899,10.863996,7.649346,10.531487,3.889741,1.711983,-0.268137,0.282746,-0.138355,26,26,26,6.786562,0.484826,1.127686,0.000993,0.047728,0.027276,1.708442,1.708442,1.014527,2.581284,2.581284,0.677905,0.677905,1.135164,1.135164,0.205813,0.084183,0.034072,0.130069,0.151393,0.052308,0.236208,0.227278,0.034059,0.040578,0.066988,0.05845,0.002199,0.000372,0.000099,0.8,1.8,3.6,0,20.799799,4.364169,2.858891,8.607054,8.607054,2.602113,2.602113,3.620915,3.620915,6.205666,6.205666,4.706492,0.549019,0.035835,0.017527,0.09613,0.095537,0.013345,0.013894,0.023598,0.018325,0.047545,0.050491,0.038755,0.8,1.8,3.6,4.4,7.779482,1.018826,0.934757,0.866222,0.866222,0.941623,0.941623,0.691622,0.691622,0.436229,0.436229,0.648427,0.87017,0.029206,0.01346,0.010867,0.01329,0.016793,0.014956,0.008333,0.007905,0.003189,0.003065,0.008767,0.8,1.8,2.6,3.6,0.024866,0.042808,0.18309,0.461954,0.791674,0.928125,0.984986,1,0,0,0.024866,0.017942,0.140281,0.278865,0.32972,0.136451,0.056861,0.015014,0,0,-5.331007,4.528365,-8.45389,-1.507511,0.657018,0.184523,0.066579,0.023579,0,0,-1.875612,-1.318299,-3.57315,-2.930229,-1.432418,-1.838476,?,?,?,?,Trapop
0.196584,2.079494,10.594666,12.298954,4.345644,6.24443,3.504958,1.632863,0.314006,0.02725,-0.120703,25,27,25,3.61298,2.064968,0.684814,0.054559,0.043017,0.027381,1.228487,1.228487,1.337404,1.337404,0.702292,0.714745,0.714745,0.734475,0.734475,0.363844,0.120408,0.081137,0.111375,0.10352,0.194992,0.207413,0.050856,0.07634,0.094894,0.096045,0.05204,0.009268,0.00206,0.001195,0.8,1.6,0,0,21.189332,3.344274,5.444631,5.444631,5.988668,5.988668,2.2382,4.771853,4.771853,3.437334,2.985805,2.569441,0.560939,0.030324,0.047559,0.066182,0.077204,0.059846,0.011901,0.029611,0.051006,0.035489,0.014617,0.015323,1.4,2.2,3.6,4.4,7.009917,0.914157,0.492854,0.492854,0.966463,0.966463,0.418228,0.588253,0.588253,0.441607,0.224367,0.384741,0.87755,0.017058,0.008861,0.013394,0.023218,0.0209,0.00722,0.010049,0.009912,0.005151,0.002286,0.004401,0.8,2.2,3.6,6.2,0.0106,0.075026,0.108263,0.291406,0.735038,0.9081,0.980557,1,0,0,0.0106,0.064426,0.033237,0.183143,0.443632,0.173062,0.072457,0.019443,0,0,2.098793,-5.17415,-2.313297,2.626718,1.980963,0.217792,0.07067,0.024509,0,0,-1.54905,-1.176067,-3.683467,-2.935389,-1.291447,-1.841746,?,?,?,?,Trapop
-0.03772,2.362498,10.820296,11.437977,5.560496,8.588977,3.651091,1.750022,0.339977,0.150747,-0.033669,23,31,23,5.565271,0.084769,1.32933,0.11383,0.045998,0.028772,1.077746,1.077746,1.613962,1.613962,1.237207,1.096098,1.096098,1.080728,1.080728,0.336055,0.097494,0.085189,0.062091,0.070976,0.142175,0.202959,0.104761,0.104281,0.116191,0.112154,0.075251,0.006666,0.001424,0.001071,0.8,1.6,2.8,0,21.640593,4.281181,4.888514,5.121984,5.121984,4.34928,3.169309,3.615466,3.615466,3.042917,3.042917,2.107166,0.61272,0.022891,0.036372,0.078552,0.073171,0.033191,0.021462,0.034011,0.024465,0.027716,0.023511,0.011938,1.8,3.6,4.4,0,7.302182,0.800477,0.494256,0.511937,0.691784,0.691784,0.574389,0.574389,0.427053,0.603602,0.603602,0.409571,0.875257,0.019346,0.007761,0.010538,0.017062,0.016549,0.012544,0.013092,0.006462,0.007015,0.008197,0.006177,0.6,2.4,3.2,4.4,0.004687,0.004907,0.112148,0.279266,0.747413,0.920522,0.983476,1,0,0,0.004687,0.000219,0.107241,0.167118,0.468148,0.173109,0.062953,0.016524,0,0,-1.901709,-0.411356,-6.344778,-0.177568,-2.6512,0.255861,0.075828,0.025841,0,0,-1.635505,-1.247815,-3.58652,-2.887457,-1.310996,-1.76826,?,?,?,?,Wandelen
-0.071231,2.623609,10.804698,13.371201,6.860866,12.483809,3.49162,2.344384,1.229827,0.037257,0.158801,28,20,29,4.973012,2.603974,0.71168,0.152455,0.031861,0.019994,0.606898,0.606898,1.298006,1.298006,1.566132,1.566132,1.926157,1.926157,1.373925,0.269332,0.020436,0.020436,0.016203,0.019498,0.070281,0.108365,0.133307,0.149497,0.20351,0.217478,0.077397,0.00435,0.000046,0.000069,1.6,2.4,3.2,0,21.609396,4.721408,7.432789,7.432789,6.680235,3.759116,3.759116,2.351981,2.827416,3.767666,3.767666,2.136151,0.547499,0.046122,0.074548,0.111058,0.076722,0.038992,0.022168,0.012102,0.014176,0.02494,0.021079,0.010595,0.8,1.6,4.2,0,6.98324,1.378723,0.549114,0.549114,0.607948,0.607948,0.434059,0.238203,0.238203,0.189788,0.662677,0.662677,0.881254,0.035787,0.012067,0.013767,0.014147,0.012016,0.004266,0.002124,0.001024,0.00088,0.007978,0.014691,0.8,2.4,4.8,5.6,0.000099,0.000181,0.059901,0.206336,0.631542,0.863678,0.971115,1,0,0,0.000099,0.000081,0.059721,0.146435,0.425205,0.232137,0.107437,0.028885,0,0,0.378699,0.343204,-6.381701,-6.951166,7.094523,0.021458,0.01393,0.005322,0,0,-1.500251,-1.601948,-3.496171,-2.82637,-1.496343,-1.846192,?,?,?,?,Wandelen
-0.00016,0.078532,0.098306,0.324224,0.006143,0.014808,0.205154,0.25022,3.787659,0.399246,0.605116,30,12,30,0.092828,0.060997,0.780487,0.382643,0.00226,0.002333,0.003797,0.007842,0.007842,0.03026,0.03026,0.03829,0.050701,0.050701,0.048392,0.048392,0.01135,0.00541,0.001202,0.003134,0.003546,0.041996,0.055381,0.127525,0.223059,0.208229,0.207274,0.116272,0.009309,0.003072,3.2,0,0,0,0.196611,0.120448,0.101831,0.086691,0.086691,0.07399,0.074295,0.091252,0.09341,0.09341,0.063439,0.050335,0.293737,0.117341,0.08074,0.070802,0.058602,0.047699,0.055547,0.073446,0.085354,0.059861,0.029596,0.027274,1.8,3.8,0,0,0.410309,0.110604,0.085444,0.069989,0.069989,0.039922,0.039922,0.070594,0.07679,0.07679,0.043189,0.031421,0.659559,0.084468,0.04233,0.032527,0.023293,0.008649,0.012455,0.03104,0.052442,0.035433,0.00976,0.008046,1,1.8,3.8,6.6,0.00039,0.006725,0.009604,0.027995,0.09883,0.810426,0.958869,1,0,0,0.00039,0.006334,0.00288,0.01839,0.070835,0.711596,0.148443,0.041131,0,0,-0.02285,-0.092032,0.043782,0.004673,-0.059925,0.003385,0.000677,0.000209,0,0,-0.681953,-0.324195,-3.534292,-2.587618,-0.731127,-1.250549,-0.286993,1.964612,1.065923,0.345001,Nietsdoen
