z_freq_e_2.08,xy_e_freq_m_1.25,z_freq_e_2.92,z_freq_m_4.58,z_dwt_ar_-7,z_dwt_ar_-6,z_dwt_ar_-9,z_dwt_ar_-8,z_dwt_ar_-3,z_dwt_ar_-2,z_dwt_ar_-5,z_dwt_ar_-4,t_freq_e_3.75,z_dwt_ar_-0,z_freq_m_2.50,t_freq_m_4.17,z_dwt_ar_-1,z_freq_e_3.75,t_freq_m_0.00,z_freq_m_0.42,xy_e_freq_e_0.42,t_freq_m_3.33,z_e_stddev,xy_e_freq_e_3.75,xy_e_freq_m_1.67,xy_e_stddev,z_freq_m_3.75,t_freq_m_2.50,xy_e_freq_p3,z_peak_stddev,xy_e_freq_p4,mcr_t,z_freq_e_1.25,xy_e_freq_p1,z_peak_mean,xy_e_freq_p2,t_freq_m_0.83,z_freq_e_4.17,mcr_z,t_freq_e_1.67,t_freq_m_1.25,zcr_z,t_freq_e_0.83,t_freq_e_0.00,xy_e_freq_m_2.50,xy_e_freq_e_1.67,z_freq_m_1.67,t_freq_e_4.58,z_e_mean,t_freq_e_2.50,xy_e_freq_m_4.58,xy_e_freq_m_0.42,corr_z_e_xy_e,z_freq_e_0.42,z_dwt_avg_-5,z_dwt_avg_-6,z_freq_p4,z_dwt_avg_-7,z_freq_p3,xy_e_freq_m_3.33,z_dwt_avg_-8,z_freq_p2,z_dwt_avg_-9,z_freq_p1,z_dwt_avg_-0,z_dwt_avg_-1,corr_z_xy_e,z_dwt_avg_-2,z_peak_d_mean,z_dwt_avg_-3,z_dwt_avg_-4,z_dwt_norm_-8,z_dwt_norm_-7,z_dwt_norm_-6,z_dwt_norm_-5,xy_e_freq_e_0.83,xy_e_freq_m_4.17,z_dwt_norm_-9,z_dwt_norm_-0,z_freq_m_4.17,z_freq_e_3.33,z_dwt_norm_-4,t_freq_m_3.75,z_dwt_norm_-3,z_dwt_norm_-2,z_dwt_norm_-1,xy_e_freq_e_2.08,xy_e_freq_e_2.92,z_freq_m_0.83,xy_e_freq_e_0.00,z_mean,z_freq_e_0.83,xy_e_freq_m_0.83,z_freq_m_3.33,z_freq_e_2.50,t_freq_m_0.42,t_freq_m_4.58,z_freq_m_0.00,z_freq_e_4.58,z_freq_e_1.67,t_freq_e_2.08,xy_e_freq_e_4.58,z_freq_m_2.92,t_freq_e_3.33,t_freq_e_0.42,xy_e_freq_m_2.92,t_freq_m_2.92,t_freq_m_1.67,t_freq_e_1.25,t_mean,t_stddev,t_freq_e_4.17,xy_e_mean,z_peak_d_stddev,z_kurt,z_freq_m_1.25,t_freq_p1,t_freq_p3,t_freq_p2,xy_e_freq_e_1.25,xy_e_freq_m_2.08,angle_mean,t_freq_m_2.08,xy_e_freq_e_4.17,xy_e_freq_m_0.00,t_freq_e_2.92,z_freq_e_0.00,angle_stddev,xy_e_freq_e_3.33,xy_e_freq_e_2.50,t_freq_p4,xy_e_freq_m_3.75,z_freq_m_2.08,z_stddev,label
0.0456338442,0.0199043945,0.2278036893,0.0002684592,0.7726513091,0.2616539793,1,0.9504331368,0.0197416113,0.0113438467,0.0577729103,0.03528113,0.0027824667,0.0043187735,0.0131251698,0.0142464368,0.0065968485,0.1906995228,0.5165703675,0.0047245354,0.0860269664,0.0093166059,0.0044149713,0.0043632024,0.0107789827,0.1629947914,0.0257465755,0.0122622003,7.250755287,0.0343451345,7.7542799597,136,0.0241291937,0.5035246727,0.1026485721,1.10775428,0.0271697206,0.000340628,140,0.0042544944,0.0241670806,140,0.0124875953,0.9309139397,0.0083792838,0.0073911942,0.0065096501,0.0031505854,0.0026761259,0.0026253205,0.01113448,0.035101461,0.8803815168,0.008795972,0.0114334614,0.0158150265,0,0.0002009512,0,0.0068106824,0.000042888,0,0.000013832,3.8267875126,0.0857898821,0.0623074338,0.0297148979,-0.0088831441,1.563724032,-0.0394885949,0.0254381168,0.1777818276,0.5109973298,0.203881069,0.0224917802,0.0398816784,0.01113448,0.0495668632,0.0043187735,0.0010758636,0.3547687918,0.0155395188,0.0117165498,0.0083977645,0.0047469982,0.002278075,0.0055913627,0.0037501561,0.0054042401,0.8193475101,0.0012604468,0.0188433436,0.0260687665,0.0257465755,0.0945079289,0.038040702,0.0142464368,0.0038200276,4.62827188285303E-005,0.0255551138,0.0038073356,0.0051030377,0.021874361,0.0015669817,0.026896329,0.0068106824,0.0101047528,0.018659908,0.0054116255,0.2582851838,0.2044131048,0.004063778,0.1057777484,1.4961700602,0.7088213327,0.0057394777,0.7049345418,7.250755287,1.309164149,0.0151432127,0.0107789827,0.0021110138,0.018659908,0.0058772999,0.2115554968,0.0020395481,0.0088756892,0.001377916,0.0030163301,0.0045080493,7.7542799597,0.0073855096,0.0104047095,0.0517419875,Tandenpoetsen
0.0916481737,0.0241134811,0.2003949207,0.0003124435,0.8155396514,0.4419467181,1,0.9601858621,0.020106824,0.0074372052,0.0759484529,0.0500535889,0.0012310013,0.0018938327,0.0070005649,0.0137617519,0.0051335662,0.1307961769,0.7709032038,0.003945955,0.0725254495,0.0103275537,0.0010250215,0.0024312397,0.0222003509,0.3540056391,0.0109545669,0.0102997269,7.6535750252,0.0134417976,0,192,0.0411296701,0.8559919436,0.0471399275,6.4451158107,0.0562289715,0.0012585943,129,0.0025002032,0.0209909636,125,0.013059719,0.9485618926,0.0129480986,0.0054409287,0.0050046211,0.0021117059,0.0006863443,0.0009728908,0.0152483356,0.0686179009,0.0797677494,0.0234099814,-0.0023777158,0.0017000937,3.6757301108,-0.0006437904,2.970795569,0.0141176071,-0.0001734692,1.9637462236,-0.000058117,0.6042296073,0.0261267261,0.0341718771,-0.0239715082,-0.0115463519,0.9855002697,-0.0090296459,0.0082164651,0.1446462107,0.3735929333,0.3659982652,0.025894864,0.0386663803,0.0141159222,0.0398141379,0.0018938327,0.0008809307,0.2647663561,0.0299467649,0.0137617519,0.0126696188,0.002303639,0.0032397335,0.0026277676,0.0018680001,0.0046196332,0.8568385881,0.0015634532,0.0389487788,0.0686179009,0.0111115824,0.1340413918,0.0562289715,0.0175724027,0.0045977388,0.0002831984,0.0416808927,0.0013866354,0.0042042893,0.0111115824,0.0006838781,0.0236362274,0.0118836913,0.0102997269,0.0180769745,0.0038497279,0.3854516019,0.294905111,0.0013128432,0.2347680355,0.4778581844,0.1832919914,0.0050046211,0.8559919436,7.6535750252,6.4451158107,0.0084464428,0.0137809779,0.0062376099,0.0134964927,0.0029028575,0.4695360709,0.0006932753,0.0316418651,0.0066283215,0.0016529531,0.0023951032,0,0.0141176071,0.006211715,0.0261646585,Tandenpoetsen
0.1189323623,0.0277339065,0.1652260719,0.0001483772,0.8306646291,0.4049462201,1,0.9635001419,0.0198778808,0.0165703735,0.1310632125,0.0389465718,0.004012826,0.003607781,0.0124169219,0.0173343849,0.0044736796,0.1299771684,0.5406997285,0.0052328379,0.1058297068,0.0194338383,0.002959171,0.0086406794,0.0226282053,0.1920998538,0.0152381503,0.0154181549,2.0140986908,0.0399581519,5.0352467271,162,0.0517032001,0.4531722054,0.0796687438,1.2588116818,0.0380297846,9.57788304117909E-005,124,0.0065829011,0.0380297846,126,0.0170433375,0.8965438019,0.0120734025,0.020462705,0.0081411481,0.0064709742,0.0016051802,0.0036864955,0.0207781297,0.0631606327,0.2143309356,0.0278101437,-0.0081087925,0.0121589555,0,0.0003093497,3.9274924471,0.0138205683,0.0001067299,3.0715005035,3.74740729723084E-005,0.7049345418,0.0571719362,-0.0280089179,-0.0112480789,-0.0414668241,1.3264662126,0.0077102796,-0.0025183047,0.1328355128,0.425718409,0.2738830076,0.0921166407,0.0413162861,0.0174768341,0.0364998581,0.003607781,0.0003546393,0.2026887583,0.019068691,0.0138562418,0.0033075073,0.0120966939,0.0008658986,0.0115772848,0.0079497929,0.0067798694,0.73541588,0.0009820795,0.0410967609,0.0277339065,0.0152381503,0.1693507069,0.0615611002,0.0258516226,0.0057429917,3.98608164084415E-005,0.0642395501,0.0034576301,0.0146160597,0.0124169219,0.0041099704,0.0361378189,0.0111592913,0.0194338383,0.0277598848,0.0131530609,0.2703498643,0.2060148959,0.0044617127,0.1138832649,0.960152183,1.4188009846,0.0076169028,0.4531722054,2.0140986908,1.2588116818,0.0275071914,0.0167041762,0.0037149627,0.0147191628,0.0103980063,0.2277665298,0.0043394707,0.0288396378,0.0025919552,0.0085524464,0.007733961,5.0352467271,0.0138205683,0.0102037362,0.0400728447,Tandenpoetsen
0.0103751219,0.0863023913,0.2155443802,0.0007234486,0.7613699144,0.3018647276,1,0.9478575555,0.0042621116,0.001097645,0.0349875747,0.0239532535,0.0007943805,0.000219122,0.016887615,0.0180266151,0.0005649513,0.2599518999,1.3206056985,0.0070292324,0.0332755793,0.0197274743,0.0180615955,0.002911775,0.0348960336,0.8884464111,0.0707645526,0.0126280337,0,0.0509693632,0,201,0.0059496446,0.7552870091,0.213181222,7.6535750252,0.0539942011,0.0002065632,147,0.0013042051,0.0539942011,147,0.006239432,0.9714708893,0.0267004309,0.0024131393,0.0084797538,0.0016615365,0.0123738398,0.0003700008,0.0328405412,0.1300515925,0.1126824233,0.0061604851,0.0108873604,-0.0041976109,0,0.0021583946,0,0.0427896852,0.0005938793,0,0.0001995462,3.9274924471,0.0329301435,-0.0413696241,0.0084753204,-0.0178560973,1.433406592,-0.0145156524,-0.0193447434,0.1864876411,0.4595051868,0.2668771528,0.0110343212,0.0176408717,0.0279331532,0.0521424445,0.000219122,0.0009758985,0.4588742705,0.0196911419,0.0197274743,0.0031644666,0.0005326937,0.0003458293,0.0011714574,0.0020728815,0.0070292324,0.9229196519,0.0050459276,0.0057744958,0.0949351196,0.0707645526,0.0219252316,0.0622322827,0.0219719356,0.0100918552,9.85885041365713E-005,0.0086402346,0.0004612454,0.0025432643,0.0655982296,0.0009708913,0.0117514934,0.0338089966,0.0176894754,0.0231987626,0.0035754861,0.6603028493,0.4844843747,0.0008005547,0.6581147425,1.4676893918,0.1311659625,0.008036691,0.55387714,7.6535750252,1.5609264854,0.0085257181,0.0230387776,0.0041489357,0.0126280337,0.0018219277,1.316229485,0.0005998849,0.0064990842,0.0030747071,0.0032455516,0.0014581822,0,0.0427896852,0.0094466243,0.1111792533,Tandenpoetsen
0.0270993892,0.0223485015,0.1604642582,0.0004255211,0.7952415328,0.3694968914,1,0.9552255704,0.0788750197,0.0456132886,0.1827547494,0.1055922562,0.0014803104,0.0151566207,0.0078323753,0.0104302404,0.0301951978,0.2740781646,0.5938703458,0.0053025037,0.0589070099,0.0094362082,0.0055290848,0.003691568,0.0134412493,0.2511382124,0.0284581006,0.0112604056,0,0.0483050391,0,193,0.0151470835,0.6545820745,0.0996068753,7.6032225579,0.0232047273,0.0003919767,132,0.0021401034,0.0232047273,132,0.0077078227,0.9469670226,0.0097231646,0.0051578653,0.0062179618,0.002463291,0.0028740988,0.0018690054,0.0147329306,0.0459786519,0.9189495425,0.0131740437,0.0234416962,0.0133962963,0,0.0017229098,0,0.0090075747,0.0005343038,3.7764350453,0.0001842748,2.7693856999,0.1116076554,0.1111721918,0.0070145863,0.0714782089,1.2652515142,0.0386895088,0.0270271879,0.1599840375,0.4257446414,0.186742142,0.0771624932,0.0257258186,0.0098254088,0.0447744296,0.0151566207,0.0008693257,0.4209756937,0.0267172364,0.0094362082,0.0332617311,0.0154180908,0.0150385771,0.0037290074,0.0029797335,0.0047557675,0.8725300194,0.0046150644,0.0111094962,0.028498548,0.0284581006,0.0291561635,0.0516971031,0.0180969152,0.0092301289,0.0001332411,0.0194808972,0.0015715386,0.005374878,0.0190667976,0.0013724393,0.0266772111,0.0097231646,0.0112604056,0.0153221813,0.0046969857,0.2969351729,0.2433978127,0.0015974425,0.1444792332,0.6052055521,1.7387126103,0.0052803881,0.6545820745,0,7.6032225579,0.0117287184,0.0105890023,0.0032584385,0.0106059344,0.0037329558,0.2889584665,0.0014568272,0.0287895924,0.0029419485,0.0035031811,0.0029392447,0,0.0098254088,0.0078323753,0.0534385233,Tandenpoetsen
0.1300807052,0.0209822154,0.1013832364,6.63455923125627E-005,0.1245962964,0.035817762,0.6982991812,0.3071637368,0.0035981014,0.0013168587,0.0109993501,0.0047487691,0.0093332455,0.000192497,0.0108395252,0.0114131807,0.0010518325,0.0441638912,0.34722193,0.0119426734,0.1834464516,0.0115967983,0.02893209,0.0179622339,0.0127353049,0.1675424183,0.01041518,0.0088225811,1.8511763633,0.2142977066,2.3618457049,471,0.1141373443,0.5745030093,0.2258868667,1.2675542586,0.0207728148,1.90864677484718E-005,602,0.0154438114,0.0207728148,598,0.0433490765,0.7801713742,0.0080328925,0.0470007033,0.0088970089,0.0103159355,0.0048979473,0.0092363467,0.0100315045,0.02513875,0.1350775456,0.1009626475,-0.0268998753,0.0318520192,3.7844245851,-0.0041564171,2.5624658034,0.0095930584,0.0045383135,1.4772934525,0.0020435797,0.9483859201,-0.0562465307,-0.1188406943,-0.0419882627,-0.0003146209,4.2458864848,-0.0486031179,-0.0087178517,0.1825674403,0.0887785345,0.0248184119,0.006250581,0.1367051652,0.0100315045,0.3911354445,0.000192497,0.0001140531,0.0990070148,0.0011506677,0.0115967983,0.0022812427,0.0002650262,0.0008593355,0.0288003202,0.0134314962,0.0119426734,0.4108705546,-0.001544131,0.1300220376,0.0209822154,0.01041518,0.1201247754,0.0292258954,0.0114131807,0.0075491973,7.97122264463013E-006,0.1101108567,0.0108602021,0.029455338,0.0090807838,0.0104867377,0.0645908549,0.0077746802,0.0097134941,0.0133423608,0.0258925539,0.173610965,0.1703745247,0.0097451118,0.0542650045,5.0376283372,32.7406443336,0.0098835977,0.5836221047,1.8511763633,1.2675542586,0.0779484084,0.010247218,0.0020589603,0.0124922629,0.02253817,0.1085300089,0.0105747498,0.0499804331,0.0091855093,0.0164829944,0.0153581642,2.4712748495,0.0095930584,0.0108395252,0.069974681,Tandenpoetsen
0.0813334057,0.0050000761,0.1828098201,0.0002077338,0.8383552674,0.5628586871,1,0.9650860724,0.034068281,0.0084968607,0.2141029186,0.0903352413,0.0171181682,0.0060790102,0.0036166639,0.0100888245,0.0064383543,0.1414581923,0.1850782342,0.0027567971,0.0846787724,0.0164386177,0.0004045367,0.0422711519,0.0050000761,0.0206752014,0.0103497622,0.0125871582,1.8641810919,0.0090568314,3.9280958722,93,0.0442490992,0.466045273,0.0293194727,1.0652463382,0.0156432442,0.0011291807,92,0.0219357914,0.0142446804,90,0.0241993654,0.7951365036,0.0040277206,0.0583892202,0.0037525633,0.0071183727,0.0002425957,0.0131959843,0.0033347694,0.0058549186,0.1969714497,0.0414274003,-0.0025847143,-0.0005810363,2.3302263648,-0.0002493236,1.7310252996,0.0053987253,-6.86570982601957E-005,1.1318242344,-2.29313083082803E-005,0.5992010652,-0.0225573729,-0.0054843772,0.196446647,-0.0025837283,1.39196167,0.0011523124,-0.0115409569,0.1267308049,0.2754965803,0.3487557685,0.1237676774,0.0686298946,0.0033347694,0.0349139276,0.0060790102,0.0005394467,0.2693781793,0.0562669602,0.0164386177,0.0255714203,0.0020585065,0.0003593441,0.0474954154,0.0415457161,0.0027567971,0.4488241893,-0.0008655948,0.0384777722,0.0049309794,0.0103497622,0.0829006261,0.0238193244,0.0100888245,0.0028183969,0.0003200301,0.081472904,0.0171975843,0.0228407514,0.0060733589,0.0211568679,0.04052935,0.0042607108,0.0113269749,0.0142446804,0.0224071454,0.0925391171,0.066312717,0.0073917576,0.0127124135,1.3047043687,0.8243841113,0.0029678672,0.466045273,1.8641810919,1.0652463382,0.0638460517,0.0044489386,0.0031661369,0.0128430784,0.0225658564,0.0254248271,0.0126131092,0.03504339,0.0016636906,0.0593973875,0.0395155932,2.4633821571,0.0053987253,0.0037525633,0.0155617785,Tandenpoetsen
0.0922076212,0.0077322929,0.1753627061,0.0001190748,0.8659326719,0.568450629,1,0.9710964294,0.0723485903,0.0350203218,0.3395505397,0.2308511613,0.0097316014,0.0020654573,0.0057927771,0.0206629309,0.0034792668,0.0536975101,0.2512234974,0.0057842625,0.073923489,0.0129013638,0.0006749689,0.0272364249,0.0077322929,0.0348178942,0.00566912,0.0137239875,2.5474525475,0.0131659946,3.4465534466,95,0.0523708607,0.5994005994,0.03607848,1.8981018981,0.0215837001,0.0002219913,114,0.0215231314,0.020423315,114,0.0240416424,0.802858148,0.005848076,0.0534311118,0.0040619016,0.011701024,0.000429923,0.0131450515,0.0090431837,0.0098271963,0.2822880151,0.0898317281,0.0154144469,-0.0010885926,3.7462537463,0.0003625097,2.1978021978,0.0046841027,0.000097864,1.1488511489,3.27687986488123E-005,0.5994005994,0.0197478979,-0.0163383509,0.0397976995,-0.0476568753,1.2539649376,0.0311718057,0.0154058256,0.1051637576,0.2974820428,0.2289000893,0.1086993784,0.0487250639,0.0090431837,0.0289035706,0.0020654573,0.000276361,0.171002005,0.158502571,0.0100412103,0.0373282685,0.0315410549,0.0014138095,0.0462138327,0.0251712019,0.0045014925,0.5205476304,0.0007031964,0.0726365292,0.0083598894,0.0073470638,0.1069976265,0.0327856044,0.0206629309,0.0077093025,0.000067313,0.0699749541,0.0145609244,0.0394974041,0.0073470638,0.0105228735,0.0415469053,0.005234716,0.0137239875,0.020423315,0.0233655118,0.1256117487,0.0902930421,0.0145035366,0.0234930772,0.7209067242,0.4442564468,0.0038510248,0.5994005994,2.5474525475,1.8981018981,0.053318807,0.005848076,0.0024978104,0.0178354905,0.0502911391,0.0469861543,0.0124996498,0.1156291547,0.0017703121,0.0200943626,0.0415495326,3.2967032967,0.0047929646,0.005588363,0.0207330162,Tandenpoetsen
0.0495820035,0.0064265417,0.1521776353,0.0002472992,0.8746846964,0.5601672625,1,0.9730634143,0.0889137427,0.0670302324,0.2853555725,0.2112712748,0.0101011028,0.0346436899,0.0046856852,0.0140195017,0.0348424522,0.0767699946,0.2466749973,0.0050882306,0.0710534912,0.0143193477,0.0006433809,0.0245262054,0.0070512932,0.0365138751,0.0064797866,0.0130474765,2.4475524476,0.0170313447,3.0969030969,130,0.1110485681,0.5994005994,0.0383019719,1.5984015984,0.0218493508,0.0007988253,114,0.0196671729,0.0191661172,116,0.019704855,0.8220580773,0.0055618726,0.05740402,0.0044667504,0.0121970582,0.0003091583,0.0124660133,0.0058855872,0.0109774379,0.170474563,0.0886211673,-0.0160121141,0.0035461042,3.0969030969,0.000634532,2.5474525475,0.0054665334,0.00019237,1.8481518482,6.58997211859997E-005,0.5994005994,-0.0822925144,-0.0062332611,-0.0812578012,0.0374184777,1.0847520095,0.010092142,0.0185996048,0.0983787179,0.3145174339,0.27481169,0.0740842977,0.0367401177,0.0058855872,0.0269365857,0.0346436899,0.0002532566,0.1740443224,0.1223575321,0.0110799264,0.0218835103,0.0321877802,0.0001987623,0.0570405032,0.035982475,0.0041238516,0.551224938,-0.0014415252,0.0732713204,0.0079386005,0.0064797866,0.0816145711,0.0300535389,0.0140195017,0.0050882306,0.0006539228,0.0892544027,0.0164789588,0.0340523706,0.0051341917,0.0130836612,0.0317257924,0.0054665334,0.0143193477,0.0149349587,0.0185618099,0.1233374987,0.0909256885,0.0102476491,0.0231622019,0.4897226626,2.2445175768,0.0044667504,0.5994005994,2.4475524476,1.5984015984,0.0367056905,0.0070512932,0.0035215321,0.0149349587,0.0220305092,0.0463244037,0.0137078491,0.1021632665,0.0027986081,0.0368658798,0.0363737997,3.0969030969,0.0050521739,0.0037249848,0.0175324673,Tandenpoetsen
0.0518289315,0.0058633426,0.1663490687,0.0004376642,0.8359189618,0.5105823165,1,0.9644420604,0.1015325085,0.0182261475,0.2135419955,0.1302790186,0.005127626,0.0150451443,0.0067615601,0.0060698302,0.0159084445,0.1630786243,0.2245602607,0.0025743557,0.1378443675,0.0109730933,0.0003967791,0.022631788,0.0050663655,0.0340441109,0.0106200216,0.0089187612,1.998001998,0.0097020887,5.6943056943,164,0.0522060438,0.6493506494,0.0292275984,1.4485514486,0.0158232132,0.0047692179,122,0.0076331425,0.0122325333,118,0.0196878043,0.8655167508,0.0039586417,0.0365276621,0.0033302307,0.0032535404,0.0002308599,0.0065532665,0.0036254428,0.009439874,0.7204288198,0.0497307603,0.0058350979,0.0070773757,3.2467532468,-0.0002248698,2.5474525475,0.0041668048,-5.50798817846757E-005,1.7482517483,-1.82045250478339E-005,0.8491508492,0.0400974543,-0.009605048,-0.0240395565,0.0109786609,1.3357121395,-0.0258739516,-0.0035781859,0.1285230986,0.3253366452,0.297040321,0.0832629769,0.0676042386,0.0030122655,0.0355579396,0.0150451443,0.000847397,0.232149142,0.0287465101,0.0093341276,0.0833063611,0.002317703,0.0008633002,0.033353475,0.0300418689,0.003165849,0.5345483873,0.0008420149,0.0570543172,0.0064166667,0.0106200216,0.1220209082,0.0250086277,0.0061001583,0.00275561,0.002069242,0.0476786014,0.0069669203,0.0154887425,0.0067615601,0.0101790982,0.0504556799,0.0039586417,0.0109730933,0.0097026843,0.0119491195,0.1122801304,0.0827503179,0.002804688,0.0192167421,1.2089944987,0.9669356217,0.0033302307,0.5994005994,2.5474525475,1.4485514486,0.0474887836,0.0040930783,0.0019905542,0.0089187612,0.0155250023,0.0384334842,0.0098723636,0.0510651427,0.0012669612,0.0305000333,0.0284456508,3.6463536464,0.0041668048,0.002738699,0.0151783091,Tandenpoetsen
