@relation data-allfeatures

@attribute z_freq_e_2.08 numeric
@attribute xy_e_freq_m_1.25 numeric
@attribute z_freq_e_2.92 numeric
@attribute z_freq_m_4.58 numeric
@attribute z_dwt_ar_-7 numeric
@attribute z_dwt_ar_-6 numeric
@attribute z_dwt_ar_-9 numeric
@attribute z_dwt_ar_-8 numeric
@attribute z_dwt_ar_-3 numeric
@attribute z_dwt_ar_-2 numeric
@attribute z_dwt_ar_-5 numeric
@attribute z_dwt_ar_-4 numeric
@attribute t_freq_e_3.75 numeric
@attribute z_dwt_ar_-0 numeric
@attribute z_freq_m_2.50 numeric
@attribute t_freq_m_4.17 numeric
@attribute z_dwt_ar_-1 numeric
@attribute z_freq_e_3.75 numeric
@attribute t_freq_m_0.00 numeric
@attribute z_freq_m_0.42 numeric
@attribute xy_e_freq_e_0.42 numeric
@attribute t_freq_m_3.33 numeric
@attribute z_e_stddev numeric
@attribute xy_e_freq_e_3.75 numeric
@attribute xy_e_freq_m_1.67 numeric
@attribute z_hmm_model-Nietsdoen numeric
@attribute xy_e_stddev numeric
@attribute z_freq_m_3.75 numeric
@attribute t_freq_m_2.50 numeric
@attribute xy_e_freq_p3 numeric
@attribute z_peak_stddev numeric
@attribute xy_e_freq_p4 numeric
@attribute mcr_t numeric
@attribute z_freq_e_1.25 numeric
@attribute xy_e_freq_p1 numeric
@attribute z_peak_mean numeric
@attribute xy_e_freq_p2 numeric
@attribute t_freq_m_0.83 numeric
@attribute z_freq_e_4.17 numeric
@attribute mcr_z numeric
@attribute t_freq_e_1.67 numeric
@attribute t_freq_m_1.25 numeric
@attribute zcr_z numeric
@attribute t_freq_e_0.83 numeric
@attribute z_hmm_model-Fietsen numeric
@attribute t_freq_e_0.00 numeric
@attribute xy_e_freq_m_2.50 numeric
@attribute xy_e_freq_e_1.67 numeric
@attribute z_freq_m_1.67 numeric
@attribute t_freq_e_4.58 numeric
@attribute z_hmm_model-Springen numeric
@attribute z_e_mean numeric
@attribute z_hmm_model-Tandenpoetsen numeric
@attribute t_freq_e_2.50 numeric
@attribute xy_e_freq_m_4.58 numeric
@attribute xy_e_freq_m_0.42 numeric
@attribute corr_z_e_xy_e numeric
@attribute z_freq_e_0.42 numeric
@attribute z_dwt_avg_-5 numeric
@attribute z_dwt_avg_-6 numeric
@attribute z_freq_p4 numeric
@attribute z_dwt_avg_-7 numeric
@attribute z_freq_p3 numeric
@attribute xy_e_freq_m_3.33 numeric
@attribute z_dwt_avg_-8 numeric
@attribute z_freq_p2 numeric
@attribute z_dwt_avg_-9 numeric
@attribute z_freq_p1 numeric
@attribute z_dwt_avg_-0 numeric
@attribute z_dwt_avg_-1 numeric
@attribute corr_z_xy_e numeric
@attribute z_dwt_avg_-2 numeric
@attribute z_peak_d_mean numeric
@attribute z_dwt_avg_-3 numeric
@attribute z_dwt_avg_-4 numeric
@attribute z_dwt_norm_-8 numeric
@attribute z_dwt_norm_-7 numeric
@attribute z_dwt_norm_-6 numeric
@attribute z_dwt_norm_-5 numeric
@attribute xy_e_freq_e_0.83 numeric
@attribute xy_e_freq_m_4.17 numeric
@attribute z_dwt_norm_-9 numeric
@attribute z_dwt_norm_-0 numeric
@attribute z_freq_m_4.17 numeric
@attribute z_freq_e_3.33 numeric
@attribute z_hmm_model-Lopen numeric
@attribute z_dwt_norm_-4 numeric
@attribute t_freq_m_3.75 numeric
@attribute z_dwt_norm_-3 numeric
@attribute z_dwt_norm_-2 numeric
@attribute z_dwt_norm_-1 numeric
@attribute xy_e_freq_e_2.08 numeric
@attribute xy_e_freq_e_2.92 numeric
@attribute z_freq_m_0.83 numeric
@attribute xy_e_freq_e_0.00 numeric
@attribute z_mean numeric
@attribute z_freq_e_0.83 numeric
@attribute xy_e_freq_m_0.83 numeric
@attribute z_freq_m_3.33 numeric
@attribute z_freq_e_2.50 numeric
@attribute t_freq_m_0.42 numeric
@attribute t_freq_m_4.58 numeric
@attribute z_freq_m_0.00 numeric
@attribute z_freq_e_4.58 numeric
@attribute z_freq_e_1.67 numeric
@attribute t_freq_e_2.08 numeric
@attribute xy_e_freq_e_4.58 numeric
@attribute z_freq_m_2.92 numeric
@attribute t_freq_e_3.33 numeric
@attribute t_freq_e_0.42 numeric
@attribute xy_e_freq_m_2.92 numeric
@attribute t_freq_m_2.92 numeric
@attribute t_freq_m_1.67 numeric
@attribute t_freq_e_1.25 numeric
@attribute t_mean numeric
@attribute t_stddev numeric
@attribute z_hmm_model-LiftAD numeric
@attribute t_freq_e_4.17 numeric
@attribute xy_e_mean numeric
@attribute z_peak_d_stddev numeric
@attribute z_kurt numeric
@attribute z_hmm_model-Trapaf numeric
@attribute z_freq_m_1.25 numeric
@attribute t_freq_p1 numeric
@attribute t_freq_p3 numeric
@attribute z_hmm_model-LiftAU numeric
@attribute t_freq_p2 numeric
@attribute xy_e_freq_e_1.25 numeric
@attribute xy_e_freq_m_2.08 numeric
@attribute angle_mean numeric
@attribute t_freq_m_2.08 numeric
@attribute xy_e_freq_e_4.17 numeric
@attribute xy_e_freq_m_0.00 numeric
@attribute z_hmm_model-Wandelen numeric
@attribute t_freq_e_2.92 numeric
@attribute z_freq_e_0.00 numeric
@attribute angle_stddev numeric
@attribute xy_e_freq_e_3.33 numeric
@attribute xy_e_freq_e_2.50 numeric
@attribute t_freq_p4 numeric
@attribute xy_e_freq_m_3.75 numeric
@attribute z_freq_m_2.08 numeric
@attribute z_hmm_model-Trapop numeric
@attribute z_stddev numeric
@attribute label {Trapaf,Lopen,Trapop,Tandenpoetsen,LiftAD,Fietsen,Wandelen,LiftAU,Nietsdoen,Springen}

@data
0.039625,1.051687,0.082946,0.052187,1,0.979972,0,0,0.234831,0.054781,0.903418,0.707919,0.02151,0.015623,2.07592,0.942131,0.034291,0.007461,8.292311,1.033459,0.040754,1.088705,18.072551,0.037792,1.051687,?,2.624846,0.503747,0.726087,2.988048,0.97592,3.984064,36,0.349456,0.996016,7.912292,1.992032,1.262932,0.000401,20,0.005957,0.623228,20,0.022999,-2.383156,0.841934,0.804446,0.018007,4.804422,0.023927,-3.16015,17.024562,?,0.007865,1.000153,1.712287,-0.204374,0.016979,-0.163008,-0.047258,0,-0.015987,0,1.404626,0,2.988048,0,1.992032,6.03891,6.601072,0.261444,-2.784381,0.978038,3.491065,5.981771,0,0.020028,0.076554,0.195499,0.042416,1.000153,0,0.015623,0.108405,0.015335,-2.870437,0.473088,1.088705,0.180051,0.02049,0.018667,0.00797,0.013702,1.033459,0.731641,0.326957,0.018259,1.712287,0.719914,0.086174,1.262932,0.942131,0.653913,0.000103,0.375145,0.001958,0.016326,2.07592,0.016799,0.021823,0.804446,0.726087,0.623228,0.006771,4.146155,1.924534,?,0.021067,3.855118,0.0348,-0.828093,-1.899864,4.804422,0.996016,2.988048,?,1.992032,0.020415,0.575378,0.028942,0.260787,0.023768,7.710236,-1.96883,0.00739,0.008116,0.023333,0.032719,0.01449,3.984064,1.404626,1.213629,-3.452095,4.121326,Trapaf
0.026261,3.351566,0.04672,0.078586,1,0.980652,0,0,0.235905,0.068249,0.907539,0.65561,0.006936,0.000066,1.244964,0.428405,0.028573,0.025368,8.425201,0.876674,0.028279,0.506888,12.538352,0.070735,3.351566,?,6.564355,0.79181,0.523599,3.012048,0.621643,4.016064,26,0.381322,1.004016,5.419091,2.008032,1.090546,0.001067,20,0.012238,0.89947,20,0.018166,-1.916987,0.897619,3.256017,0.036714,4.144513,0.006057,-3.229711,12.661834,?,0.00654,1.367429,2.841646,-0.186986,0.018625,-0.030322,-0.005259,0,-0.001478,0,4.231364,0,3.012048,0,2.008032,0.327907,6.839312,0.065123,-0.867128,1.027191,0.940328,-2.2105,0,0.019348,0.073112,0.251929,0.0338,1.502952,0,0.000066,0.178967,0.037039,-2.920341,0.419705,0.506888,0.167656,0.039677,0.028507,0.013204,0.040717,0.876674,0.598717,0.157378,0.032143,2.841646,0.79181,0.043291,1.090546,0.502533,0.314756,0.000283,0.384261,0.004229,0.007935,1.244964,0.00761,0.017332,3.256017,0.523599,0.89947,0.013733,4.2126,1.527548,?,0.004049,7.408201,0.035151,-1.068462,-1.568756,4.144513,1.004016,3.012048,?,2.008032,0.041904,1.454538,0.030327,0.356648,0.013484,14.816402,-2.027438,0.005491,0.003622,0.018662,0.066838,0.047673,4.016064,4.231364,0.826988,-2.811139,3.562025,Trapaf
0.007448,1.83694,0.08221,0.050675,0.980829,0.907606,0,1,0.043362,0.02422,0.676938,0.214635,0.021961,0.006667,2.150196,0.190255,0.007281,0.002889,8.110955,0.673692,0.075241,1.244684,14.906469,0.040127,1.83694,?,3.838064,0.392155,0.45577,4,0.496888,6,45,0.394739,1,6.994947,2,1.001011,0.000329,23,0.005927,0.65284,23,0.016424,-2.08935,0.877419,0.828237,0.037851,4.809585,0.021446,-3.177219,14.925586,?,0.003188,0.743898,2.580755,-0.053045,0.008524,3.848087,0.157299,0,0.049728,0,1.89626,0.017135,3,0,2,5.095849,1.546919,0.25416,-5.508001,1.001389,1.524266,-0.702348,0.019171,0.073223,0.230669,0.462302,0.069982,0.745624,0,0.006667,0.084883,0.002842,-2.928384,0.171273,1.244684,0.019141,0.01694,0.000614,0.014624,0.013114,0.673692,0.644197,0.334362,0.011481,2.580755,0.392155,0.084099,1.001011,1.189107,0.668724,0.000166,0.39695,0.0005,0.009684,2.150196,0.022756,0.017645,0.828237,0.45577,0.65284,0.006369,4.055478,1.69703,?,0.00161,4.391624,0.027901,-0.990833,-1.56152,4.809585,1,3,?,2,0.033956,0.974127,0.028348,0.149688,0.01065,8.783248,-2.020144,0.004756,0.008323,0.024608,0.038352,0.012221,4,1.89626,0.506192,-2.943558,3.855299,Trapaf
0.05441,1.587865,0.021671,0.043639,1,0.983694,0,0,0.282829,0.039041,0.921346,0.738653,0.011152,0.019606,1.366011,0.630729,0.019754,0.014011,6.928105,0.897743,0.014941,0.736036,11.478167,0.048747,1.587865,?,3.254733,0.758136,0.830558,3.8,0.421223,4.6,30,0.379038,1.8,6.038286,2.8,0.796354,0.000225,18,0.013267,0.798537,19,0.014051,-1.642162,0.853728,1.570695,0.065028,3.295869,0.01415,-3.290498,11.004235,?,0.012804,0.911576,0.747885,-0.196297,0.028539,-0.029767,-0.00642,0,-0.00198,0,1.840607,0,2.8,0,1.8,5.451487,0.474331,0.088256,2.625917,1.05777,-0.768064,-1.656923,0,0.016306,0.062347,0.182694,0.018675,0.911576,0,0.019606,0.062249,0.018199,-2.964893,0.455824,0.736036,0.243788,0.019287,0.000148,0.039206,0.010675,1.081566,0.601049,0.204435,0.054817,0.791585,0.758136,0.060857,0.796354,0.630729,0.424336,0.000136,0.358582,0.012596,0.023552,0.826362,0.015672,0.016531,0.549628,0.437235,0.798537,0.015098,3.464052,1.541149,?,0.014915,3.361064,0.020424,-0.922307,-1.47725,3.295869,1,2.8,?,1.8,0.067343,1.570695,0.027464,0.830558,0.022548,6.722128,-1.888915,0.006035,0.009514,0.021182,0.050286,0.037948,3.8,1.840607,1.366011,-2.140858,3.3176,Trapaf
0.0217,1.807429,0.074667,0.153841,1,0.983266,0,0,0.241198,0.040933,0.919453,0.700537,0.011329,0.006942,1.684048,0.852341,0.028469,0.006443,7.730919,1.199489,0.017131,0.973607,15.020745,0.01889,1.807429,?,3.03893,0.542359,0.599421,5.721393,0.174014,6.716418,25,0.353521,1.741294,6.312129,3.9801,1.047378,0.001997,15,0.01111,0.71735,15,0.018016,-2.073301,0.837163,0.6185,0.063708,4.078314,0.01658,-3.156431,14.255889,?,0.006249,0.803701,0.884284,0.046962,0.040338,-0.183938,-0.068786,0,-0.024452,0,1.093281,0,2.985075,0,1.99005,3.766814,-6.633523,0.318596,2.929302,1.028336,-0.434775,-3.602652,0,0.016734,0.063814,0.218915,0.016998,0.803701,0,0.006942,0.199343,0.02096,-2.895556,0.459339,0.794467,0.200265,0.012464,0.021528,0.004196,0.018682,1.199489,0.727703,0.199911,0.050106,0.950803,0.895698,0.071075,1.047378,0.852341,0.509464,0.001066,0.346167,0.000149,0.013813,1.684048,0.026212,0.020079,0.852892,0.973607,0.71735,0.011624,3.865459,1.792634,?,0.017898,3.883436,0.041885,-0.901694,-1.572994,4.078314,0.995025,4.726368,?,3.731343,0.070918,0.456514,0.026437,0.074812,0.014473,7.766871,-2.047702,0.023591,0.011958,0.020886,0.027729,0.00576,0,1.093281,0.82807,-3.034603,3.779815,Trapaf
0.050415,3.617533,0.071017,0.044157,1,0.981913,0,0,0.302525,0.016493,0.913515,0.6777,0.005215,0.006097,1.015709,0.355081,0.006364,0.004854,6.998719,1.021974,0.050337,0.496063,9.105822,0.024408,3.617533,?,6.170759,0.28475,0.769468,2.690583,0.202629,3.587444,23,0.33773,0.896861,4.802944,1.793722,0.701058,0.000399,15,0.029484,1.235036,17,0.009583,-1.528106,0.863677,3.85777,0.058517,3.278278,0.006339,-3.377832,8.437908,?,0.014157,1.692291,3.097679,0.036389,0.033794,0.008566,-0.000909,0,-0.000565,3.587444,2.477374,0,1.793722,0,0.896861,-2.386767,0.499347,0.088514,2.131392,1.097717,-3.733256,-0.494686,0,0.018087,0.068398,0.235815,0.04024,1.218081,0,0.006097,0.083551,0.072149,-2.96055,0.375176,0.355081,0.286032,0.010129,0.000267,0.068822,0.031061,1.021974,0.530698,0.174946,0.041669,3.097679,1.30542,0.037515,0.701058,0.452542,0.349891,0.000197,0.344312,0.012348,0.016847,1.30542,0.006657,0.01153,2.477374,0.496063,1.235036,0.028822,3.499359,1.4912,?,0.004259,6.021313,0.042684,-0.915561,-1.5433,3.278278,0.896861,2.690583,?,1.793722,0.054995,3.85777,0.029519,0.769468,0.008147,12.042626,-1.759821,0.007929,0.005948,0.024521,0.047694,0.068235,3.587444,1.937472,1.015709,-1.778534,2.906058,Trapaf
0.046936,2.849979,0.069871,0.059831,1,0.982603,0,0,0.256153,0.066192,0.916592,0.725715,0.00549,0.003109,0.82294,0.415538,0.003127,0.003044,6.474932,0.949854,0.05155,0.360698,7.22914,0.016068,2.849979,?,6.167494,0.180711,0.350028,2.690583,0.884401,5.156951,16,0.317912,0.896861,4.720934,1.793722,0.578792,0.000771,15,0.02504,0.957433,15,0.018527,-1.351708,0.877409,2.039679,0.039395,2.167177,0.00142,-3.501124,6.24201,?,0.003443,3.967926,2.85785,-0.089744,0.056248,-0.177602,-0.059687,0,-0.020873,0,0.977399,0,3.363229,0,1.793722,1.695067,0.128673,0.245408,4.669444,1.157517,5.916911,-1.719872,0,0.017397,0.066011,0.190878,0.067333,1.862075,0,0.003109,0.088586,0.059609,-2.979344,0.469561,0.415538,0.189962,0.063065,0.000018,0.023029,0.008273,1.382537,0.597636,0.220239,0.153262,2.85785,1.019825,0.040724,0.493248,0.165014,0.440478,0.000434,0.227254,0.008485,0.083368,1.019825,0.005089,0.013203,0.977399,0.360698,0.957433,0.031118,3.237466,1.375436,?,0.005491,6.122515,0.015213,-0.70794,-1.530254,2.167177,1.793722,4.26009,?,3.363229,0.057925,2.039679,0.030019,0.473281,0.029214,12.24503,-1.833778,0.005287,0.023934,0.029861,0.008485,0.017724,0,1.60174,0.82294,-1.344601,2.494274,Trapaf
0.007448,1.83694,0.08221,0.050675,0.980829,0.907606,0,1,0.043362,0.02422,0.676938,0.214635,0.021961,0.006667,2.150196,0.190255,0.007281,0.002889,8.110955,0.673692,0.075241,1.244684,14.906469,0.040127,1.83694,?,3.838064,0.392155,0.45577,4,0.496888,6,45,0.394739,1,6.994947,2,1.001011,0.000329,23,0.005927,0.65284,23,0.016424,-2.08935,0.877419,0.828237,0.037851,4.809585,0.021446,-3.177219,14.925586,?,0.003188,0.743898,2.580755,-0.053045,0.008524,3.848087,0.157299,0,0.049728,0,1.89626,0.017135,3,0,2,5.095849,1.546919,0.25416,-5.508001,1.001389,1.524266,-0.702348,0.019171,0.073223,0.230669,0.462302,0.069982,0.745624,0,0.006667,0.084883,0.002842,-2.928384,0.171273,1.244684,0.019141,0.01694,0.000614,0.014624,0.013114,0.673692,0.644197,0.334362,0.011481,2.580755,0.392155,0.084099,1.001011,1.189107,0.668724,0.000166,0.39695,0.0005,0.009684,2.150196,0.022756,0.017645,0.828237,0.45577,0.65284,0.006369,4.055478,1.69703,?,0.00161,4.391624,0.027901,-0.990833,-1.56152,4.809585,1,3,?,2,0.033956,0.974127,0.028348,0.149688,0.01065,8.783248,-2.020144,0.004756,0.008323,0.024608,0.038352,0.012221,4,1.89626,0.506192,-2.943558,3.855299,Trapaf
0.020787,1.216355,0.060309,0.133434,1,0.981642,0,0,0.059246,0.01914,0.911623,0.717461,0.012505,0.002419,1.680011,0.477795,0.00327,0.005233,9.010379,0.893225,0.028163,0.949683,15.841255,0.062841,1.216355,?,6.862737,0.534408,0.479197,0,0.573613,0,20,0.398996,4.026846,7.549591,0,1.367372,0.000787,11,0.00327,0.445049,11,0.022878,-2.18873,0.900827,2.795139,0.006443,4.854871,0.009829,-3.167277,15.130477,?,0.0026,4.049063,2.515909,-0.296651,0.013711,-0.04138,-0.011277,0,-0.003794,0,4.68959,0,0,0,2.013423,2.256275,-1.338457,-0.068594,0.769349,0.966705,0.220524,4.063634,0,0.018358,0.070019,0.194162,0.018602,1.705606,0,0.002419,0.172008,0.018186,-2.935598,0.658214,0.949683,0.040107,0.015869,0.000851,0.004124,0.02992,0.893225,0.682118,0.039601,0.01497,2.515909,0.749395,0.053374,1.367372,0.831042,0.225474,0.000681,0.411552,0.000211,0.056252,1.680011,0.012301,0.022067,2.795139,0.479197,0.393352,0.005309,4.505189,1.64113,?,0.00334,7.841485,0,-0.90902,-2.426886,4.854871,1.006711,0,?,4.026846,0.007883,1.138579,0.02499,0.11731,0.013411,15.68297,-1.961865,0.004863,0.001412,0.018042,0.066649,0.023595,0,4.68959,0.927301,-2.938939,3.902708,Trapaf
0.101155,4.747251,0.048779,0.018095,1,0.97769,0,0,0.216702,0.041317,0.893213,0.650096,0.005302,0.012739,1.566397,0.420485,0.028245,0.0251,7.075206,0.61148,0.032442,0.297498,8.971666,0.033749,4.747251,?,7.516141,0.884773,0.790682,3.787879,0.934772,5.555556,16,0.309046,1.767677,3.928203,2.777778,0.864184,0.00001,15,0.031246,1.167096,15,0.017391,-1.527827,0.855575,4.820561,0.076679,2.820575,0.001733,-3.396255,7.916655,?,0.012432,1.569966,2.767132,-0.005499,0.014673,0.139127,0.036479,0,0.012146,0,2.997739,0,2.777778,0,1.767677,3.568813,-3.937236,0.036812,-2.021325,0.946645,3.141572,-1.064242,0,0.02231,0.084478,0.243117,0.028713,1.569966,0,0.012739,0.012717,0.057603,-2.943412,0.433394,0.420485,0.175384,0.013073,0.015505,0.060288,0.025236,0.654323,0.518441,0.034663,0.020148,2.767132,1.013079,0.112128,0.864184,0.21765,0.61148,0.000024,0.296866,0.012335,0.013312,1.013079,0.002911,0.018798,2.334745,0.297498,1.167096,0.035756,3.537603,1.564731,?,0.004692,7.033997,0.194232,-0.741898,-1.579755,2.820575,1.767677,0,?,2.777778,0.085876,4.820561,0.030439,0.790682,0.015168,14.067995,-1.728778,0.001828,0.014468,0.022167,0.038529,0.071567,0,2.997739,1.566397,-1.792706,2.820573,Trapaf
