@relation data-allfeatures

@attribute angle_mean numeric
@attribute angle_stddev numeric
@attribute corr_z_e_xy_e numeric
@attribute corr_z_xy_e numeric
@attribute mcr_t numeric
@attribute mcr_z numeric
@attribute t_freq_e_0.00 numeric
@attribute t_freq_e_0.42 numeric
@attribute t_freq_e_0.83 numeric
@attribute t_freq_e_1.25 numeric
@attribute t_freq_e_1.67 numeric
@attribute t_freq_e_2.08 numeric
@attribute t_freq_e_2.50 numeric
@attribute t_freq_e_2.92 numeric
@attribute t_freq_e_3.33 numeric
@attribute t_freq_e_3.75 numeric
@attribute t_freq_e_4.17 numeric
@attribute t_freq_e_4.58 numeric
@attribute t_freq_m_0.00 numeric
@attribute t_freq_m_0.42 numeric
@attribute t_freq_m_0.83 numeric
@attribute t_freq_m_1.25 numeric
@attribute t_freq_m_1.67 numeric
@attribute t_freq_m_2.08 numeric
@attribute t_freq_m_2.50 numeric
@attribute t_freq_m_2.92 numeric
@attribute t_freq_m_3.33 numeric
@attribute t_freq_m_3.75 numeric
@attribute t_freq_m_4.17 numeric
@attribute t_freq_m_4.58 numeric
@attribute t_freq_p1 numeric
@attribute t_freq_p2 numeric
@attribute t_freq_p3 numeric
@attribute t_freq_p4 numeric
@attribute t_mean numeric
@attribute t_stddev numeric
@attribute xy_e_freq_e_0.00 numeric
@attribute xy_e_freq_e_0.42 numeric
@attribute xy_e_freq_e_0.83 numeric
@attribute xy_e_freq_e_1.25 numeric
@attribute xy_e_freq_e_1.67 numeric
@attribute xy_e_freq_e_2.08 numeric
@attribute xy_e_freq_e_2.50 numeric
@attribute xy_e_freq_e_2.92 numeric
@attribute xy_e_freq_e_3.33 numeric
@attribute xy_e_freq_e_3.75 numeric
@attribute xy_e_freq_e_4.17 numeric
@attribute xy_e_freq_e_4.58 numeric
@attribute xy_e_freq_m_0.00 numeric
@attribute xy_e_freq_m_0.42 numeric
@attribute xy_e_freq_m_0.83 numeric
@attribute xy_e_freq_m_1.25 numeric
@attribute xy_e_freq_m_1.67 numeric
@attribute xy_e_freq_m_2.08 numeric
@attribute xy_e_freq_m_2.50 numeric
@attribute xy_e_freq_m_2.92 numeric
@attribute xy_e_freq_m_3.33 numeric
@attribute xy_e_freq_m_3.75 numeric
@attribute xy_e_freq_m_4.17 numeric
@attribute xy_e_freq_m_4.58 numeric
@attribute xy_e_freq_p1 numeric
@attribute xy_e_freq_p2 numeric
@attribute xy_e_freq_p3 numeric
@attribute xy_e_freq_p4 numeric
@attribute xy_e_mean numeric
@attribute xy_e_stddev numeric
@attribute z_dwt_ar_-0 numeric
@attribute z_dwt_ar_-1 numeric
@attribute z_dwt_ar_-2 numeric
@attribute z_dwt_ar_-3 numeric
@attribute z_dwt_ar_-4 numeric
@attribute z_dwt_ar_-5 numeric
@attribute z_dwt_ar_-6 numeric
@attribute z_dwt_ar_-7 numeric
@attribute z_dwt_ar_-8 numeric
@attribute z_dwt_ar_-9 numeric
@attribute z_dwt_avg_-0 numeric
@attribute z_dwt_avg_-1 numeric
@attribute z_dwt_avg_-2 numeric
@attribute z_dwt_avg_-3 numeric
@attribute z_dwt_avg_-4 numeric
@attribute z_dwt_avg_-5 numeric
@attribute z_dwt_avg_-6 numeric
@attribute z_dwt_avg_-7 numeric
@attribute z_dwt_avg_-8 numeric
@attribute z_dwt_avg_-9 numeric
@attribute z_dwt_norm_-0 numeric
@attribute z_dwt_norm_-1 numeric
@attribute z_dwt_norm_-2 numeric
@attribute z_dwt_norm_-3 numeric
@attribute z_dwt_norm_-4 numeric
@attribute z_dwt_norm_-5 numeric
@attribute z_dwt_norm_-6 numeric
@attribute z_dwt_norm_-7 numeric
@attribute z_dwt_norm_-8 numeric
@attribute z_dwt_norm_-9 numeric
@attribute z_e_mean numeric
@attribute z_e_stddev numeric
@attribute z_freq_e_0.00 numeric
@attribute z_freq_e_0.42 numeric
@attribute z_freq_e_0.83 numeric
@attribute z_freq_e_1.25 numeric
@attribute z_freq_e_1.67 numeric
@attribute z_freq_e_2.08 numeric
@attribute z_freq_e_2.50 numeric
@attribute z_freq_e_2.92 numeric
@attribute z_freq_e_3.33 numeric
@attribute z_freq_e_3.75 numeric
@attribute z_freq_e_4.17 numeric
@attribute z_freq_e_4.58 numeric
@attribute z_freq_m_0.00 numeric
@attribute z_freq_m_0.42 numeric
@attribute z_freq_m_0.83 numeric
@attribute z_freq_m_1.25 numeric
@attribute z_freq_m_1.67 numeric
@attribute z_freq_m_2.08 numeric
@attribute z_freq_m_2.50 numeric
@attribute z_freq_m_2.92 numeric
@attribute z_freq_m_3.33 numeric
@attribute z_freq_m_3.75 numeric
@attribute z_freq_m_4.17 numeric
@attribute z_freq_m_4.58 numeric
@attribute z_freq_p1 numeric
@attribute z_freq_p2 numeric
@attribute z_freq_p3 numeric
@attribute z_freq_p4 numeric
@attribute z_hmm_model-Fietsen numeric
@attribute z_hmm_model-LiftAD numeric
@attribute z_hmm_model-LiftAU numeric
@attribute z_hmm_model-Lopen numeric
@attribute z_hmm_model-Nietsdoen numeric
@attribute z_hmm_model-Springen numeric
@attribute z_hmm_model-Tandenpoetsen numeric
@attribute z_hmm_model-Trapaf numeric
@attribute z_hmm_model-Trapop numeric
@attribute z_hmm_model-Wandelen numeric
@attribute z_kurt numeric
@attribute z_mean numeric
@attribute z_peak_d_mean numeric
@attribute z_peak_d_stddev numeric
@attribute z_peak_mean numeric
@attribute z_peak_stddev numeric
@attribute z_stddev numeric
@attribute zcr_z numeric
@attribute label {Trapaf,Lopen,Trapop,Tandenpoetsen,LiftAD,Fietsen,Wandelen,LiftAU,Nietsdoen,Springen}

@data
0.028942,0.023333,-0.204374,0.261444,36,20,0.841934,0.021823,0.022999,0.006771,0.005957,0.001958,0.007865,0.00739,0.016799,0.02151,0.021067,0.023927,8.292311,1.262932,1.262932,0.623228,0.623228,0.260787,0.726087,0.726087,1.088705,1.088705,0.942131,0.942131,0.996016,1.992032,2.988048,3.984064,4.146155,1.924534,0.731641,0.040754,0.042416,0.020415,0.018007,0.00797,0.01449,0.013702,0.032719,0.037792,0.023768,0.016326,7.710236,1.712287,1.712287,1.051687,1.051687,0.575378,0.804446,0.804446,1.404626,1.404626,1.000153,1.000153,0.996016,1.992032,2.988048,3.984064,3.855118,2.624846,0.015623,0.034291,0.054781,0.234831,0.707919,0.903418,0.979972,1,0,0,6.03891,6.601072,-2.784381,3.491065,5.981771,-0.163008,-0.047258,-0.015987,0,0,0.015623,0.018667,0.02049,0.180051,0.473088,0.195499,0.076554,0.020028,0,0,17.024562,18.072551,0.008116,0.016979,0.018259,0.349456,0.375145,0.039625,0.086174,0.082946,0.015335,0.007461,0.000401,0.000103,0.653913,1.033459,1.033459,4.804422,4.804422,1.213629,2.07592,2.07592,0.719914,0.503747,0.108405,0.052187,1.992032,2.988048,0,0,-2.383156,?,?,-2.870437,?,-3.16015,?,-1.899864,-3.452095,-1.96883,-0.828093,0.326957,0.978038,0.0348,7.912292,0.97592,4.121326,20,Trapaf
0.030327,0.018662,-0.186986,0.065123,26,20,0.897619,0.017332,0.018166,0.013733,0.012238,0.004229,0.00654,0.005491,0.00761,0.006936,0.004049,0.006057,8.425201,1.090546,1.090546,0.89947,0.89947,0.356648,0.523599,0.523599,0.506888,0.506888,0.428405,0.502533,1.004016,2.008032,3.012048,4.016064,4.2126,1.527548,0.598717,0.028279,0.0338,0.041904,0.036714,0.013204,0.047673,0.040717,0.066838,0.070735,0.013484,0.007935,14.816402,2.841646,2.841646,3.351566,3.351566,1.454538,3.256017,3.256017,4.231364,4.231364,1.502952,1.367429,1.004016,2.008032,3.012048,4.016064,7.408201,6.564355,0.000066,0.028573,0.068249,0.235905,0.65561,0.907539,0.980652,1,0,0,0.327907,6.839312,-0.867128,0.940328,-2.2105,-0.030322,-0.005259,-0.001478,0,0,0.000066,0.028507,0.039677,0.167656,0.419705,0.251929,0.073112,0.019348,0,0,12.661834,12.538352,0.003622,0.018625,0.032143,0.381322,0.384261,0.026261,0.043291,0.04672,0.037039,0.025368,0.001067,0.000283,0.314756,0.876674,0.876674,4.144513,4.144513,0.826988,1.244964,1.244964,0.79181,0.79181,0.178967,0.078586,2.008032,3.012048,0,0,-1.916987,?,?,-2.920341,?,-3.229711,?,-1.568756,-2.811139,-2.027438,-1.068462,0.157378,1.027191,0.035151,5.419091,0.621643,3.562025,20,Trapaf
0.028348,0.024608,-0.053045,0.25416,45,23,0.877419,0.017645,0.016424,0.006369,0.005927,0.0005,0.003188,0.004756,0.022756,0.021961,0.00161,0.021446,8.110955,1.001011,1.001011,0.65284,0.65284,0.149688,0.45577,0.45577,1.244684,1.244684,0.190255,1.189107,1,2,3,4,4.055478,1.69703,0.644197,0.075241,0.069982,0.033956,0.037851,0.014624,0.012221,0.013114,0.038352,0.040127,0.01065,0.009684,8.783248,2.580755,2.580755,1.83694,1.83694,0.974127,0.828237,0.828237,1.89626,1.89626,0.745624,0.743898,1,2,4,6,4.391624,3.838064,0.006667,0.007281,0.02422,0.043362,0.214635,0.676938,0.907606,0.980829,1,0,5.095849,1.546919,-5.508001,1.524266,-0.702348,3.848087,0.157299,0.049728,0.017135,0,0.006667,0.000614,0.01694,0.019141,0.171273,0.462302,0.230669,0.073223,0.019171,0,14.925586,14.906469,0.008323,0.008524,0.011481,0.394739,0.39695,0.007448,0.084099,0.08221,0.002842,0.002889,0.000329,0.000166,0.668724,0.673692,0.673692,4.809585,4.809585,0.506192,2.150196,2.150196,0.392155,0.392155,0.084883,0.050675,2,3,0,0,-2.08935,?,?,-2.928384,?,-3.177219,?,-1.56152,-2.943558,-2.020144,-0.990833,0.334362,1.001389,0.027901,6.994947,0.496888,3.855299,23,Trapaf
0.027464,0.021182,-0.196297,0.088256,30,18,0.853728,0.016531,0.014051,0.015098,0.013267,0.012596,0.012804,0.006035,0.015672,0.011152,0.014915,0.01415,6.928105,0.796354,0.796354,0.798537,0.798537,0.830558,0.830558,0.437235,0.736036,0.736036,0.630729,0.630729,1,1.8,2.8,3.8,3.464052,1.541149,0.601049,0.014941,0.018675,0.067343,0.065028,0.039206,0.037948,0.010675,0.050286,0.048747,0.022548,0.023552,6.722128,0.747885,0.791585,1.587865,1.587865,1.570695,1.570695,0.549628,1.840607,1.840607,0.911576,0.911576,1.8,2.8,3.8,4.6,3.361064,3.254733,0.019606,0.019754,0.039041,0.282829,0.738653,0.921346,0.983694,1,0,0,5.451487,0.474331,2.625917,-0.768064,-1.656923,-0.029767,-0.00642,-0.00198,0,0,0.019606,0.000148,0.019287,0.243788,0.455824,0.182694,0.062347,0.016306,0,0,11.004235,11.478167,0.009514,0.028539,0.054817,0.379038,0.358582,0.05441,0.060857,0.021671,0.018199,0.014011,0.000225,0.000136,0.424336,0.897743,1.081566,3.295869,3.295869,1.366011,1.366011,0.826362,0.758136,0.758136,0.062249,0.043639,1.8,2.8,0,0,-1.642162,?,?,-2.964893,?,-3.290498,?,-1.47725,-2.140858,-1.888915,-0.922307,0.204435,1.05777,0.020424,6.038286,0.421223,3.3176,19,Trapaf
0.026437,0.020886,0.046962,0.318596,25,15,0.837163,0.020079,0.018016,0.011624,0.01111,0.000149,0.006249,0.023591,0.026212,0.011329,0.017898,0.01658,7.730919,1.047378,1.047378,0.71735,0.71735,0.074812,0.599421,0.973607,0.973607,0.794467,0.852341,0.852341,0.995025,3.731343,4.726368,0,3.865459,1.792634,0.727703,0.017131,0.016998,0.070918,0.063708,0.004196,0.00576,0.018682,0.027729,0.01889,0.014473,0.013813,7.766871,0.884284,0.950803,1.807429,1.807429,0.456514,0.6185,0.852892,1.093281,1.093281,0.803701,0.803701,1.741294,3.9801,5.721393,6.716418,3.883436,3.03893,0.006942,0.028469,0.040933,0.241198,0.700537,0.919453,0.983266,1,0,0,3.766814,-6.633523,2.929302,-0.434775,-3.602652,-0.183938,-0.068786,-0.024452,0,0,0.006942,0.021528,0.012464,0.200265,0.459339,0.218915,0.063814,0.016734,0,0,14.255889,15.020745,0.011958,0.040338,0.050106,0.353521,0.346167,0.0217,0.071075,0.074667,0.02096,0.006443,0.001997,0.001066,0.509464,1.199489,1.199489,4.078314,4.078314,0.82807,1.684048,1.684048,0.895698,0.542359,0.199343,0.153841,1.99005,2.985075,0,0,-2.073301,?,?,-2.895556,?,-3.156431,?,-1.572994,-3.034603,-2.047702,-0.901694,0.199911,1.028336,0.041885,6.312129,0.174014,3.779815,15,Trapaf
0.029519,0.024521,0.036389,0.088514,23,15,0.863677,0.01153,0.009583,0.028822,0.029484,0.012348,0.014157,0.007929,0.006657,0.005215,0.004259,0.006339,6.998719,0.701058,0.701058,1.235036,1.235036,0.769468,0.769468,0.496063,0.496063,0.355081,0.355081,0.452542,0.896861,1.793722,2.690583,3.587444,3.499359,1.4912,0.530698,0.050337,0.04024,0.054995,0.058517,0.068822,0.068235,0.031061,0.047694,0.024408,0.008147,0.016847,12.042626,3.097679,3.097679,3.617533,3.617533,3.85777,3.85777,2.477374,2.477374,1.937472,1.218081,1.692291,0.896861,1.793722,2.690583,3.587444,6.021313,6.170759,0.006097,0.006364,0.016493,0.302525,0.6777,0.913515,0.981913,1,0,0,-2.386767,0.499347,2.131392,-3.733256,-0.494686,0.008566,-0.000909,-0.000565,0,0,0.006097,0.000267,0.010129,0.286032,0.375176,0.235815,0.068398,0.018087,0,0,8.437908,9.105822,0.005948,0.033794,0.041669,0.33773,0.344312,0.050415,0.037515,0.071017,0.072149,0.004854,0.000399,0.000197,0.349891,1.021974,1.021974,3.278278,3.278278,1.015709,1.015709,1.30542,1.30542,0.28475,0.083551,0.044157,0.896861,1.793722,3.587444,0,-1.528106,?,?,-2.96055,?,-3.377832,?,-1.5433,-1.778534,-1.759821,-0.915561,0.174946,1.097717,0.042684,4.802944,0.202629,2.906058,17,Trapaf
0.030019,0.029861,-0.089744,0.245408,16,15,0.877409,0.013203,0.018527,0.031118,0.02504,0.008485,0.003443,0.005287,0.005089,0.00549,0.005491,0.00142,6.474932,0.493248,0.578792,0.957433,0.957433,0.473281,0.350028,0.360698,0.360698,0.415538,0.415538,0.165014,1.793722,3.363229,4.26009,0,3.237466,1.375436,0.597636,0.05155,0.067333,0.057925,0.039395,0.023029,0.017724,0.008273,0.008485,0.016068,0.029214,0.083368,12.24503,2.85785,2.85785,2.849979,2.849979,2.039679,2.039679,0.977399,0.977399,1.60174,1.862075,3.967926,0.896861,1.793722,2.690583,5.156951,6.122515,6.167494,0.003109,0.003127,0.066192,0.256153,0.725715,0.916592,0.982603,1,0,0,1.695067,0.128673,4.669444,5.916911,-1.719872,-0.177602,-0.059687,-0.020873,0,0,0.003109,0.000018,0.063065,0.189962,0.469561,0.190878,0.066011,0.017397,0,0,6.24201,7.22914,0.023934,0.056248,0.153262,0.317912,0.227254,0.046936,0.040724,0.069871,0.059609,0.003044,0.000771,0.000434,0.440478,0.949854,1.382537,2.167177,2.167177,0.82294,0.82294,1.019825,1.019825,0.180711,0.088586,0.059831,1.793722,3.363229,0,0,-1.351708,?,?,-2.979344,?,-3.501124,?,-1.530254,-1.344601,-1.833778,-0.70794,0.220239,1.157517,0.015213,4.720934,0.884401,2.494274,15,Trapaf
0.028348,0.024608,-0.053045,0.25416,45,23,0.877419,0.017645,0.016424,0.006369,0.005927,0.0005,0.003188,0.004756,0.022756,0.021961,0.00161,0.021446,8.110955,1.001011,1.001011,0.65284,0.65284,0.149688,0.45577,0.45577,1.244684,1.244684,0.190255,1.189107,1,2,3,4,4.055478,1.69703,0.644197,0.075241,0.069982,0.033956,0.037851,0.014624,0.012221,0.013114,0.038352,0.040127,0.01065,0.009684,8.783248,2.580755,2.580755,1.83694,1.83694,0.974127,0.828237,0.828237,1.89626,1.89626,0.745624,0.743898,1,2,4,6,4.391624,3.838064,0.006667,0.007281,0.02422,0.043362,0.214635,0.676938,0.907606,0.980829,1,0,5.095849,1.546919,-5.508001,1.524266,-0.702348,3.848087,0.157299,0.049728,0.017135,0,0.006667,0.000614,0.01694,0.019141,0.171273,0.462302,0.230669,0.073223,0.019171,0,14.925586,14.906469,0.008323,0.008524,0.011481,0.394739,0.39695,0.007448,0.084099,0.08221,0.002842,0.002889,0.000329,0.000166,0.668724,0.673692,0.673692,4.809585,4.809585,0.506192,2.150196,2.150196,0.392155,0.392155,0.084883,0.050675,2,3,0,0,-2.08935,?,?,-2.928384,?,-3.177219,?,-1.56152,-2.943558,-2.020144,-0.990833,0.334362,1.001389,0.027901,6.994947,0.496888,3.855299,23,Trapaf
0.02499,0.018042,-0.296651,-0.068594,20,11,0.900827,0.022067,0.022878,0.005309,0.00327,0.000211,0.0026,0.004863,0.012301,0.012505,0.00334,0.009829,9.010379,1.367372,1.367372,0.445049,0.393352,0.11731,0.479197,0.479197,0.949683,0.949683,0.477795,0.831042,1.006711,4.026846,0,0,4.505189,1.64113,0.682118,0.028163,0.018602,0.007883,0.006443,0.004124,0.023595,0.02992,0.066649,0.062841,0.013411,0.056252,15.68297,2.515909,2.515909,1.216355,1.216355,1.138579,2.795139,2.795139,4.68959,4.68959,1.705606,4.049063,4.026846,0,0,0,7.841485,6.862737,0.002419,0.00327,0.01914,0.059246,0.717461,0.911623,0.981642,1,0,0,2.256275,-1.338457,0.769349,0.220524,4.063634,-0.04138,-0.011277,-0.003794,0,0,0.002419,0.000851,0.015869,0.040107,0.658214,0.194162,0.070019,0.018358,0,0,15.130477,15.841255,0.001412,0.013711,0.01497,0.398996,0.411552,0.020787,0.053374,0.060309,0.018186,0.005233,0.000787,0.000681,0.225474,0.893225,0.893225,4.854871,4.854871,0.927301,1.680011,1.680011,0.749395,0.534408,0.172008,0.133434,2.013423,0,0,0,-2.18873,?,?,-2.935598,?,-3.167277,?,-2.426886,-2.938939,-1.961865,-0.90902,0.039601,0.966705,0,7.549591,0.573613,3.902708,11,Trapaf
0.030439,0.022167,-0.005499,0.036812,16,15,0.855575,0.018798,0.017391,0.035756,0.031246,0.012335,0.012432,0.001828,0.002911,0.005302,0.004692,0.001733,7.075206,0.864184,0.864184,1.167096,1.167096,0.790682,0.790682,0.297498,0.297498,0.420485,0.420485,0.21765,1.767677,2.777778,0,0,3.537603,1.564731,0.518441,0.032442,0.028713,0.085876,0.076679,0.060288,0.071567,0.025236,0.038529,0.033749,0.015168,0.013312,14.067995,2.767132,2.767132,4.747251,4.747251,4.820561,4.820561,2.334745,2.997739,2.997739,1.569966,1.569966,1.767677,2.777778,3.787879,5.555556,7.033997,7.516141,0.012739,0.028245,0.041317,0.216702,0.650096,0.893213,0.97769,1,0,0,3.568813,-3.937236,-2.021325,3.141572,-1.064242,0.139127,0.036479,0.012146,0,0,0.012739,0.015505,0.013073,0.175384,0.433394,0.243117,0.084478,0.02231,0,0,7.916655,8.971666,0.014468,0.014673,0.020148,0.309046,0.296866,0.101155,0.112128,0.048779,0.057603,0.0251,0.00001,0.000024,0.61148,0.61148,0.654323,2.820575,2.820575,1.566397,1.566397,1.013079,1.013079,0.884773,0.012717,0.018095,1.767677,2.777778,0,0,-1.527827,?,?,-2.943412,?,-3.396255,?,-1.579755,-1.792706,-1.728778,-0.741898,0.034663,0.946645,0.194232,3.928203,0.934772,2.820573,15,Trapaf
