x y z
1 0 0.1612421759
1 0.2 0.1717077318
1 0.25 0.1648911451
1 0.3 0.1762670509
1 0.35 0.1763082083
1 0.4 0.1645782074
1 0.45 0.175981236
1 0.5 0.1492333774
1 0.55 0.1698280553
1 0.6 0.1616468899
1 0.65 0.1661650517
1 0.7 0.153424567
1 0.75 0.147673656
1 0.8 0.1507720471
1 0.85 0.1465738403
1.5 0 0.1592024432
1.5 0.2 0.1903379743
1.5 0.25 0.184225951
1.5 0.3 0.1972710158
1.5 0.35 0.2017891776
1.5 0.4 0.2066343116
1.5 0.45 0.2122522892
1.5 0.5 0.2454661085
1.5 0.55 0.2256878756
1.5 0.6 0.2478328135
1.5 0.65 0.2625352893
1.5 0.7 0.2703528982
1.5 0.75 0.2743288396
1.5 0.8 0.2786163784
1.5 0.85 0.2703528982
2 0 0.3054127269
2 0.2 0.3167582773
2 0.25 0.4165559282
2 0.3 0.3289504704
2 0.35 0.3507305113
2 0.4 0.3442516987
2 0.45 0.3710991392
2 0.5 0.4907157862
2 0.55 0.4098131409
2 0.6 0.4227730526
2 0.65 0.3825556251
2 0.7 0.3876922509
2 0.75 0.4565819188
2 0.8 0.4386224936
2 0.85 0.4569005334
2.5 0 0.4841845413
2.5 0.2 0.4891036325
2.5 0.25 0.476627911
2.5 0.3 0.5067468872
2.5 0.35 0.4770358575
2.5 0.4 0.529936449
2.5 0.45 0.5042519794
2.5 0.5 0.5357696747
2.5 0.55 0.5334993189
2.5 0.6 0.5412641802
2.5 0.65 0.5410747145
2.5 0.7 0.5550703404
2.5 0.75 0.5498874323
2.5 0.8 0.5595693428
2.5 0.85 0.5634629695
3 0 0.6060519904
3 0.2 0.5853694786
3 0.25 0.5832305582
3 0.3 0.6622339734
3 0.35 0.6292451002
3 0.4 0.6630858988
3 0.45 0.6514537452
3 0.5 0.6971288573
3 0.55 0.6420019059
3 0.6 0.6988770983
3 0.65 0.7350510138
3 0.7 0.7052146198
3 0.75 0.7445935255
3 0.8 0.7571538482
3 0.85 0.74833979
3.5 0 0.6970385792
3.5 0.2 0.6374930478
3.5 0.25 0.6615472291
3.5 0.3 0.7042434011
3.5 0.35 0.6813527426
3.5 0.4 0.7187962281
3.5 0.45 0.723332209
3.5 0.5 0.7357700058
3.5 0.55 0.7529393204
3.5 0.6 0.7559421508
3.5 0.65 0.7941605297
3.5 0.7 0.7743853718
3.5 0.75 0.7947044847
3.5 0.8 0.8134896587
3.5 0.85 0.8302440094
4 0 0.6129448206
4 0.2 0.6478220432
4 0.25 0.7008013225
4 0.3 0.7177460851
4 0.35 0.6720577269
4 0.4 0.7324121342
4 0.45 0.7426941377
4 0.5 0.7667314461
4 0.55 0.7704769221
4 0.6 0.771122509
4 0.65 0.7651068348
4 0.7 0.7945273189
4 0.75 0.816448651
4 0.8 0.8370171522
4 0.85 0.8176622408
4.5 0 0.6667902175
4.5 0.2 0.7243352813
4.5 0.25 0.6866915282
4.5 0.3 0.711888023
4.5 0.35 0.7440621069
4.5 0.4 0.7505259388
4.5 0.45 0.7753080217
4.5 0.5 0.770065743
4.5 0.55 0.756754417
4.5 0.6 0.806748133
4.5 0.65 0.7543423758
4.5 0.7 0.7838573168
4.5 0.75 0.8243164845
4.5 0.8 0.8374302237
4.5 0.85 0.8325401478
5 0 0.6738639982
5 0.2 0.7029087835
5 0.25 0.7492169461
5 0.3 0.7937089816
5 0.35 0.7822583303
5 0.4 0.7806919858
5 0.45 0.8163728017
5 0.5 0.8106421539
5 0.55 0.8222111523
5 0.6 0.8089180396
5 0.65 0.8438775769
5 0.7 0.8570671655
5 0.75 0.8458260855
5 0.8 0.8432183498
5 0.85 0.8760848548
5.5 0 0.7219306516
5.5 0.2 0.7039249441
5.5 0.25 0.739303624
5.5 0.3 0.731344172
5.5 0.35 0.7280638844
5.5 0.4 0.7512913708
5.5 0.45 0.7842817421
5.5 0.5 0.781521125
5.5 0.55 0.7548233333
5.5 0.6 0.7771802867
5.5 0.65 0.8094090105
5.5 0.7 0.7999156196
5.5 0.75 0.8186736707
5.5 0.8 0.8315554464
5.5 0.85 0.8203708986
6 0 0.6755284264
6 0.2 0.6857362363
6 0.25 0.7308622685
6 0.3 0.7091199945
6 0.35 0.7275558041
6 0.4 0.7136457255
6 0.45 0.7642241596
6 0.5 0.7837624657
6 0.55 0.7670614145
6 0.6 0.7773253624
6 0.65 0.7560162655
6 0.7 0.7946251662
