x y z
1 0.7 0.0898876404
1 0.25 0.1685393258
1 0.4 0.1348314607
1 0.2 0.1348314607
1 0.55 0.1235955056
1 0.6 0.1123595506
1 0.65 0.1235955056
1 0.75 0.1348314607
1 0 0.1685393258
1 0.45 0.1348314607
1 0.8 0.0898876404
1 0.3 0.1573033708
1 0.85 0.1123595506
1 0.5 0.1123595506
1 0.35 0.1685393258
1.5 0.7 0.6741573034
1.5 0.4 0.2808988764
1.5 0.45 0.3146067416
1.5 0.55 0.4269662921
1.5 0.65 0.595505618
1.5 0.2 0.2247191011
1.5 0 0.2247191011
1.5 0.6 0.5280898876
1.5 0.75 0.7078651685
1.5 0.5 0.5505617978
1.5 0.85 0.6741573034
1.5 0.25 0.2247191011
1.5 0.8 0.7078651685
1.5 0.3 0.2247191011
1.5 0.35 0.2359550562
2 0.35 0.4831460674
2 0.75 0.5280898876
2 0.5 0.9213483146
2 0.65 0.4606741573
2 0.85 0.4943820225
2 0.25 0.606741573
2 0 0.404494382
2 0.6 0.7752808989
2 0.8 0.4719101124
2 0.4 0.5056179775
2 0.7 0.4606741573
2 0.2 0.3370786517
2 0.55 0.7640449438
2 0.3 0.3820224719
2 0.45 0.595505618
2.5 0.7 0.595505618
2.5 0.75 0.5617977528
2.5 0.4 0.5730337079
2.5 0 0.4831460674
2.5 0.3 0.4606741573
2.5 0.55 0.595505618
2.5 0.35 0.4606741573
2.5 0.5 0.5505617978
2.5 0.65 0.5505617978
2.5 0.2 0.4831460674
2.5 0.6 0.5505617978
2.5 0.8 0.5842696629
2.5 0.45 0.5056179775
2.5 0.85 0.595505618
2.5 0.25 0.4719101124
3 0.2 0.5280898876
3 0.8 0.7528089888
3 0.45 0.4943820225
3 0 0.6629213483
3 0.75 0.6629213483
3 0.65 0.6516853933
3 0.55 0.5730337079
3 0.35 0.4831460674
3 0.85 0.6741573034
3 0.6 0.6516853933
3 0.4 0.606741573
3 0.7 0.6404494382
3 0.5 0.6629213483
3 0.25 0.595505618
3 0.3 0.6404494382
3.5 0.75 0.8202247191
3.5 0.55 0.7191011236
3.5 0.3 0.6741573034
3.5 0.8 0.8202247191
3.5 0.85 0.8539325843
3.5 0.7 0.7865168539
3.5 0.2 0.6179775281
3.5 0.25 0.6292134831
3.5 0.45 0.6516853933
3.5 0 0.6516853933
3.5 0.4 0.6853932584
3.5 0.6 0.808988764
3.5 0.5 0.6966292135
3.5 0.65 0.6966292135
3.5 0.35 0.595505618
4 0 0.6404494382
4 0.4 0.5730337079
4 0.35 0.5617977528
4 0.5 0.7640449438
4 0.85 0.6853932584
4 0.7 0.6741573034
4 0.3 0.5730337079
4 0.45 0.7191011236
4 0.2 0.5393258427
4 0.65 0.6404494382
4 0.6 0.6179775281
4 0.55 0.6179775281
4 0.75 0.7640449438
4 0.25 0.5505617978
4 0.8 0.7528089888
4.5 0.3 0.6404494382
4.5 0.4 0.6292134831
4.5 0.6 0.6292134831
4.5 0.25 0.5280898876
4.5 0.55 0.6629213483
4.5 0.85 0.7528089888
4.5 0 0.4494382022
4.5 0.8 0.7640449438
4.5 0.7 0.7191011236
4.5 0.45 0.6629213483
4.5 0.65 0.6404494382
4.5 0.5 0.5842696629
4.5 0.35 0.6404494382
4.5 0.75 0.6629213483
4.5 0.2 0.5730337079
5 0.7 0.8988764045
5 0.5 0.7191011236
5 0.4 0.808988764
5 0.6 0.9438202247
5 0.35 0.7078651685
5 0.65 0.8651685393
5 0.75 0.808988764
5 0.3 0.808988764
5 0.55 0.8314606742
5 0.25 0.6741573034
5 0.45 0.8314606742
5 0 0.5280898876
5 0.8 0.9438202247
5 0.85 0.8876404494
5 0.2 0.606741573
5.5 0.6 0.595505618
5.5 0 0.6292134831
5.5 0.55 0.595505618
5.5 0.5 0.6292134831
5.5 0.4 0.5393258427
5.5 0.35 0.4606741573
5.5 0.25 0.4831460674
5.5 0.8 0.6966292135
5.5 0.65 0.6966292135
5.5 0.3 0.5056179775
5.5 0.75 0.6741573034
5.5 0.45 0.595505618
5.5 0.2 0.5393258427
5.5 0.85 0.6853932584
5.5 0.7 0.6853932584
6 0.25 0.5617977528
6 0.55 0.595505618
6 0.4 0.5168539326
6 0.45 0.5393258427
6 0.35 0.4943820225
6 0.65 0.595505618
6 0.8 0.6853932584
6 0.7 0.595505618
6 0.3 0.595505618
6 0 0.595505618
6 0.6 0.5393258427
6 0.5 0.595505618
6 0.2 0.5393258427
6 0.85 0.6741573034
6 0.75 0.6853932584
6.5 0.3 0.4943820225
6.5 0.85 0.6629213483
6.5 0.45 0.6516853933
6.5 0.7 0.6629213483
6.5 0.2 0.5280898876
6.5 0.65 0.6741573034
6.5 0.25 0.5393258427
6.5 0.6 0.6516853933
6.5 0.75 0.7415730337
6.5 0.55 0.6629213483
6.5 0.5 0.4831460674
6.5 0.8 0.6516853933
6.5 0.4 0.6741573034
6.5 0 0.3707865169
6.5 0.35 0.6404494382
7 0.65 0.5393258427
7 0.75 0.6404494382
7 0.4 0.4719101124
7 0.25 0.5280898876
7 0.8 0.606741573
7 0.3 0.4831460674
7 0 0.3258426966
7 0.85 0.6853932584
7 0.6 0.6179775281
7 0.45 0.7078651685
7 0.7 0.6292134831
7 0.5 0.4606741573
7 0.55 0.4831460674
7 0.2 0.5393258427
7 0.35 0.7191011236
7.5 0.55 0.595505618
7.5 0.2 0.5730337079
7.5 0 0.5617977528
7.5 0.45 0.5730337079
7.5 0.25 0.5393258427
7.5 0.75 0.5842696629
7.5 0.3 0.595505618
7.5 0.85 0.595505618
7.5 0.7 0.595505618
7.5 0.6 0.5842696629
7.5 0.4 0.595505618
7.5 0.5 0.5842696629
7.5 0.65 0.595505618
7.5 0.35 0.5168539326
7.5 0.8 0.5842696629
