x y z
1 0.25 0.1773399015
1 0.75 0.1773399015
1 0.55 0.1871921182
1 0.4 0.1871921182
1 0.5 0.1871921182
1 0 0.1871921182
1 0.65 0.1871921182
1 0.7 0.1871921182
1 0.6 0.1871921182
1 0.3 0.1921182266
1 0.2 0.1921182266
1 0.35 0.1921182266
1 0.45 0.1921182266
1 0.85 0.1773399015
1 0.8 0.1822660099
1.5 0.25 0.1773399015
1.5 0.2 0.1822660099
1.5 0 0.1822660099
1.5 0.75 0.1871921182
1.5 0.5 0.1871921182
1.5 0.4 0.1921182266
1.5 0.6 0.1921182266
1.5 0.55 0.1921182266
1.5 0.3 0.1921182266
1.5 0.35 0.1921182266
1.5 0.45 0.1921182266
1.5 0.65 0.197044335
1.5 0.7 0.197044335
1.5 0.85 0.197044335
1.5 0.8 0.197044335
2 0.2 0.2118226601
2 0 0.2167487685
2 0.4 0.2216748768
2 0.6 0.2216748768
2 0.3 0.2266009852
2 0.65 0.2266009852
2 0.35 0.2561576355
2 0.5 0.2561576355
2 0.7 0.2610837438
2 0.45 0.2660098522
2 0.8 0.2709359606
2 0.25 0.2906403941
2 0.55 0.2955665025
2 0.75 0.3054187192
2 0.85 0.3300492611
2.5 0 0.5123152709
2.5 0.25 0.5221674877
2.5 0.2 0.5369458128
2.5 0.4 0.5418719212
2.5 0.45 0.5418719212
2.5 0.5 0.5517241379
2.5 0.35 0.5517241379
2.5 0.3 0.5517241379
2.5 0.6 0.5517241379
2.5 0.7 0.5566502463
2.5 0.55 0.5566502463
2.5 0.65 0.5615763547
2.5 0.75 0.5763546798
2.5 0.85 0.5911330049
2.5 0.8 0.6009852217
3 0.2 0.5714285714
3 0 0.6009852217
3 0.25 0.6108374384
3 0.45 0.6206896552
3 0.35 0.6305418719
3 0.4 0.6403940887
3 0.55 0.6403940887
3 0.6 0.6502463054
3 0.3 0.6699507389
3 0.5 0.6798029557
3 0.7 0.6995073892
3 0.75 0.7142857143
3 0.8 0.7290640394
3 0.85 0.7438423645
3 0.65 0.7586206897
3.5 0.35 0.6354679803
3.5 0.25 0.645320197
3.5 0 0.645320197
3.5 0.2 0.645320197
3.5 0.3 0.645320197
3.5 0.75 0.7733990148
3.5 0.8 0.8177339901
3.5 0.85 0.7783251232
3.5 0.45 0.6748768473
3.5 0.4 0.6896551724
3.5 0.6 0.7339901478
3.5 0.5 0.7192118227
3.5 0.55 0.7142857143
3.5 0.7 0.7389162562
3.5 0.65 0.7093596059
4 0.35 0.6256157635
4 0 0.6403940887
4 0.45 0.6650246305
4 0.3 0.6699507389
4 0.2 0.6699507389
4 0.4 0.6798029557
4 0.25 0.6896551724
4 0.5 0.7093596059
