"Start","End","Label","Prediction"
"46556.389271772","46556.889271772","Ruis","Ruis"
"46556.889271772","46557.389271772","Ruis","Ruis"
"46557.389271772","46557.889271772","Ruis","Ruis"
"46557.889271772","46558.389271772","Ruis","Ruis"
"46558.389271772","46558.889271772","Ruis","Ruis"
"46558.889271772","46559.389271772","Ruis","Ruis"
"46559.389271772","46559.889271772","Ruis","Ruis"
"46559.889271772","46560.389271772","Ruis","Ruis"
"46560.389271772","46560.889271772","Ruis","Ruis"
"46560.889271772","46561.389271772","Ruis","Ruis"
"46561.389271772","46561.889271772","Nietsdoen","Ruis"
"46561.889271772","46562.389271772","Ruis","Ruis"
"46562.389271772","46562.889271772","Ruis","Ruis"
"46562.889271772","46563.389271772","Ruis","Wandelen"
"46563.389271772","46563.889271772","Wandelen","Wandelen"
"46563.889271772","46564.389271772","Wandelen","Wandelen"
"46564.389271772","46564.889271772","Wandelen","Wandelen"
"46564.889271772","46565.389271772","Wandelen","Wandelen"
"46565.389271772","46565.889271772","Wandelen","Wandelen"
"46565.889271772","46566.389271772","Wandelen","Wandelen"
"46566.389271772","46566.889271772","Wandelen","Wandelen"
"46566.889271772","46567.389271772","Wandelen","Wandelen"
"46567.389271772","46567.889271772","Wandelen","Wandelen"
"46567.889271772","46568.389271772","Wandelen","Wandelen"
"46568.389271772","46568.889271772","Wandelen","Wandelen"
"46568.889271772","46569.389271772","Wandelen","Wandelen"
"46569.389271772","46569.889271772","Wandelen","Wandelen"
"46569.889271772","46570.389271772","Wandelen","Wandelen"
"46570.389271772","46570.889271772","Wandelen","Wandelen"
"46570.889271772","46571.389271772","Wandelen","Wandelen"
"46571.389271772","46571.889271772","Wandelen","Wandelen"
"46571.889271772","46572.389271772","Wandelen","Wandelen"
"46572.389271772","46572.889271772","Wandelen","Wandelen"
"46572.889271772","46573.389271772","Wandelen","Wandelen"
"46573.389271772","46573.889271772","Wandelen","Wandelen"
"46573.889271772","46574.389271772","Wandelen","Wandelen"
"46574.389271772","46574.889271772","Wandelen","Wandelen"
"46574.889271772","46575.389271772","Wandelen","Wandelen"
"46575.389271772","46575.889271772","Wandelen","Wandelen"
"46575.889271772","46576.389271772","Wandelen","Wandelen"
"46576.389271772","46576.889271772","Wandelen","Wandelen"
"46576.889271772","46577.389271772","Ruis","Wandelen"
"46577.389271772","46577.889271772","Ruis","Ruis"
