"Start","End","Label","Prediction"
"26962.112670898","26962.612670898","Ruis","Trapaf"
"26962.612670898","26963.112670898","Ruis","Trapaf"
"26963.112670898","26963.612670898","Ruis","Trapaf"
"26963.612670898","26964.112670898","Ruis","Trapaf"
"26964.112670898","26964.612670898","Ruis","Trapaf"
"26964.612670898","26965.112670898","Ruis","Trapaf"
"26965.112670898","26965.612670898","Ruis","Trapaf"
"26965.612670898","26966.112670898","Ruis","Trapaf"
"26966.112670898","26966.612670898","Ruis","Trapaf"
"26966.612670898","26967.112670898","Ruis","Trapaf"
"26967.112670898","26967.612670898","trapaf","Trapaf"
"26967.612670898","26968.112670898","trapaf","Trapaf"
"26968.112670898","26968.612670898","trapaf","Trapaf"
"26968.612670898","26969.112670898","trapaf","Trapaf"
"26969.112670898","26969.612670898","trapaf","Trapaf"
"26969.612670898","26970.112670898","trapaf","Trapaf"
"26970.112670898","26970.612670898","trapaf","Trapaf"
"26970.612670898","26971.112670898","trapaf","Trapaf"
"26971.112670898","26971.612670898","trapaf","Trapaf"
"26971.612670898","26972.112670898","trapaf","Trapaf"
"26972.112670898","26972.612670898","trapaf","Trapaf"
"26972.612670898","26973.112670898","trapaf","Trapaf"
"26973.112670898","26973.612670898","trapaf","Trapaf"
"26973.612670898","26974.112670898","trapaf","Trapaf"
"26974.112670898","26974.612670898","trapaf","Trapaf"
"26974.612670898","26975.112670898","trapaf","Trapaf"
"26975.112670898","26975.612670898","trapaf","Trapaf"
"26975.612670898","26976.112670898","trapaf","Trapaf"
"26976.112670898","26976.612670898","trapaf","Trapaf"
"26976.612670898","26977.112670898","trapaf","Trapaf"
"26977.112670898","26977.612670898","trapaf","Trapaf"
"26977.612670898","26978.112670898","trapaf","Trapaf"
"26978.112670898","26978.612670898","trapaf","Trapop"
"26978.612670898","26979.112670898","trapaf","Trapop"
"26979.112670898","26979.612670898","trapaf","Trapop"
"26979.612670898","26980.112670898","trapaf","Trapop"
"26980.112670898","26980.612670898","trapaf","Trapop"
"26980.612670898","26981.112670898","trapaf","Trapop"
"26981.112670898","26981.612670898","trapaf","Trapop"
"26981.612670898","26982.112670898","trapaf","Trapop"
"26982.112670898","26982.612670898","trapaf","Trapop"
"26982.612670898","26983.112670898","trapaf","Trapop"
"26983.112670898","26983.612670898","trapaf","Trapop"
"26983.612670898","26984.112670898","trapaf","Trapop"
"26984.112670898","26984.612670898","trapaf","Trapop"
"26984.612670898","26985.112670898","trapaf","Trapop"
"26985.112670898","26985.612670898","trapaf","Trapop"
"26985.612670898","26986.112670898","trapaf","Trapop"
"26986.112670898","26986.612670898","trapaf","Trapop"
"26986.612670898","26987.112670898","trapaf","Trapop"
"26987.112670898","26987.612670898","trapaf","Trapop"
"26987.612670898","26988.112670898","trapaf","Trapop"
"26988.112670898","26988.612670898","trapaf","Trapop"
"26988.612670898","26989.112670898","trapaf","Trapop"
"26989.112670898","26989.612670898","trapaf","Trapop"
"26989.612670898","26990.112670898","trapaf","Trapop"
"26990.112670898","26990.612670898","trapaf","Trapop"
"26990.612670898","26991.112670898","trapaf","Trapop"
"26991.112670898","26991.612670898","trapaf","Trapop"
"26991.612670898","26992.112670898","trapaf","Trapop"
"26992.112670898","26992.612670898","trapaf","Ruis"
"26992.612670898","26993.112670898","trapaf","Ruis"
"26993.112670898","26993.612670898","trapaf","Ruis"
