"Start","End","Label","Prediction"
"1.423570901955084E9","1.423570902455084E9","Ruis","Ruis"
"1.423570902455084E9","1.423570902955084E9","Ruis","Ruis"
"1.423570902955084E9","1.423570903455084E9","Ruis","Ruis"
"1.423570903455084E9","1.423570903955084E9","Ruis","Ruis"
"1.423570903955084E9","1.423570904455084E9","Ruis","Ruis"
"1.423570904455084E9","1.423570904955084E9","Ruis","Ruis"
"1.423570904955084E9","1.423570905455084E9","Ruis","Ruis"
"1.423570905455084E9","1.423570905955084E9","Ruis","Ruis"
"1.423570905955084E9","1.423570906455084E9","Ruis","Ruis"
"1.423570906455084E9","1.423570906955084E9","Nietsdoen","Ruis"
"1.423570906955084E9","1.423570907455084E9","Nietsdoen","Ruis"
"1.423570907455084E9","1.423570907955084E9","Nietsdoen","Ruis"
"1.423570907955084E9","1.423570908455084E9","Ruis","Ruis"
"1.423570908455084E9","1.423570908955084E9","Ruis","Ruis"
"1.423570908955084E9","1.423570909455084E9","Wandelen","Ruis"
"1.423570909455084E9","1.423570909955084E9","Wandelen","Ruis"
"1.423570909955084E9","1.423570910455084E9","Wandelen","Ruis"
"1.423570910455084E9","1.423570910955084E9","Wandelen","Ruis"
"1.423570910955084E9","1.423570911455084E9","Wandelen","Ruis"
"1.423570911455084E9","1.423570911955084E9","Wandelen","Ruis"
"1.423570911955084E9","1.423570912455084E9","Wandelen","Ruis"
"1.423570912455084E9","1.423570912955084E9","Wandelen","Ruis"
"1.423570912955084E9","1.423570913455084E9","Wandelen","Ruis"
"1.423570913455084E9","1.423570913955084E9","Wandelen","Ruis"
"1.423570913955084E9","1.423570914455084E9","Wandelen","Wandelen"
"1.423570914455084E9","1.423570914955084E9","Wandelen","Wandelen"
"1.423570914955084E9","1.423570915455084E9","Wandelen","Wandelen"
"1.423570915455084E9","1.423570915955084E9","Wandelen","Wandelen"
"1.423570915955084E9","1.423570916455084E9","Wandelen","Wandelen"
"1.423570916455084E9","1.423570916955084E9","Wandelen","Wandelen"
"1.423570916955084E9","1.423570917455084E9","Wandelen","Wandelen"
"1.423570917455084E9","1.423570917955084E9","Wandelen","Wandelen"
"1.423570917955084E9","1.423570918455084E9","Wandelen","Ruis"
"1.423570918455084E9","1.423570918955084E9","Wandelen","Ruis"
"1.423570918955084E9","1.423570919455084E9","Wandelen","Ruis"
"1.423570919455084E9","1.423570919955084E9","Wandelen","Ruis"
"1.423570919955084E9","1.423570920455084E9","Ruis","Ruis"
"1.423570920455084E9","1.423570920955084E9","Ruis","Ruis"
"1.423570920955084E9","1.423570921455084E9","Ruis","Ruis"
"1.423570921455084E9","1.423570921955084E9","Ruis","Ruis"
"1.423570921955084E9","1.423570922455084E9","Ruis","LiftAU"
"1.423570922455084E9","1.423570922955084E9","Nietsdoen","LiftAU"
"1.423570922955084E9","1.423570923455084E9","Nietsdoen","LiftAU"
"1.423570923455084E9","1.423570923955084E9","Nietsdoen","LiftAU"
"1.423570923955084E9","1.423570924455084E9","Nietsdoen","LiftAU"
"1.423570924455084E9","1.423570924955084E9","Nietsdoen","LiftAU"
"1.423570924955084E9","1.423570925455084E9","Nietsdoen","LiftAU"
