"Start","End","Label","Prediction"
"156764.35910008402","156764.85910008402","Ruis","Trapop"
"156764.85910008402","156765.35910008402","Ruis","Trapop"
"156765.35910008402","156765.85910008402","Ruis","Trapop"
"156765.85910008402","156766.35910008402","Ruis","Trapop"
"156766.35910008402","156766.85910008402","Ruis","Trapop"
"156766.85910008402","156767.35910008402","Ruis","Trapop"
"156767.35910008402","156767.85910008402","Ruis","Trapop"
"156767.85910008402","156768.35910008402","Ruis","Trapop"
"156768.35910008402","156768.85910008402","Ruis","Trapop"
"156768.85910008402","156769.35910008402","Ruis","Trapop"
"156769.35910008402","156769.85910008402","Ruis","Trapop"
"156769.85910008402","156770.35910008402","Ruis","Trapop"
"156770.35910008402","156770.85910008402","Ruis","Trapop"
"156770.85910008402","156771.35910008402","Ruis","Trapop"
"156771.35910008402","156771.85910008402","Ruis","Wandelen"
"156771.85910008402","156772.35910008402","Ruis","Wandelen"
"156772.35910008402","156772.85910008402","Ruis","Wandelen"
"156772.85910008402","156773.35910008402","Ruis","Wandelen"
"156773.35910008402","156773.85910008402","Ruis","Wandelen"
"156773.85910008402","156774.35910008402","Ruis","Wandelen"
"156774.35910008402","156774.85910008402","Ruis","Wandelen"
"156774.85910008402","156775.35910008402","Ruis","Wandelen"
"156775.35910008402","156775.85910008402","Ruis","Wandelen"
"156775.85910008402","156776.35910008402","Ruis","Wandelen"
"156776.35910008402","156776.85910008402","Ruis","Wandelen"
"156776.85910008402","156777.35910008402","Ruis","Wandelen"
"156777.35910008402","156777.85910008402","Ruis","Wandelen"
"156777.85910008402","156778.35910008402","Ruis","Wandelen"
"156778.35910008402","156778.85910008402","Ruis","Wandelen"
"156778.85910008402","156779.35910008402","Ruis","Wandelen"
"156779.35910008402","156779.85910008402","Ruis","Wandelen"
"156779.85910008402","156780.35910008402","Ruis","Wandelen"
"156780.35910008402","156780.85910008402","Ruis","Wandelen"
"156780.85910008402","156781.35910008402","Ruis","Wandelen"
"156781.35910008402","156781.85910008402","Ruis","Wandelen"
"156781.85910008402","156782.35910008402","Ruis","Wandelen"
"156782.35910008402","156782.85910008402","Ruis","Wandelen"
"156782.85910008402","156783.35910008402","Ruis","Wandelen"
"156783.35910008402","156783.85910008402","Ruis","Wandelen"
"156783.85910008402","156784.35910008402","Ruis","Wandelen"
"156784.35910008402","156784.85910008402","Ruis","Wandelen"
"156784.85910008402","156785.35910008402","Ruis","Wandelen"
"156785.35910008402","156785.85910008402","Ruis","Wandelen"
"156785.85910008402","156786.35910008402","Ruis","Wandelen"
"156786.35910008402","156786.85910008402","Ruis","Wandelen"
"156786.85910008402","156787.35910008402","Ruis","Wandelen"
"156787.35910008402","156787.85910008402","Ruis","Wandelen"
"156787.85910008402","156788.35910008402","Ruis","Wandelen"
"156788.35910008402","156788.85910008402","Ruis","Wandelen"
"156788.85910008402","156789.35910008402","Ruis","Wandelen"
"156789.35910008402","156789.85910008402","Ruis","Wandelen"
"156789.85910008402","156790.35910008402","Ruis","Wandelen"
"156790.35910008402","156790.85910008402","Ruis","Trapaf"
"156790.85910008402","156791.35910008402","Ruis","Trapaf"
"156791.35910008402","156791.85910008402","Ruis","Trapaf"
"156791.85910008402","156792.35910008402","Ruis","Trapaf"
"156792.35910008402","156792.85910008402","Ruis","Trapaf"
"156792.85910008402","156793.35910008402","Ruis","Trapaf"
"156793.35910008402","156793.85910008402","Ruis","LiftAD"
"156793.85910008402","156794.35910008402","Ruis","LiftAD"
"156794.35910008402","156794.85910008402","Ruis","LiftAD"
"156794.85910008402","156795.35910008402","Ruis","LiftAD"
"156795.35910008402","156795.85910008402","Ruis","LiftAD"
"156795.85910008402","156796.35910008402","Ruis","LiftAD"
"156796.35910008402","156796.85910008402","Ruis","Trapop"
"156796.85910008402","156797.35910008402","Ruis","Trapop"
"156797.35910008402","156797.85910008402","Ruis","Wandelen"
