z_hmm_model-Fietsen,z_hmm_model-LiftAD,z_hmm_model-LiftAU,z_hmm_model-Lopen,z_hmm_model-Nietsdoen,z_hmm_model-Springen,z_hmm_model-Tandenpoetsen,z_hmm_model-Trapaf,z_hmm_model-Trapop,z_hmm_model-Wandelen,label
-2.383155970465854,-10000,-10000,-2.8704365871680237,-10000,-3.160149536871695,-10000,-1.8998641987985687,-3.452094691385358,-1.9688299972758303,Trapaf
-1.9169874849657131,-10000,-10000,-2.920341448155672,-10000,-3.229711000592191,-10000,-1.5687559494424705,-2.8111391479614705,-2.027437534938517,Trapaf
-2.089349600192214,-10000,-10000,-2.928384462808779,-10000,-3.177219385690831,-10000,-1.5615202558480268,-2.9435575810119574,-2.0201438588038436,Trapaf
-1.6421621353888318,-10000,-10000,-2.964892715527209,-10000,-3.2904979718259018,-10000,-1.477250463992388,-2.1408577457760805,-1.8889149234605767,Trapaf
-2.073301149260986,-10000,-10000,-2.895556022711671,-10000,-3.156431121319206,-10000,-1.5729943540484053,-3.0346031625862118,-2.0477022250834223,Trapaf
-1.5281060151349717,-10000,-10000,-2.9605497762729907,-10000,-3.3778317103501587,-10000,-1.5433002101859814,-1.7785341552056426,-1.7598214997756503,Trapaf
-1.3517082573344146,-10000,-10000,-2.9793436808436398,-10000,-3.5011240821206213,-10000,-1.530253544883106,-1.3446008175791728,-1.8337780023728456,Trapaf
-2.089349600192214,-10000,-10000,-2.928384462808779,-10000,-3.177219385690831,-10000,-1.5615202558480268,-2.9435575810119574,-2.0201438588038436,Trapaf
-2.188729694562012,-10000,-10000,-2.9355982475566638,-10000,-3.167276942718519,-10000,-2.426885777302444,-2.9389392771433456,-1.9618654368740438,Trapaf
-1.527826527755147,-10000,-10000,-2.9434124192510973,-10000,-3.3962551358289574,-10000,-1.579754604931018,-1.7927057554998995,-1.7287784981681102,Trapaf
-1.6829395116040828,-10000,-10000,-2.9859383571929836,-10000,-3.2796314375968514,-10000,-1.6434979815070605,-2.2119512435299367,-1.9900990973963908,Trapaf
-2.180010966400053,-10000,-10000,-2.917331445702337,-10000,-3.1324484900147045,-10000,-1.6454998902473694,-2.8247588343389003,-1.935208259937234,Trapaf
-2.2648470959744325,-10000,-10000,-2.871835446609065,-10000,-3.1581368608121325,-10000,-1.6542699111567711,-3.303808020576881,-2.0044380429515694,Trapaf
-2.006904568316538,-10000,-10000,-2.93541631938612,-10000,-3.184514858764832,-10000,-1.663021124809888,-2.5186872761265846,-2.0150162540651624,Trapaf
-1.523242105115377,-10000,-10000,-2.985511790663578,-10000,-3.3992230502385388,-10000,-1.8064092743825264,-1.682042735869178,-1.863506790594693,Trapaf
-2.320653795801404,-10000,-10000,-2.852006523630913,-10000,-3.0691411009575797,-10000,-1.651887249966689,-3.4995872289058707,-2.0212691012443913,Trapaf
-29.588599228295255,-10000,-10000,-2.625653357156389,-10000,-3.3902660160926037,-10000,-25.300829257521205,-29.820293749684588,-12.09768311084428,Lopen
