start,einde,activiteit
1423570906,1423570908,Nietsdoen
1423570908.5,1423570920,Wandelen
1423570922,1423570931.5,Nietsdoen
1423570942,1423570989,Fietsen
1423571002,1423571102,Fietsen
1423571113,1423571138,Nietsdoen
1423571140,1423571151,Wandelen
1423571151.5,1423571153.5,Nietsdoen
1423571154,1423571157,Wandelen
1423571157,1423571158,Nietsdoen
1423571158.5,1423571164.5,Wandelen
1423571165,1423571171.5,Trapop
1423571172,1423571176,Wandelen
1423571176,1423571181.5,Trapop
1423571182,1423571185,Wandelen
1423571186,1423571188,Springen
1423571193,1423571199,Wandelen
1423571201,1423571209,Nietsdoen
1423571210.5,1423571213.5,Wandelen
1423571216,1423571222,Nietsdoen
1423571222,1423571226,LiftAD
1423571226,1423571230,LiftAU
1423571226,1423571233,Nietsdoen
1423571236,1423571248,Nietsdoen
1423571248,1423571252,LiftAU
1423571252,1423571264,Nietsdoen
1423571264,1423571268,LiftAD
1423571272,1423571280.5,Wandelen
1423571280.5,1423571286.5,Trapaf
1423571286.5,1423571289.5,Wandelen
1423571289.5,1423571296,Trapaf
1423571296,1423571298,Wandelen
1423571299,1423571308,Nietsdoen
1423571308.5,1423571314.5,Wandelen
1423571317,1423571319,Nietsdoen
1423571323.5,1423571325,Nietsdoen
