"Start","End","Label","Prediction"
"17499.032897949","17499.532897949","Ruis","Ruis"
"17499.532897949","17500.032897949","Ruis","Ruis"
"17500.032897949","17500.532897949","Ruis","Ruis"
"17500.532897949","17501.032897949","Ruis","Ruis"
"17501.032897949","17501.532897949","Ruis","Ruis"
"17501.532897949","17502.032897949","Ruis","LiftAD"
"17502.032897949","17502.532897949","Ruis","LiftAD"
"17502.532897949","17503.032897949","Ruis","LiftAD"
"17503.032897949","17503.532897949","Ruis","LiftAD"
"17503.532897949","17504.032897949","Ruis","LiftAD"
"17504.032897949","17504.532897949","Ruis","Trapaf"
"17504.532897949","17505.032897949","Ruis","Trapaf"
"17505.032897949","17505.532897949","Ruis","Trapaf"
"17505.532897949","17506.032897949","Ruis","Trapaf"
"17506.032897949","17506.532897949","Ruis","Trapaf"
"17506.532897949","17507.032897949","Ruis","Trapaf"
"17507.032897949","17507.532897949","Ruis","Trapaf"
"17507.532897949","17508.032897949","Ruis","Trapaf"
"17508.032897949","17508.532897949","Ruis","Trapaf"
"17508.532897949","17509.032897949","Ruis","Trapaf"
"17509.032897949","17509.532897949","Ruis","Nietsdoen"
"17509.532897949","17510.032897949","Ruis","Nietsdoen"
"17510.032897949","17510.532897949","Ruis","Nietsdoen"
"17510.532897949","17511.032897949","Ruis","Nietsdoen"
"17511.032897949","17511.532897949","Wandelen","Nietsdoen"
"17511.532897949","17512.032897949","Wandelen","Ruis"
"17512.032897949","17512.532897949","Wandelen","Ruis"
"17512.532897949","17513.032897949","Wandelen","Ruis"
"17513.032897949","17513.532897949","Wandelen","Ruis"
"17513.532897949","17514.032897949","Wandelen","Ruis"
"17514.032897949","17514.532897949","Wandelen","Tandenpoetsen"
"17514.532897949","17515.032897949","Wandelen","Tandenpoetsen"
"17515.032897949","17515.532897949","Wandelen","Tandenpoetsen"
"17515.532897949","17516.032897949","Wandelen","Tandenpoetsen"
"17516.032897949","17516.532897949","Wandelen","Tandenpoetsen"
"17516.532897949","17517.032897949","Wandelen","Tandenpoetsen"
"17517.032897949","17517.532897949","Wandelen","Tandenpoetsen"
"17517.532897949","17518.032897949","Wandelen","Tandenpoetsen"
"17518.032897949","17518.532897949","Wandelen","Tandenpoetsen"
"17518.532897949","17519.032897949","Wandelen","Tandenpoetsen"
"17519.032897949","17519.532897949","Wandelen","Tandenpoetsen"
"17519.532897949","17520.032897949","Wandelen","Tandenpoetsen"
"17520.032897949","17520.532897949","Wandelen","Tandenpoetsen"
"17520.532897949","17521.032897949","Wandelen","Tandenpoetsen"
"17521.032897949","17521.532897949","Wandelen","Tandenpoetsen"
"17521.532897949","17522.032897949","Wandelen","Tandenpoetsen"
"17522.032897949","17522.532897949","Wandelen","Tandenpoetsen"
"17522.532897949","17523.032897949","Wandelen","Tandenpoetsen"
"17523.032897949","17523.532897949","Wandelen","Tandenpoetsen"
"17523.532897949","17524.032897949","Wandelen","Tandenpoetsen"
"17524.032897949","17524.532897949","Wandelen","Tandenpoetsen"
"17524.532897949","17525.032897949","Wandelen","Tandenpoetsen"
"17525.032897949","17525.532897949","Wandelen","Tandenpoetsen"
"17525.532897949","17526.032897949","Wandelen","Tandenpoetsen"
"17526.032897949","17526.532897949","Wandelen","Tandenpoetsen"
"17526.532897949","17527.032897949","Wandelen","Ruis"
"17527.032897949","17527.532897949","Wandelen","Ruis"
"17527.532897949","17528.032897949","Wandelen","Ruis"
"17528.032897949","17528.532897949","Wandelen","Ruis"
"17528.532897949","17529.032897949","Wandelen","Ruis"
"17529.032897949","17529.532897949","Wandelen","LiftAD"
"17529.532897949","17530.032897949","Ruis","LiftAD"
"17530.032897949","17530.532897949","Trapop","LiftAD"
"17530.532897949","17531.032897949","Trapop","LiftAD"
"17531.032897949","17531.532897949","Trapop","LiftAD"
"17531.532897949","17532.032897949","Trapop","LiftAD"
"17532.032897949","17532.532897949","Trapop","LiftAD"
"17532.532897949","17533.032897949","Trapop","LiftAD"
"17533.032897949","17533.532897949","Trapop","LiftAD"
"17533.532897949","17534.032897949","Trapop","LiftAD"
"17534.032897949","17534.532897949","Trapop","LiftAD"
"17534.532897949","17535.032897949","Trapop","LiftAD"
"17535.032897949","17535.532897949","Trapop","LiftAD"
"17535.532897949","17536.032897949","Trapop","LiftAD"
"17536.032897949","17536.532897949","Trapop","LiftAD"
"17536.532897949","17537.032897949","Trapop","LiftAD"
"17537.032897949","17537.532897949","Ruis","LiftAD"
"17537.532897949","17538.032897949","Wandelen","LiftAD"
"17538.032897949","17538.532897949","Wandelen","LiftAD"
"17538.532897949","17539.032897949","Ruis","LiftAD"
"17539.032897949","17539.532897949","Trapop","Ruis"
"17539.532897949","17540.032897949","Trapop","Ruis"
"17540.032897949","17540.532897949","Trapop","Ruis"
"17540.532897949","17541.032897949","Trapop","Ruis"
"17541.032897949","17541.532897949","Trapop","Ruis"
"17541.532897949","17542.032897949","Trapop","LiftAD"
"17542.032897949","17542.532897949","Trapop","LiftAD"
"17542.532897949","17543.032897949","Trapop","LiftAD"
"17543.032897949","17543.532897949","Trapop","LiftAD"
"17543.532897949","17544.032897949","Trapop","LiftAD"
"17544.032897949","17544.532897949","Trapop","LiftAD"
"17544.532897949","17545.032897949","Ruis","LiftAD"
"17545.032897949","17545.532897949","Wandelen","LiftAD"
"17545.532897949","17546.032897949","Wandelen","LiftAD"
"17546.032897949","17546.532897949","Wandelen","LiftAD"
"17546.532897949","17547.032897949","Wandelen","LiftAD"
"17547.032897949","17547.532897949","Ruis","LiftAD"
"17547.532897949","17548.032897949","Trapop","LiftAD"
"17548.032897949","17548.532897949","Trapop","LiftAD"
"17548.532897949","17549.032897949","Trapop","LiftAD"
"17549.032897949","17549.532897949","Trapop","LiftAD"
"17549.532897949","17550.032897949","Trapop","LiftAD"
"17550.032897949","17550.532897949","Trapop","LiftAD"
"17550.532897949","17551.032897949","Trapop","LiftAD"
"17551.032897949","17551.532897949","Trapop","LiftAD"
"17551.532897949","17552.032897949","Trapop","LiftAD"
"17552.032897949","17552.532897949","Trapop","LiftAD"
"17552.532897949","17553.032897949","Trapop","LiftAD"
"17553.032897949","17553.532897949","Trapop","LiftAD"
"17553.532897949","17554.032897949","Trapop","LiftAD"
"17554.032897949","17554.532897949","Ruis","LiftAD"
"17554.532897949","17555.032897949","Wandelen","LiftAD"
"17555.032897949","17555.532897949","Wandelen","LiftAD"
"17555.532897949","17556.032897949","Ruis","LiftAD"
"17556.032897949","17556.532897949","Trapop","LiftAD"
"17556.532897949","17557.032897949","Trapop","LiftAD"
"17557.032897949","17557.532897949","Trapop","LiftAD"
"17557.532897949","17558.032897949","Trapop","LiftAD"
"17558.032897949","17558.532897949","Trapop","LiftAD"
"17558.532897949","17559.032897949","Trapop","LiftAD"
"17559.032897949","17559.532897949","Trapop","LiftAD"
"17559.532897949","17560.032897949","Trapop","LiftAD"
"17560.032897949","17560.532897949","Trapop","LiftAD"
"17560.532897949","17561.032897949","Ruis","LiftAD"
"17561.032897949","17561.532897949","Wandelen","LiftAD"
"17561.532897949","17562.032897949","Wandelen","Ruis"
"17562.032897949","17562.532897949","Wandelen","Ruis"
"17562.532897949","17563.032897949","Wandelen","Ruis"
"17563.032897949","17563.532897949","Wandelen","Ruis"
"17563.532897949","17564.032897949","Wandelen","Ruis"
"17564.032897949","17564.532897949","Wandelen","Nietsdoen"
"17564.532897949","17565.032897949","Wandelen","Nietsdoen"
"17565.032897949","17565.532897949","Wandelen","Nietsdoen"
"17565.532897949","17566.032897949","Wandelen","Nietsdoen"
"17566.032897949","17566.532897949","Wandelen","Nietsdoen"
"17566.532897949","17567.032897949","Ruis","Nietsdoen"
"17567.032897949","17567.532897949","Ruis","Nietsdoen"
"17567.532897949","17568.032897949","Nietsdoen","Nietsdoen"
"17568.032897949","17568.532897949","Nietsdoen","Nietsdoen"
"17568.532897949","17569.032897949","Nietsdoen","Nietsdoen"
"17569.032897949","17569.532897949","Nietsdoen","Trapop"
"17569.532897949","17570.032897949","Nietsdoen","Trapop"
"17570.032897949","17570.532897949","Nietsdoen","Trapop"
"17570.532897949","17571.032897949","Nietsdoen","Trapop"
"17571.032897949","17571.532897949","Nietsdoen","Trapop"
"17571.532897949","17572.032897949","Nietsdoen","Trapop"
"17572.032897949","17572.532897949","Nietsdoen","Trapop"
"17572.532897949","17573.032897949","Nietsdoen","Trapop"
"17573.032897949","17573.532897949","Nietsdoen","Trapop"
"17573.532897949","17574.032897949","Nietsdoen","Trapop"
"17574.032897949","17574.532897949","Nietsdoen","Trapop"
"17574.532897949","17575.032897949","Nietsdoen","Trapop"
"17575.032897949","17575.532897949","Nietsdoen","Trapop"
"17575.532897949","17576.032897949","Nietsdoen","Trapop"
"17576.032897949","17576.532897949","Nietsdoen","Trapop"
"17576.532897949","17577.032897949","Nietsdoen","Trapop"
"17577.032897949","17577.532897949","Nietsdoen","Trapop"
"17577.532897949","17578.032897949","Nietsdoen","Trapop"
"17578.032897949","17578.532897949","Nietsdoen","Trapop"
"17578.532897949","17579.032897949","Nietsdoen","Trapop"
"17579.032897949","17579.532897949","Nietsdoen","Trapop"
"17579.532897949","17580.032897949","Nietsdoen","Trapop"
"17580.032897949","17580.532897949","Nietsdoen","Trapop"
"17580.532897949","17581.032897949","Nietsdoen","Trapop"
"17581.032897949","17581.532897949","Nietsdoen","Trapop"
"17581.532897949","17582.032897949","Ruis","Ruis"
"17582.032897949","17582.532897949","Ruis","Ruis"
"17582.532897949","17583.032897949","Ruis","Ruis"
"17583.032897949","17583.532897949","Wandelen","Ruis"
"17583.532897949","17584.032897949","Wandelen","Ruis"
"17584.032897949","17584.532897949","Wandelen","Ruis"
"17584.532897949","17585.032897949","Wandelen","Ruis"
"17585.032897949","17585.532897949","Ruis","Ruis"
"17585.532897949","17586.032897949","Ruis","Ruis"
"17586.032897949","17586.532897949","Ruis","Ruis"
"17586.532897949","17587.032897949","Ruis","Trapop"
"17587.032897949","17587.532897949","Nietsdoen","Trapop"
"17587.532897949","17588.032897949","Nietsdoen","Trapop"
"17588.032897949","17588.532897949","Nietsdoen","Trapop"
"17588.532897949","17589.032897949","Nietsdoen","Trapop"
"17589.032897949","17589.532897949","Nietsdoen","Trapop"
"17589.532897949","17590.032897949","Nietsdoen","Trapop"
"17590.032897949","17590.532897949","Nietsdoen","Trapop"
"17590.532897949","17591.032897949","Nietsdoen","Trapop"
"17591.032897949","17591.532897949","Nietsdoen","Trapop"
"17591.532897949","17592.032897949","Nietsdoen","Trapop"
"17592.032897949","17592.532897949","Nietsdoen","Trapop"
"17592.532897949","17593.032897949","Nietsdoen","Trapop"
"17593.032897949","17593.532897949","Nietsdoen","Trapop"
"17593.532897949","17594.032897949","Nietsdoen","Trapop"
"17594.032897949","17594.532897949","Nietsdoen","Trapop"
"17594.532897949","17595.032897949","Ruis","Trapop"
"17595.032897949","17595.532897949","Liftad","Trapop"
"17595.532897949","17596.032897949","Liftad","Trapop"
"17596.032897949","17596.532897949","Liftad","Trapop"
"17596.532897949","17597.032897949","Liftad","Trapaf"
"17597.032897949","17597.532897949","Liftad","Trapaf"
"17597.532897949","17598.032897949","Liftad","Trapaf"
"17598.032897949","17598.532897949","Liftad","Trapaf"
"17598.532897949","17599.032897949","Liftad","Trapaf"
"17599.032897949","17599.532897949","Liftad","Ruis"
